Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,AnswerCount,FavoriteCount
"838942","11433","2009-05-08 09:10:08","2","","","","<p>The above mentioned improvements have also been backported to the Flex 3 SDK by Brian Deitte. You can try this out at <a href=""http://www.deitte.com/archives/2008/10/a_faster_flex_3.htm"" rel=""nofollow noreferrer"">his blog</a>. It is way faster.</p>
","2","11433",""
"20013241","214112","2013-11-16 00:52:44","4","","","","<p>Like Jay Taylor said, HAProxy 1.5-dev has the <code>redirect scheme</code> configuration directive, which accomplishes exactly what you need.</p>

<p>However, if you are unable to use 1.5, and if you're up for compiling HAProxy from source, I backported the <code>redirect scheme</code> functionality so it works in 1.4. You can get the patch here: <a href=""http://marc.info/?l=haproxy&amp;m=138456233430692&amp;w=2"" rel=""nofollow"">http://marc.info/?l=haproxy&amp;m=138456233430692&amp;w=2</a></p>
","0","214112",""
"58019352","3317808","2019-09-19 21:53:49","0","904","<java><ubuntu><dockerfile><apt>","openjdk-8-jre-headless : Breaks: ca-certificates-java (< 20160321~)","<p>Below command:</p>

<pre><code>FROM microsoft/aspnetcore-build:1.0.1

ENV DOTNET_SKIP_FIRST_TIME_EXPERIENCE 1

# This is FROM openjdk:8-jdk  
RUN apt-get update &amp;&amp; apt-get install -y --no-install-recommends \
        bzip2 \
        unzip \
        xz-utils \
                apt-transport-https \
    &amp;&amp; rm -rf /var/lib/apt/lists/*

RUN apt-get install -y --no-install-recommends apt-transport-https ca-certificates
RUN apt-key adv --keyserver hkp://p80.pool.sks-keyservers.net:80 --recv-keys 58118E89F3A912897C070ADBF76221572C52609D
RUN apt-key adv --keyserver hkp://p80.pool.sks-keyservers.net:80 --recv-keys AA8E81B4331F7F50

# RUN echo 'deb http://deb.debian.org/debian jessie-backports main' &gt; /etc/apt/sources.list.d/jessie-backports.list
RUN echo 'deb http://archive.debian.org/debian jessie-backports main' &gt; /etc/apt/sources.list.d/jessie-backports.list
RUN echo 'deb https://apt.dockerproject.org/repo debian-jessie main' &gt; /etc/apt/sources.list.d/docker.list


RUN echo ""Acquire::Check-Valid-Until \""false\"";"" &gt; /etc/apt/apt.conf.d/100disablechecks

# Default to UTF-8 file.encoding
ENV LANG C.UTF-8

# add a simple script that can auto-detect the appropriate JAVA_HOME value
# based on whether the JDK or only the JRE is installed
RUN { \
        echo '#!/bin/sh'; \
        echo 'set -e'; \
        echo; \
        echo 'dirname ""$(dirname ""$(readlink -f ""$(which javac || which java)"")"")""'; \
    } &gt; /usr/local/bin/docker-java-home \
    &amp;&amp; chmod +x /usr/local/bin/docker-java-home

ENV JAVA_HOME /usr/lib/jvm/java-8-openjdk-amd64

# ENV JAVA_VERSION 8u111
# ENV JAVA_DEBIAN_VERSION 8u111-b14-2~bpo8+1
ENV JAVA_VERSION 8u171
ENV JAVA_DEBIAN_VERSION 8u171-b11-1~bpo8+1

# see https://bugs.debian.org/775775
# and https://github.com/docker-library/java/issues/19#issuecomment-70546872
ENV CA_CERTIFICATES_JAVA_VERSION 20140324

# RUN set -x \
#     &amp;&amp; apt-get update \
#     &amp;&amp; apt-get install -y \
#         openjdk-8-jdk=""$JAVA_DEBIAN_VERSION"" \
#         ca-certificates-java=""$CA_CERTIFICATES_JAVA_VERSION"" \
#     &amp;&amp; rm -rf /var/lib/apt/lists/* \
#     &amp;&amp; [ ""$JAVA_HOME"" = ""$(docker-java-home)"" ]

RUN set -x \
    &amp;&amp; apt-get update \
    &amp;&amp; apt-get install -y  openjdk-8-jre-headless ca-certificates-java=""$CA_CERTIFICATES_JAVA_VERSION"" \ 
    &amp;&amp; apt-get install -y openjdk-8-jre-headless \
            openjdk-8-jdk-headless \
            openjdk-8-jre \
            openjdk-8-jdk \ 
            # ca-certificates-java=""$CA_CERTIFICATES_JAVA_VERSION"" \
    &amp;&amp; rm -rf /var/lib/apt/lists/* \
    &amp;&amp; [ ""$JAVA_HOME"" = ""$(docker-java-home)"" ]

# see CA_CERTIFICATES_JAVA_VERSION notes above
RUN /var/lib/dpkg/info/ca-certificates-java.postinst configure

##### END OF THE JDK

##### START Jenkins Slave Node Config settings

# Create Jenkins User
RUN useradd jenkins -m -s /bin/bash

RUN chown -R jenkins /home/jenkins
RUN chgrp -R jenkins /home/jenkins
RUN chown -R jenkins /tmp
RUN chgrp -R jenkins /tmp

# Add the jenkins user to sudoers
RUN echo ""jenkins    ALL=(ALL)    ALL"" &gt;&gt; etc/sudoers

# Must install docker to create docker images from docker container. Inception. Head... hurts.
# container must be called with -v /var/run/docker.sock:/var/run/docker.sock
RUN apt-get update &amp;&amp; apt-get install -y --no-install-recommends \
    docker-engine \
&amp;&amp; rm -rf /var/lib/apt/lists/*

# This must run after the docker install 
RUN gpasswd -a jenkins docker

USER jenkins
</code></pre>

<hr>

<p>gives error:</p>

<pre><code>Step 16/26 : RUN set -x     &amp;&amp; apt-get update   &amp;&amp; apt-get install -y  openjdk-8-jre-headless ca-certificates-java=""$CA_CERTIFICATES_JAVA_VERSION""  &amp;&amp; apt-get install -y openjdk-8-jre-headless            openjdk-8-jdk-headless          openjdk-8-jre           openjdk-8-jdk   &amp;&amp; rm -rf /var/lib/apt/lists/*  &amp;&amp; [ ""$JAVA_HOME"" = ""$(docker-java-home)"" ]
 ---&gt; Running in 3733400f9098
+ apt-get update
Get:1 https://apt.dockerproject.org debian-jessie InRelease [48.7 kB]
Get:2 http://archive.debian.org jessie-backports InRelease [166 kB]
Ign http://deb.debian.org jessie InRelease
Get:3 http://deb.debian.org jessie-updates InRelease [16.3 kB]
Get:4 http://security.debian.org jessie/updates InRelease [44.9 kB]
Get:5 http://deb.debian.org jessie Release.gpg [1652 B]
Get:6 http://deb.debian.org jessie Release [77.3 kB]
Get:7 https://apt.dockerproject.org debian-jessie/main amd64 Packages [7366 B]
Get:8 http://archive.debian.org jessie-backports/main amd64 Packages [1171 kB]
Get:9 http://deb.debian.org jessie-updates/main amd64 Packages [20 B]
Get:10 http://deb.debian.org jessie/main amd64 Packages [9098 kB]
Get:11 http://security.debian.org jessie/updates/main amd64 Packages [892 kB]
Fetched 11.5 MB in 14s (818 kB/s)
Reading package lists...
+ apt-get install -y openjdk-8-jre-headless ca-certificates-java=20140324
Reading package lists...
Building dependency tree...
Reading state information...
Some packages could not be installed. This may mean that you have
requested an impossible situation or if you are using the unstable
distribution that some required packages have not yet been created
or been moved out of Incoming.
The following information may help to resolve the situation:

The following packages have unmet dependencies:
 openjdk-8-jre-headless : Breaks: ca-certificates-java (&lt; 20160321~) but 20140324 is to be installed
E: Unable to correct problems, you have held broken packages.
ERROR: Service 'slavedotnet' failed to build: The command '/bin/sh -c set -x    &amp;&amp; apt-get update   &amp;&amp; apt-get install -y  openjdk-8-jre-headless ca-certificates-java=""$CA_CERTIFICATES_JAVA_VERSION""  &amp;&amp; apt-get install -y openjdk-8-jre-headless            openjdk-8-jdk-headless          openjdk-8-jre           openjdk-8-jdk   &amp;&amp; rm -rf /var/lib/apt/lists/*  &amp;&amp; [ ""$JAVA_HOME"" = ""$(docker-java-home)"" ]' returned a non-zero code: 100
</code></pre>

<hr>

<p>How to resolve the certificate dependency?</p>
","7","3317808",""
"20018268","1627406","2013-11-16 12:08:57","2","","","","<p>Don't create your own hashing. </p>

<p>PHP version 5.5 has some <a href=""http://us3.php.net/manual/en/ref.password.php"" rel=""nofollow"">very nice and easy to use password hashing functions</a>, and there is a library that backports them as far as to PHP 5.3.</p>

<p>Include it, use it. Done.</p>

<p>Download here <a href=""https://github.com/ircmaxell/password_compat"" rel=""nofollow"">https://github.com/ircmaxell/password_compat</a> or include via Composer: </p>

<pre><code>""require"":{
    ""ircmaxell/password-compat"":""~1.0""
}
</code></pre>
","2","1627406",""
"877438","108756","2009-05-18 12:14:36","2","","","","<p>I had the same problem with Drupal. Given the limitations of CSS, the way to get this working is to add the ""active"" class to the parent elements when the menu HTML is generated. There's a good discussion of this at <a href=""http://drupal.org/node/219804"" rel=""nofollow noreferrer"">http://drupal.org/node/219804</a>, the upshot of which is that this functionality has been rolled in to version 6.x-2.x of the nicemenus module. As this is still in development, I've backported the patch to 6.x-1.3 at <a href=""http://drupal.org/node/465738"" rel=""nofollow noreferrer"">http://drupal.org/node/465738</a> so that I can continue to use the production-ready version of the module.</p>
","0","108756",""
"58021058","50617","2019-09-20 02:36:32","1","","","","<blockquote>
  <p>Can someone help me understand why gcc isn't behaving like clang</p>
</blockquote>

<p>Gcc-4.8 <a href=""https://gcc.gnu.org/gcc-4.8/"" rel=""nofollow noreferrer"">was released on March 22, 2013</a>.</p>

<p>The patch to support <code>-fsanitize=leak</code> <a href=""https://patchwork.ozlabs.org/patch/291656/"" rel=""nofollow noreferrer"">was sent on Nov. 15, 2013</a>, and is likely not backported into the 4.8 release.</p>

<p>GCC-8.3 has no trouble detecting this leak:</p>

<pre><code>$ gcc -g -fsanitize=address memory-leak.c &amp;&amp; ./a.out

=================================================================
==166614==ERROR: LeakSanitizer: detected memory leaks

Direct leak of 7 byte(s) in 1 object(s) allocated from:
    #0 0x7fcaf3dc5330 in __interceptor_malloc (/usr/lib/x86_64-linux-gnu/libasan.so.5+0xe9330)
    #1 0x55d297afc162 in main /tmp/memory-leak.c:4
    #2 0x7fcaf394052a in __libc_start_main ../csu/libc-start.c:308

SUMMARY: AddressSanitizer: 7 byte(s) leaked in 1 allocation(s).
</code></pre>
","0","50617",""
"58020960","6394722","2019-09-20 02:19:16","1","","","","<p>See <a href=""https://wiki.debian.org/Backports"" rel=""nofollow noreferrer"">this</a>:</p>
<blockquote>
<p>The backports repository is deactivated by default. So, if you want to install a backported package, you will have to state that explicitly.</p>
<p>For example:</p>
<pre><code>debian:/home/human# aptitude -t buster-backports install cockpit
</code></pre>
</blockquote>
<p>So, for your case, you need to change to next:</p>
<pre><code>apt-get install -t jessie-backports -y \
    openjdk-8-jdk \
    ca-certificates-java \
</code></pre>
<p>Here, I suggest you don't add version selection for package like next:</p>
<pre><code>openjdk-8-jdk=&quot;$JAVA_DEBIAN_VERSION&quot;
</code></pre>
<p>Because, default it will choose the latest version in this os release apt repo. If you insist, then for backports repo, you need to separate install them:</p>
<pre><code>apt-get install -t jessie-backports -y \
    openjdk-8-jdk=&quot;$JAVA_DEBIAN_VERSION&quot; &amp;&amp; \
apt-get install -t jessie-backports -y \
    ca-certificates-java=&quot;$CA_CERTIFICATES_JAVA_VERSION&quot; \
</code></pre>
","0","6394722",""
"877954","99354","2009-05-18 14:12:04","2","","","","<p>In general, while there are hetero-language options, I always found that freezing the older version, and rewriting a next major version in the new language was more time-efficient in the end.</p>

<p>But I went the other way around. (increasing C++ percentage that I ultimately backported to Delphi)</p>
","0","99354",""
"58022609","5772882","2019-09-20 06:05:41","1","","","","<p>It cannot be done <em>a lot</em> easier. Two suggestions for simplifications:</p>

<ol>
<li>Use java.time, the modern Java date and time API. In this case we substitute two old classes, <code>Calendar</code> and <code>Date</code>, with just one new class, <code>LocalDate</code>. So it saves us a conversion. Also the classes you used are long outdated, and generally java.time is much nicer to work with.</li>
<li>Use the built-in localized date format for the user’s locale rather than writing a format pattern string. The latter tends to be error-prone, and using the built-in format lends itself much better to internationalization.</li>
</ol>

<p>The code below is not tested, there’s probably a typo or two, but you should get the idea.</p>

<pre><code>    val date = LocalDate.now(ZoneId.of(""Africa/Abidjan""))
    val currentYear = date.year
    val currentMonth = date.monthValue
    val currentDay = date.dayOfMonth

    val dateFormatter = DateTimeFormatter.ofLocalizedDate(TextStyle.MEDIUM)

    pickDate.setOnClickListener {
        val datePickDialog = DatePickerDialog(
            activity,
            DatePickerDialog.OnDateSetListener { view, year, month, dayOfMonth -&gt;
                val selectedDate = LocalDate.of(year, month + 1, dayOfMonth)
                val dateString = selectedDate.format(dateFormatter)
                currentDateView.text = dateString
            },
            currentYear,
            currentMonth - 1,
            currentDay
        )
        datePickDialog.show()
    }
</code></pre>

<p>Insert your desired time zone where I put Africa/Abidjan. Use <code>ZoneId.systemDefault</code> for the default time zone (this is what the code in your question used). I have also taken the formatter out of the event listener. There’s no need to construct a new formatter each time.</p>

<h2>Question: Can I use java.time on Android? I in project use min API 21</h2>

<p>Yes, java.time works nicely on older and newer Android devices. It just requires at least <strong>Java 6</strong>.</p>

<ul>
<li>In Java 8 and later and on newer Android devices (from API level 26) the modern API comes built-in.</li>
<li>In Java 6 and 7 get the ThreeTen Backport, the backport of the modern classes (ThreeTen for JSR 310; see the links at the bottom).</li>
<li>On (older) Android use the Android edition of ThreeTen Backport. It’s called ThreeTenABP. And make sure you import the date and time classes from <code>org.threeten.bp</code> with subpackages.</li>
</ul>

<h2>Links</h2>

<ul>
<li><a href=""https://docs.oracle.com/javase/tutorial/datetime/"" rel=""nofollow noreferrer"">Oracle tutorial: Date Time</a> explaining how to use java.time.</li>
<li><a href=""https://jcp.org/en/jsr/detail?id=310"" rel=""nofollow noreferrer"">Java Specification Request (JSR) 310</a>, where <code>java.time</code> was first described.</li>
<li><a href=""http://www.threeten.org/threetenbp/"" rel=""nofollow noreferrer"">ThreeTen Backport project</a>, the backport of <code>java.time</code> to Java 6 and 7 (ThreeTen for JSR-310).</li>
<li><a href=""https://github.com/JakeWharton/ThreeTenABP"" rel=""nofollow noreferrer"">ThreeTenABP</a>, Android edition of ThreeTen Backport</li>
<li><a href=""https://stackoverflow.com/questions/38922754/how-to-use-threetenabp-in-android-project"">Question: How to use ThreeTenABP in Android Project</a>, with a very thorough explanation.</li>
</ul>
","3","5772882",""
"911777","1902010","2009-05-26 17:15:37","0","","","","<p>Drupal has one built into Drupal 6. The <a href=""http://drupal.org/project/password_strength"" rel=""nofollow noreferrer"">code for the backport to Drupal 5</a> may be of use to you.</p>
","0","1902010",""
