Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,AnswerCount,FavoriteCount
"54584915","141719","2019-02-08 01:32:14","1","120","<git><git-commit><build-system><git-amend>","Is `git commit --amend` touching more files than is necessary?","<p>I often experience the following:</p>

<ol>
<li>Modify files A, B, and C.</li>
<li>Commit the modifications with <code>git commit</code>.</li>
<li>Build the project, so the build is up to date.</li>
<li>Make a follow-up / fix-up modification to file A only.</li>
<li>Run <code>git commit -a --amend</code> (or <code>git commit --amend path/to/A</code>)</li>
<li>Rebuild the project incrementally.</li>
</ol>

<p>Now, since I've only modified file A since the last time I've built, I would expect that only file A gets rebuilt, but what I invariably see is that all of A, B, and C (i.e., all the files touched by the entire commit) are rebuilt.</p>

<p>It seems to me that <code>git commit --amend</code> it <code>touch</code>ing / bumping the last modified timestamps of each of A, B, and C, even though I'm only adding a modification of A to the commit.</p>

<p><strong>Is this necessary? Can it be avoided, so only A is touched and only A gets rebuilt?</strong></p>

<p>If it matters, my project is in C++ and my build system is cmake+ninja, but I think that's largely besides the point as it's fairly standard for build systems to rely on last modified timestamps to determine what to rebuild.</p>
","0","141719",""
"40512166","1669457","2016-11-09 16:54:11","1","1208","<git><commit><rebase><git-amend>","How do I know if a git commit has been changed?","<p>Someone has committed something a few months ago. After that, multiple other commits have been done. Is it possible to see if someone has changed the contents of that certain commit by amending or by rebasing? If yes, how?</p>
","6","1669457","0"
"15479609","1316620","2013-03-18 14:44:29","134","28838","<git><git-commit><git-amend>","git commit --amend without asking for message","<p>From time to time I find myself <em>commit-amending</em> using the same message.</p>

<p>Typically, I do:</p>

<ol>
<li>Add my changes to staging area.</li>
<li>Do <code>git commit --amend</code>.</li>
<li>Wait for the text editor to open.</li>
<li>Save and close it (without changing the message).</li>
</ol>

<p>There is anyway to tell git that I don't want to change the commit message (skipping the step of opening my text editor and saving the message)? Like:</p>

<ol>
<li>Add my changes to staging area.</li>
<li>Tell git to amend my staging area to the last commit without asking me for another message.</li>
</ol>

<hr>

<p>I know I can avoid git firing up my text editor by doing <code>git commit --amend -m ""&lt;message&gt;""</code>. But this way I would have to retype the message.</p>
","0","1316620","0"
"17368423","2131316","2013-06-28 15:33:19","0","518","<git><gerrit><git-commit><git-amend>","how the git commit --amend working together with gerrit?","<p>I staged and committed 5 files and pushed it gerrit, but before it is merged in to git, I updated 3 of them then I git commit --amend to the last commit, and if I do push to gerrit again, does this second path contains the updates in the other two files?</p>
","0","2131316",""
"73649220","2444661","2022-09-08 12:36:58","0","172","<git><git-amend>","git amend: Commit not amended","<p>I see a bit strange behavior with Git.</p>
<p>So I have a feature branch locally, say F1, and I add a commit, C1, to it. I push it to repo, get reviews and finally merge to master. So master has my commit C1 on top.</p>
<p>Then I realized that some changes in C1 are not needed. So I created another feature branch, say F2, from latest in master. Fortunately commit C1 is still at top. So I amended C1 itself, and changed the commit message with</p>
<blockquote>
<p>'git commit --amend -m &quot;new message&quot;</p>
</blockquote>
<p>pushed the branch, got it reviewed, got it merged to master.</p>
<p>I was expecting C1 to be still at top in master, with amended commit message. But it's not and new commit is on the top with new commit message, with C1 at position 2.</p>
<p>Is this 'amend' behaviour as expected?</p>
","5","2444661",""
"75068887","11402587","2023-01-10 10:53:07","0","36","<git><git-amend>","How do you add to the last commit message when running git commit --amend","<p>not sure if you can do this but I am looking for the Syntax / Placement to add a new message when editing a commit via <code>git commit --amend</code></p>
<p>I am aware that you can overwrite a message via <code>git commit --amend -m '&lt;over write message goes here&gt;'</code>.</p>
<p>In this case I have some commits that all fall into one batch - they are quick fixes and the aim is to reference there issue numbers on the message so this is shown in gitlabs.</p>
<p>Instead of having X commits per issue, I wanted to write a message like &quot;#22 #24 #26 - batch update of small low level issues&quot;.</p>
<p>When I run: <code>git commit --amend</code> I am greeted with a VIM screen:</p>
<p><a href=""https://i.stack.imgur.com/lZO8U.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/lZO8U.png"" alt=""enter image description here"" /></a></p>
<p>Where and how do I add to the current commit message on this page / is this possible?</p>
<p>I tried:</p>
<p>Keycommand: i (allows you to insert)</p>
<p>Then adding to the currently shown commit message at the top:</p>
<p><a href=""https://i.stack.imgur.com/4hM8K.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/4hM8K.png"" alt=""enter image description here"" /></a></p>
<p>then</p>
<p>Keycommand: :wq (to write and save)</p>
<p>I get an issue: <code>Aborting commit due to empty commit message.</code></p>
<p>So where do I need to add the commit message using this system?</p>
<p>thanks - W</p>
","0","11402587",""
"76089744","16955154","2023-04-24 07:58:11","-2","71","<git><visual-studio-code><commit><git-amend>","git commit --amend not opening a new tab in VS Code","<p>I used to use <code>git commit --amend</code> and it used to open a new tab in VS Code where I can edit the commit and when I close this tab the commit is changed, but for some reason this doesn't happen any more.</p>
<p>Now when I use <code>git commit --amend</code> it doesn't open the new tab and displays the commit message in the command line, and I can't edit it there.</p>
<p>How can I have the VS Code tab back, or edit the message in the command line?</p>
<p>I tried to edit the message in the command line but nothing changed, I can't even quit this phase with Ctrl + C and I exit it by closing Powershell.</p>
","2","16955154",""
"11540824","699012","2012-07-18 11:58:11","4","981","<git><rebase><git-amend>","Changing the code of previous commits with git rebase -i","<p>I have a repository with various commits which I want merged in two patches.
One patch introducing the feature and another changing the existing code to use it.
Problem is, when I was coding and committing I didn't have that in mind, so there are commits which do both. How can I split these commits?</p>

<p>I know that somehow I can do it with git rebase -i and picking edit for each commit I'd like to change, but this way I can only change the commit message, not the code </p>
","0","699012","0"
"2310080","55562","2010-02-22 10:01:42","2","969","<svn><git><git-svn><commit><git-amend>","How to remove a file from a git commit to push to svn","<p>I replaced a folder and all its contents with a symlink. That is removed the folder and added a symlink, in a single git commit.</p>

<p>Git commit happened normally. However when I try to push to the upstream svn, it complains that the file exists.</p>

<p>Now, how do I amend my commit to not contain the git add of the new symlink and make it a new commit, so SVN can understand to remove and replace the folder; or can I use the svn commit force via git amend.</p>

<p>This is the error I get: </p>

<pre><code>RA layer file already exists: File '/svn/uswaretech_zobpress/site_media/frontend' already exists at /usr/lib/git-core/git-svn line 508
</code></pre>
","0","55562","0"
"21316534","3207330","2014-01-23 18:33:27","3","2342","<git-amend><git>","Git not-fast-forward errors after git commit --amend","<p>I used git commit --amend to amend the previous commit. After that when I push my changes, I was rejected because of 'not -fast-forward' Errors. I have search for answers. Unfortunately, commands such as, <code>git pull --rebase</code>, <code>git fetech origin</code> don't work. If there is no conflict in my local repo, why my push failed.</p>
","0","3207330",""
"1459150","109305","2009-09-22 09:56:19","1838","591015","<git><commit><undo><git-amend>","How to undo ""git commit --amend"" done instead of ""git commit""","<p>I accidentally amended my previous commit. The commit should have been separate to keep history of the changes I made to a particular file.</p>

<p>Is there a way to undo that last commit? If I do something like <code>git reset --hard HEAD^</code>, the first commit also is undone.</p>

<p>(I have not yet pushed to any remote directories)</p>
","1","109305","0"
