Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,OwnerUserId,AnswerCount,FavoriteCount
"19649772","1321129","2013-10-29 04:39:38","54","34020","<git><github><git-branch><pull-request>","What is github 'compare & pull request'","<p>I am working on a <code>MeteorIntegration</code> (feature) branch that is published. I did a <code>git push</code> assuming the push was going to the checked-out branch <code>MeteorIntegration</code>: </p>

<p>And now I see the following on both <code>master</code> and <code>MeteorIntegration</code> branches. </p>

<p><img src=""https://i.stack.imgur.com/8jEby.png"" alt=""github snap""></p>

<p>I read github documentation: <a href=""https://help.github.com/articles/closing-a-pull-request"" rel=""noreferrer"">Closing a pull request</a> and <a href=""https://help.github.com/articles/tidying-up-pull-requests"" rel=""noreferrer"">Tidying up Pull Requests</a> but that didn't help, possibly because I am not dealing with a pull request here?</p>

<p><strong>How do I get rid of this <code>compare &amp; pull request</code>?</strong> </p>
","0","1321129","0","0"
"38574661","6027000","2016-07-25 18:08:19","0","36","<github><git-branch><git-push><git-pull><git-fork>","github forked repository: How to pull the changes from forkedrepo/branch to orignalrepo/<Create-new-branch>","<p>UserA Original Repository Creator:  No branches. Master only. <br>
UserB Forks the repository and makes some changes and creates a new branch and puts the changes into github.com/<strong>userB</strong>/repo-name/newbranch-name</p>

<p>How can userA ,</p>

<ol>
<li>pull the changes from github.com/<strong>userB</strong>/repo-name/newbranch-name
and   </li>
<li>put into a new branch with the same name as of userB ....that
    is, github.com/<strong>userA</strong>/repo-name/newbranch-name</li>
</ol>

<p><strong>Some info on current scenario</strong> <br>
UserB(forked user) is not available to push those changes - the question is not ""how can I get  to do something"" but ""how can I do something myself"" without requesting userB to push the changes to UserA (Original repo creator)
<br> In addition, UserA  doesnt want to merge this to MASTER. 
<br> UserA prefers to put these changes in a new branch. <strong><em>i.e.</em></strong> <strong>github.com/UserA/repo-name/{create-new-branch}</strong></p>
","0","6027000","",""
"38664421","5209224","2016-07-29 17:30:29","40","37258","<git><diff><git-branch><git-diff><working-directory>","How do I call git diff on the same file between 2 different local branches?","<p>Is there a way to check the difference between the working directory in my current branch against the working directory of another branch in a specific file? For example, if I'm working in branch A on file 1, I want to compare the difference with file 1 on branch B.</p>
","1","5209224","0","0"
"246275","25453","2008-10-29 09:58:30","63","20237","<git><git-branch>","Modified files in a git branch are spilling over into another branch","<p>I am working on a git repository with a master branch and another the topic branch. I have switched to topic branch and modified a file. Now, if I switched to the master branch, that same file is shown as modified.</p>
<p>For example:</p>
<p>git status in git-build branch:</p>
<pre><code># On branch git-build
# Changes to be committed:
#   (use &quot;git reset HEAD &lt;file&gt;...&quot; to unstage)
#
#       modified:   cvsup_current
#
</code></pre>
<p>Switch to master branch</p>
<pre><code>[root@redbull builder_scripts (git-build)]# git co master
M       builder_scripts/cvsup_current
Switched to branch &quot;master&quot;
</code></pre>
<p>git status in master branch</p>
<pre><code>[root@redbull builder_scripts (master)]# git status
# On branch master
# Changes to be committed:
#   (use &quot;git reset HEAD &lt;file&gt;...&quot; to unstage)
#
#       modified:   cvsup_current
#
</code></pre>
<p>Why is that the file is shown as modified in the master branch even though it was modified in git-build branch?</p>
<p>My understanding was that the branches are independent of each other and when I change from one branch to another the changes do not &quot;spill over&quot; from one branch to another. So I am obviously missing something here.</p>
<p>Has anyone got a clue stick?</p>
","1","25453","0","0"
"65336952","14842360","2020-12-17 08:20:25","1","344","<git><git-branch><git-checkout>","git checkout master returns error when switching from mybranch","<p>I was pushing code to <code>master</code> branch and switching to <code>mybranch</code> to fix bugs. Everything worked fine when using <code>$git checkout master</code> and <code>$git checkout mybranch</code>!</p>
<p>The problem is that I once typed <code>git checkout origin</code> instead of <code>git checkout master</code> when I wanted to switch from <code>mybranch</code> into <code>master</code>. Now, every time I want to return to <code>master</code> branch I get this error:</p>
<pre><code>error: pathspec 'master' did not match any file(s) known to git
</code></pre>
<p>My question is: how can I get back to <code>master</code> branch using <code>$git checkout master</code> command?</p>
","1","14842360","0","0"
"76136334","21771064","2023-04-29 12:54:52","0","30","<git><github><git-branch><git-history>","Change git history and branch","<p>I have 2 branches which is created at the same time from master branch. Both has been merged to master after changes. Branch history look like below:</p>
<p><a href=""https://i.stack.imgur.com/ujNf8.png"" rel=""nofollow noreferrer"">My git structure</a></p>
<p>I want to change the structure so that Branch2 should be created from master that Branch 1 already merged. I want to change the structure to this:</p>
<p><a href=""https://i.stack.imgur.com/qKHZd.png"" rel=""nofollow noreferrer"">I want</a></p>
<p>Is it possible to change the git history from image 1 to image 2?</p>
","1","21771064","",""
"76214055","12138765","2023-05-09 23:53:50","0","10","<git><deployment><git-branch><fabric>","Fabric 2.7.1 how do I deploy a specific git branch","<p>I've hit a bit of a wall with fabric. I'm trying to deploy a specific branch to my server. I can deploy the main branch the normal way using the Terminal command</p>
<pre><code>fab dev www release
</code></pre>
<p>where dev is the server and www is the app. But it only releases the master branch. I need to deploy 'branch1' for example. How do I accomplish this?</p>
<p>Thanks in Advance!!!!</p>
","0","12138765","",""
"76258954","4451521","2023-05-16 02:13:37","-1","50","<git><git-branch><branching-and-merging>","git fetching and merging when origin and local and very different","<p>I am working with a team project.
There is this branch &quot;current_feature&quot; made by other developer.</p>
<p>So I did <code>git fetch origin current_feature</code> and then <code>git checkout current_feature</code>.</p>
<p>With that I got both the remote and local &quot;current_feature&quot; in the same commit.</p>
<p>Now this branch is separated from the main branch. They had a common commit in the past, but then diverged.</p>
<p>The problem started the next day. I don't know how but the developer made some changes and now <code>current_feature</code> is rebased over main.</p>
<p>So the situation is something like</p>
<p><a href=""https://i.stack.imgur.com/eBuig.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/eBuig.png"" alt=""enter image description here"" /></a></p>
<p>My question is what should I do to have the local and remote current_feature in the same commit? I am afraid git merge would not do because it is not a fast forward merge. and I am bit hesitant of rebase since the local <code>current_feature</code> is over another branch called <code>other_branch</code>.
How can I have both local and remote current_feature in the same commit?</p>
","0","4451521","",""
"76364045","7798467","2023-05-30 10:49:24","-1","20","<git><git-branch><git-status>","Why does git clone not copy remote branch and give error message when git status? problem with upstream?","<p>I just created my own github page which is finalexam96.github.io</p>
<p>On Visual Studio Code, I did <code>git clone https://github.com/finalexam96/finalexam96.github.io.git </code></p>
<p>I created an index.html file committed everything and it worked. But when I try to check it out with  <code>git status</code>, it says</p>
<blockquote>
<p>On branch main
Your branch is based on 'origin/main', but the upstream is gone.
(use &quot;git branch --unset-upstream&quot; to fixup)</p>
</blockquote>
<blockquote>
<p>nothing to commit, working tree clean</p>
</blockquote>
<p>I tried to see if I have proper branches and typed <code>git branch</code> which is for local branch and it shows</p>
<blockquote>
<p>*main</p>
</blockquote>
<p>Then I tried <code>git branch -r</code>, but it showed nothing. so I believe the remote branch doesn't exist.</p>
<p>At this point, I didn't know what to do, so I used <code>git remote add origin https://github.com/finalexam96/finalexam96.github.io.git</code> but  it returns</p>
<blockquote>
<p>error: remote origin already exists</p>
</blockquote>
<p>So my remote branch exists but it won't show up when I try to see a list of remote branch.</p>
<p>I want to see <code>#of commits ahead</code> when I use <code>git status</code></p>
<p>What should I do to make this work?</p>
","1","7798467","",""
"76426089","16249564","2023-06-07 18:21:14","-1","10","<git><svn><git-branch><git-svn><git-push>","I have converted a Subversion(svn) repo to git repo. I want to push a branch from it to a already created branch in git","<ol>
<li>svn has branchA-&gt;converted to git branchA(along with history).</li>
<li>created a git repo in bitbucket-&gt; created a branch B from master.</li>
<li>Now, I want to push all changes of branchA to branchB.
(Note: If I directly push branchA to git repo, it's showing as detached head. no relation between master and the pushed branch)</li>
</ol>
<p>(Note: If I try to merge branchB to master, it's saying cann't merge unrelated branches. No common ancestor)</p>
","1","16249564","",""
