Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,OwnerUserId,AnswerCount,FavoriteCount
"38605863","3224058","2016-07-27 06:59:28","1","629","<windows><git><git-checkout>","Error at git checkout. Path too long","<p>I have this error in Git when I try to checkout to another branch after clone the repo:</p>

<pre><code>git -c diff.mnemonicprefix=false -c core.quotepath=false checkout develop

fatal: cannot create directory at 'node_modules/karma/node_modules/chokidar/node_modules/anymatch/node_modules/micromatch/node_modules/braces/node_modules/expand-range/node_modules/fill-range/node_modules/isobject/node_modules/isarray/build': Filename too long
</code></pre>

<p><code>node_modules</code> folder is no longher important to tack into git
(I put the folder <code>node_modules/</code> in <code>.gitignore</code>) but I always have this error.</p>

<p>It seems a problem of too long path, because if I try to navigate in explorer I meet a windows error of too long path.</p>
","3","3224058","0","0"
"10182303","970193","2012-04-16 21:58:06","3","433","<git><merge><git-checkout>","git pull to branch_1 and merge into current branch simultaneously","<p>I took a look around, but didn't see this exact question answered, so here I go:</p>

<pre><code>git checkout master
git checkout -b release1
git checkout -b feature1
git checkout -b feature2
</code></pre>

<p>i do work on <code>feature1</code>, someone else does work on <code>feature2</code>, both are pushed to origin</p>

<pre><code>git checkout -b feature1
git pull
git checkout -b feature2
git pull
</code></pre>

<p>Question 1: Can I pull the latest from origin of <code>feature1</code> and <code>feature2</code> to their respective local branches without having to check them out individually and pull them each separate? </p>

<p>Continuing along . . .</p>

<pre><code>git checkout release1
git merge feature1
git merge feature2
</code></pre>

<p>Someone else does work on <code>feature2</code>. </p>

<p>Question 2: I want to merge the latest on origin <code>feature2</code> into my current <code>release1</code> branch without switching branches to pull it, then switching again to merge it. Is this possible?</p>
","3","970193","",""
"65336952","14842360","2020-12-17 08:20:25","1","344","<git><git-branch><git-checkout>","git checkout master returns error when switching from mybranch","<p>I was pushing code to <code>master</code> branch and switching to <code>mybranch</code> to fix bugs. Everything worked fine when using <code>$git checkout master</code> and <code>$git checkout mybranch</code>!</p>
<p>The problem is that I once typed <code>git checkout origin</code> instead of <code>git checkout master</code> when I wanted to switch from <code>mybranch</code> into <code>master</code>. Now, every time I want to return to <code>master</code> branch I get this error:</p>
<pre><code>error: pathspec 'master' did not match any file(s) known to git
</code></pre>
<p>My question is: how can I get back to <code>master</code> branch using <code>$git checkout master</code> command?</p>
","1","14842360","0","0"
"76216018","21725097","2023-05-10 07:41:07","0","20","<git><visual-studio-code><git-checkout>","How to `git checkout <commit-ID> <filename>` with VScode?","<p>From the command line, if I want to go back to a previous version of a specific file, I can checkout this file with a commit-ID like this :</p>
<p><code>git checkout &lt;commit-ID&gt; &lt;filename&gt;</code></p>
<p>I wonder how can I achieve the same thing with VScode ?</p>
<p>The source control menu in VScode is quiet weak and does not do much, I probably need an extension to do more sophisticated stuff. I saw edamagit that is inspired from magit on Emacs which is quiet powerful, but don't know how to use magit for doing this.</p>
","1","21725097","",""
"76337157","7835017","2023-05-26 01:39:38","0","80","<github-actions><git-checkout><semantic-versioning><gitversion>","fetch-depth: 0 on github actions checkout is not fetching all tags and refs","<p>I have a  repo which has a TAG 1.0.0 on main and i am running a github workflow on branch &quot;dev&quot;</p>
<pre><code> steps:      
      - name: &quot;Checkout Application repo&quot;
        uses: actions/checkout@v3
        with:
          repository: ${{ inputs.repo_name }}
          token: ${{ secrets.token }}
          fetch-depth: 0
      - name: Gitversion
        id:  git-version
        run: |
          cd ${{github.workspace}}         
          $GitVersion = dotnet-gitversion /output json |ConvertFrom-Json
          echo $GitVersion.SemVer
        
</code></pre>
<p>I expect the semver to be 1.1.0 using Continous delivery mode , however the Semever is 1.0.1 and i  tried to list git branch -l to see all branches listed , but i only see dev branch there with fetch-depth : 0 it should have all branch and tag information</p>
<p>what am i am missing here?</p>
","1","7835017","",""
"76362202","12969054","2023-05-30 06:47:04","0","32","<ssh><github-actions><remote-access><cicd><git-checkout>","how to do checkout in github actions on remote server which is running somewhere using ssh?","<p>Let's say there are two machines A and B, I'm inside <strong>A</strong> machine which works as a self-hosted runner in the GitHub actions. If I use checkout action, it will checkout to <strong>Machine A</strong>, what if I want checkout to <strong>Machine B</strong> by ssh to <strong>Machine B</strong> without git clone or appleboy/ssh-action.</p>
<p>Example Workflow:</p>
<pre><code>....
....
jobs:
  test:
    runs-on: self-hosted [Machine A]
    steps:
      - name: checkout
        uses: actions/checkout@v2 
        #Which will checkout in A
      - name: ssh
        #lets say I ssh to remote Machine B
        and able to run the commands inside the B how to do the 
        checkout in B other than git clone. Is it possible??
</code></pre>
","3","12969054","",""
"76418208","5002671","2023-06-06 20:25:56","0","35","<git><git-merge><gitignore><git-checkout>","Why .gitignore files are appearing in master while they are ignored in development branch?","<p>I have a development branch, where in one of the sub-directories I created a .gitignore file, added the file(s) to be ignored, committed and pushed the change to development branch. But now when I checkout to master (because I want to merge development to master), the ignored files show up as unstaged changes. Why does it happen this way? What am I doing wrong in the workflow? How can I fix it? (I am using VS code for my work).</p>
","0","5002671","",""
"76457596","6613780","2023-06-12 14:22:10","0","20","<git><github><git-checkout><git-stash>","How to recover deleted files from git after switching branch without stash","<p>I've made some local changes and didn't pushed to repository, accident tally switched to another branch without stashing my changes, i did</p>
<pre><code>git checkout .
</code></pre>
<p>Now i realized that after switching to my working branch, noticed all my local changes gone. Is there anyway to get it back i mean restore or if i do git checkout ., these files will be moved to any cache or recycle bin, i checked it in recycle bin, but not succeeded.
Any help ?
Thanks in advance</p>
<p>I've checked in my local is there any stash list, but no list. Very disappointing work i did. Is there any way to get back my local changes?</p>
","0","6613780","",""
"76474048","5426329","2023-06-14 13:18:36","0","22","<c++><git><git-checkout><libgit2>","Checkout local commit with libgit2","<p>I'm trying to implement a simple checkout operation between 2 commit. The code executes without errors.</p>
<pre><code>int checkout2() {
git_repository_free(repo);

git_repository_open(&amp;this-&gt;repo, this-&gt;dir);

git_commit* commit = NULL;

git_tree* tree;
check_lg2(git_commit_tree(&amp;tree, commit), &quot;Get tree&quot;, NULL);

const char* target_ref = &quot;commit hash&quot;;

git_checkout_options opts = GIT_CHECKOUT_OPTIONS_INIT;

/*checkout from HEAD*/
int error = git_checkout_head(repo, &amp;opts);

/*Checkout from the index*/
error = git_checkout_index(repo, NULL, &amp;opts);

/*Checkout a different tree*/
git_object* treeish = NULL;

error = git_revparse_single(&amp;treeish, repo, target_ref);
error = git_checkout_tree(repo, treeish, &amp;opts);

return 0;
</code></pre>
<p>}</p>
<p>However, the commit does not change.
I've checked the example in libgit2 (checkout.cpp) but there is a git_remote_list().</p>
<p>I want to checkout only between local commit.</p>
<p>What am I doing wrong?</p>
<p>I want to do something like <code>git checkout hash_commit</code></p>
","0","5426329","",""
"76503858","11143113","2023-06-19 05:38:00","0","78","<git><github><repository><github-actions><git-checkout>","How do i checkout a single folder / file from a remote repo using github actions","<p>I'm using github actions runner on windows.</p>
<p>I tried the below to checkout only the <code>scripts</code> folder from remote repo called <code>betech</code> from branch <code>mm365</code> inside the <code>current-folder\betech</code>; but it checks out the entire repo contents.</p>
<pre><code>  - name: Checkout just the scripts folder
    uses: actions/checkout@v3
    with:
      repository: mytech/betech
      ref: mm365
      path: betech
      token: ${{ secrets.MYGITHUBTOKEN }}

  - name: Configure Sparse Checkout   
    run: |
      echo &quot;scripts/*&quot; &gt;&gt; .git/info.sparse-checkout
      git read-tree -mu HEAD
    working-directory: betech

    env:
      token: ${{ secrets.MYGITHUBTOKEN }}
      secrets: inherit 
</code></pre>
<p>here is the sparse file</p>
<pre><code>cat betech\.git\info.sparse-checkout

scripts/*
</code></pre>
<p>Can you please suggest how I can checkout only the scripts folder or any single file [If the logic is comparatively different]</p>
<p>*** Update: ***
I tied the below answer and it works.</p>
<pre><code>  - name: Checkout just the scripts folder
    uses: actions/checkout@v3
    with:
      repository: mytech/betech
      ref: mm365
      path: betech
      sparse-checkout: |
        scripts
      sparse-checkout-cone-mode: false
      token: ${{ secrets.MYGITHUBTOKEN }}
</code></pre>
","0","11143113","",""
