Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,OwnerUserId,AnswerCount,FavoriteCount
"57574448","1424739","2019-08-20 13:08:58","0","74","<git><git-clone><git-log>","How to frugal `git clone` for `git log` only?","<p>I just want to clone a repository to extract the author and email info each commit. Is there a way to only <code>git clone</code> what is needed for <code>git log</code>?</p>
","3","1424739","",""
"62190605","13259399","2020-06-04 08:54:40","3","799","<git><atlassian-sourcetree><git-clone><remote-branch>","SourceTree git ""clone from url"" gives me fatal error","<p>I tried to add a new repository with the option ""clone from url"". It start the download but, almost immediately, it stops. I cannot see the old branches, it's like a new one. After some time, gives me this fatal error:
<strong>'git log' failed with code 128:'fatal: bad revision 'master'</strong></p>

<p>How can I fix his bug?
Thanks for reading and for the answers</p>
","2","13259399","",""
"68154064","16329012","2021-06-27 18:14:36","1","975","<git><git-clone>","Cant clone git repo on MacBook Air","<p>I recently tried to clone git repo using html from GitHub. But it showed me the following error whenever I typed in git-related command lines in terminal (git clone url).</p>
<p><code>xcrun: error: unable to load libxcrun (dlopen(/Library/Developer/CommandLineTools/usr/lib/libxcrun.dylib, 0x0005): could not use '/Library/Developer/CommandLineTools/usr/lib/libxcrun.dylib' because it is not a compatible arch).</code></p>
<p>I tried looking it up and tried a few suggestions. I tried <code>install Xcode -select</code> but it did not work. Any help or suggestions is appreciated. Thank you</p>
","3","16329012","",""
"51794791","1223975","2018-08-10 22:34:54","4","3440","<git><git-clone>","Git metadata - is there a way to add git metadata that is independent of each branch?","<p><strong>End goal:</strong> I want to have files that are tracked by Git, but have those files be the <em>same version for all branches</em>. If you gitignore files, those are the same for all branches, but unfortunately aren't tracked. When I run <code>git push</code> or the like, I need these files to passed between repos, etc.</p>

<p>For example, the data that is in .git folder is typically git-ignored. I want to add some data to my repo so that the data is independent of all branches, but still appears in all branches, and when you clone the repo, the data shows up.</p>

<p>Is this possible? So for example, if the <code>.git</code> dir looks like:</p>

<pre><code>.git/
  branches/
  hooks/
  objects/
  config
  HEAD
  index
</code></pre>

<p>I was thinking of adding a folder:</p>

<pre><code>.git/
  .oresoftware/
</code></pre>

<p>and putting my data in there, where that data is independent of all branches.</p>

<p>I don't think this will work, because the data in the .git repo isn't really tracked. I am looking for something that's tracked by git, but is the same for all branches...</p>

<p><strong>Update</strong>: After reading the answers and thinking about this for awhile, I thought maybe if I amend the initial commit with new files, then it could magically work, but of course that's not how Git works, each commit is a total snapshot, so changing historical commits after the fact won't change newer ones.</p>
","6","1223975","0","0"
"76224843","21877949","2023-05-11 06:52:39","1","18","<git><performance><git-submodules><git-clone><size-reduction>","Clone git with default reference repositories including submodules","<p>we are using git for multiple projects, that are using hundreds of submodules. Most projects are using the same submodules, but when cloning them on the local disk, every project receives a full clone of each used submodule.</p>
<p>This results in an high network transfer and harddisk space usage.</p>
<p>Is there a way to define reference repositories for all those git repos?</p>
<p>As the URL's of the submodules can be anything, maybe a SHA1 hash of this URL could serve as a folder name</p>
<p>I'd think about such an command:
<code>git clone --reference-if-able d:\GitRefRepos\&quot;sha1(&lt;URL&gt;)&quot; --recursive &lt;URL&gt;</code></p>
<p>or better as config
<code>git config use-reference-if-able.folder d:\GitRefRepos\</code>
<code>git config use-reference-if-able.url2folder SHA1</code>
<code>git clone --recursive &lt;URL&gt;</code></p>
<p>I'd like to see from this a reduction of the harddisk space and network transfer time, by using the same submodule reference repo for all projects.</p>
","0","21877949","",""
"76311868","14474058","2023-05-23 06:33:14","0","19","<git><github><github-actions><git-clone>","Error ""could not set 'core.repositoryformatversion' to '0'"" showing when trying to clone a github repository","<p>When I tried to clone a Github repository I encountered the following error:</p>
<blockquote>
<p>could not set 'core.repositoryformatversion' to '0'</p>
</blockquote>
<p>Please help how I can resolve this error. I tried looking for it but there are hardly any solutions or articles online.</p>
","1","14474058","",""
"76361315","21982714","2023-05-30 02:46:08","0","63","<git><docker><gitlab><ssh-keys><git-clone>","Gitlab cannot clone repo through 'git clone git@ip:xxx.git'","<p>My Gitlab is on the internal network, only IP without domain name.
It is installed by docker, and cannot clone repo through:</p>
<pre class=""lang-bash prettyprint-override""><code>git clone git@ip:xxx.git
</code></pre>
<p>and can been cloned through:</p>
<pre class=""lang-bash prettyprint-override""><code>git clone http://ip:xxx
</code></pre>
<p>I have add SSH Key in my Gitlab, and if I clone repo by <code>git clone git@ip:xxx.git</code>. it will display</p>
<pre class=""lang-bash prettyprint-override""><code>Cloning into 'xxx'...
Warning: Permanently added 'ip' (ECDSA) to the list of known hosts.
git@ip's password:

</code></pre>
<p><strong>No matter what password entered, you cannot clone this repo.</strong></p>
<hr />
<p>run Docker container by</p>
<pre class=""lang-bash prettyprint-override""><code>docker run --detach \
  --hostname ip \
  -p 8443:443 -p 8090:80 -p 8022:22 \
  --name gitlab-ee \
  --restart always \
  --volume /mnt/data01/opt/gitlab-ee/config:/etc/gitlab \
  --volume /mnt/data01/opt/gitlab-ee/logs:/var/log/gitlab \
  --volume /mnt/data01/opt/gitlab-ee/data:/var/opt/gitlab \
  --privileged=true \
  gitlab/gitlab-ee:latest 
</code></pre>
<p>The file about ~/.ssh/config is :</p>
<pre><code>  # gitlab
  Host ip
      HostName ip
      IdentityFile ~/.ssh/id_rsa
      StrictHostKeyChecking no

</code></pre>
<p>I have try to clone through</p>
<pre class=""lang-bash prettyprint-override""><code>git clone http://ip:xxx
</code></pre>
<p>However,it is not convenient to use because always needs to enter account and password.</p>
","1","21982714","",""
"76381695","21916510","2023-06-01 12:08:05","-1","28","<git><android-studio><git-clone>","Can’t see my files cloned from git in my android studio (my project)","<p>I created with my local project in android flamingo a new Repository <a href=""https://github.com/Germansdev/Games/tree/main"" rel=""nofollow noreferrer"">https://github.com/Germansdev/Games/tree/main</a>.
I tried to clone from VCC, but when paste the url appear:</p>
<pre><code>The directory already exists and it is not empty
</code></pre>
<p>I delete files and directory en file system and in android studio also.
I tried clone again (default, master, starter) and always the same issue.
I include these two screens below.</p>
<p>I need see the cloned files in android studio correctly and can run:</p>
<p><img src=""https://i.stack.imgur.com/TTXl5.png"" alt=""screenshot 1"" /></p>
<p><img src=""https://i.stack.imgur.com/rjq3Z.png"" alt=""screenshot 2"" /></p>
","7","21916510","",""
"76452868","8824214","2023-06-11 23:17:11","-1","24","<windows><git><ssh><git-clone><windows-server-2019>","When executing ""git clone"", it was failed with ""fatal: Could not read from remote repository. ""","<p>I'm trying to execute &quot;git clone&quot; from my own Windows Sever 2019 using ssh.
However, it has been failed with the following message. Could you please help me solve this problem?</p>
<pre><code>foo@foo:~/tmp/test $ git clone git@192.168.56.7:/c:/users/git/repos/demo.git
Cloning into 'demo'...
git@192.168.56.7's password: 
fatal: ''/c:/users/git/repos/demo.git'' does not appear to be a git repository
fatal: Could not read from remote repository.

Please make sure you have the correct access rights
and the repository exists.
</code></pre>
<p>Just to the record, user &quot;git&quot; can log in the Windows Server via ssh.</p>
<pre><code>git@192.168.56.7's password: 

Microsoft Windows [Version 10.0.17763.4377]
(c) 2018 Microsoft Corporation. All rights reserved.

git@WIN-L6I38IN3EHG C:\Users\git&gt;
</code></pre>
<p>I created a git repository with the following way.</p>
<pre><code>git@WIN-L6I38IN3EHG C:\Users\git&gt;cd repos
git@WIN-L6I38IN3EHG C:\Users\git\repos&gt;git init --bare --shared=true demo.git
Initialized empty shared Git repository in C:/Users/git/repos/demo.git/

git@WIN-L6I38IN3EHG C:\Users\git\repos&gt;dir demo.git
Volume in drive C has no label.
Volume Serial Number is 789C-4B70

Directory of C:\Users\git\repos\demo.git

06/11/2023  03:53 PM    &lt;DIR&gt;          .
06/11/2023  03:53 PM    &lt;DIR&gt;          ..
06/11/2023  03:53 PM               164 config
06/11/2023  03:53 PM                73 description
06/11/2023  03:53 PM                23 HEAD
06/11/2023  03:53 PM    &lt;DIR&gt;          hooks
06/11/2023  03:53 PM    &lt;DIR&gt;          info
06/11/2023  03:53 PM    &lt;DIR&gt;          objects
06/11/2023  03:53 PM    &lt;DIR&gt;          refs
               3 File(s)            260 bytes
               6 Dir(s)  36,149,854,208 bytes free

git@WIN-L6I38IN3EHG C:\Users\git\repos&gt;exit
</code></pre>
<p>I tried to do the followings, but all was failed with the same message...</p>
<pre><code>git clone git@192.168.56.7/c:/users/git/repos/demo.git
git clone git@192.168.56.7/c/users/git/repos/demo.git
git clone git@192.168.56.7/repos/demo.git
git clone git@192.168.56.7:repos/demo.git
git clone ssh://git@192.168.56.7/c:/users/git/repos/demo.git
git clone ssh://git@192.168.56.7/c/users/git/repos/demo.git
git clone ssh://git@192.168.56.7/repos/demo.git
git clone ssh://git@192.168.56.7:repos/demo.git
</code></pre>
","1","8824214","",""
"76488128","19539520","2023-06-16 08:01:45","1","32","<git><whitespace><git-clone>","git clone - Issue with whitspace within URL","<p>I am having issues using <code>git clone</code> with repositories that have whitespace in their names.</p>
<p>For example, my project name in AzureDevOps is: &quot;TestProject - Test&quot; and the URL to clone my git repo is:</p>
<pre><code>git clone --mirror https://xxxPAT@dev.azure.com/organizationname/&quot;TestProject - Test&quot;/_git/&quot;TestProject - Test&quot;
</code></pre>
<p>However, if I leave the URL like this, git throws an error saying &quot;repository not found&quot; as it only recognizes the URL until the first whitespace.</p>
<p>If I put the repository name in double or single quotation marks, I get &quot;URL using bad/illegal format or missing URL&quot; error.</p>
<p>I have also tried to escape the whitespace with <code>%20</code>, as suggested by Google:</p>
<pre><code>.../organizationname/TestProject%20-%20Test/_git/TestProject%20-%20Test
</code></pre>
<p>But git resolves the URL as <code>/organizationname/TestProject0-0Test/_git/TestProject0-0Test</code>, making it unable to find the project as it doesn't exist with a zero character instead of the whitespace.</p>
<p>Does anyone have an idea how to solve this issue? Thank you in advance.</p>
","5","19539520","",""
