Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,OwnerUserId,AnswerCount,FavoriteCount
"292357","6068","2008-11-15 09:51:09","13636","3379961","<git><version-control><git-pull><git-fetch>","What is the difference between 'git pull' and 'git fetch'?","<p>What are the differences between <a href=""https://git-scm.com/docs/git-pull"" rel=""noreferrer""><code>git pull</code></a> and <a href=""https://git-scm.com/docs/git-fetch"" rel=""noreferrer""><code>git fetch</code></a>?</p>
","7","6068","0","0"
"65336955","1169587","2020-12-17 08:20:29","0","2665","<git><git-fetch>","git fetch remote branch, but cannot see in local repository or working copy","<p>my current branch is staging_kei20201211, I want to fetch the latest code from origin/staging branch, I type the following command</p>
<pre><code>git fetch origin staging
</code></pre>
<p>and it said
<a href=""https://i.stack.imgur.com/EaUNB.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/EaUNB.jpg"" alt=""fetch output"" /></a></p>
<p>1)
then I go to visual studio to see the history of my branch staging_kei20201211, but I cannot see the commit c03c99691 as stated in the fetch output, why?</p>
<ol start=""2"">
<li>what is the meaning of the fetch output screen?
From http://XXXXXX/gitea/elm-ha/CFMS</li>
</ol>
<ul>
<li>branch                staging    -&gt; FETCH_HEAD
c97e1dbb7..c03c99691  staging    -&gt; origin/staging</li>
</ul>
","1","1169587","",""
"76239473","1715765","2023-05-12 19:41:33","-3","53","<git><git-config><git-fetch>","How do I set git fetch --force in git config?","<p>I want every fetch and pull to get tags from origin, replacing local ones if they differ, and delete tags and <code>origin/</code> branches that are not on origin, so I did this:</p>
<pre><code>git config --global fetch.tags true
git config --global fetch.force true
git config --global fetch.prune true
git config --global fetch.pruneTags true
</code></pre>
<p>I still need to type <code>git fetch --force</code> to &quot;clobber&quot; existing tags. The rest works fine. How do I properly add the force flag to git config?</p>
<p>This is in my .gitconfig:</p>
<pre><code>[fetch]
    tags = true
    force = true
    prune = true
    pruneTags = true
</code></pre>
","5","1715765","",""
"40602721","1175080","2016-11-15 05:34:39","1","1102","<git><git-merge><git-pull><git-fork><git-fetch>","Syncing fork with upstream: git fetch + git checkout + git merge vs. git checkout + git pull","<p>The documentation at <a href=""https://help.github.com/articles/syncing-a-fork/"" rel=""nofollow noreferrer"">Github-Help: Syncing a Fork</a> shows three commands to keep my GitHub fork in sync with the upstream repo.</p>

<pre><code>git fetch upstream
git checkout master
git merge upstream/master
</code></pre>

<p>Can I use the following two commands instead of the above three?</p>

<pre><code>git checkout master
git pull upstream/master
</code></pre>

<p>Are the two sets of commands equivalent, or are there differences between them?</p>
","4","1175080","",""
"59414497","7629560","2019-12-19 17:38:19","0","80","<git><git-pull><git-fetch>","What is the reason of the existence of ""git pull --all""?","<p>Before anything, <em>I know the difference between <code>git pull</code> and <code>git fetch</code></em>.</p>

<p>However, I'd like to pull every branch at a time, and I learned that a command <code>git pull --all</code> exists, but it did not accomplish that purpose, as it fetches all branches but only merges the one I am working in with its remote (and other stackoverflow posts like <a href=""https://stackoverflow.com/a/4318198/7629560"">this</a> assured me that).</p>

<p>The documentation on <code>man git-pull</code> references the <code>git fetch</code> command and in the <code>--all</code> section says </p>

<pre><code>   Options related to fetching
   --all
       Fetch all remotes.
</code></pre>

<p>My question is, then, <strong>therotical</strong>. </p>

<p>Does it make sense to exist a <code>git pull --all</code> since its name is misleading? </p>

<p>And does it make sense to reference <code>man git-fetch</code> in a way that also misleads, since <code>git pull --all</code> is not the same as <code>git fetch --all</code> ?</p>

<p>(<em>I know this question may sound like primarily opinion based question, however maybe I can get from you an understanding of these git commands that I do not have now. And others may not have it as well.</em>)</p>
","0","7629560","",""
"40834966","5063401","2016-11-27 23:07:07","0","927","<git><github><push><git-commit><git-fetch>","pushing limited commit history to remote git","<p>I have a git repository on a lab machine at my school and have been running into an issue I've been trying to solve.  </p>

<p>Due to arrangement of the CUDA SDK we're using, I have two remotes in the same directory, but I do not want all the commits from one remote, origin, being pushed to the other remote, ""proj1"".  I'll be more clear below:</p>

<p>Originally, this directory had a git repository with a single remote, and for example, the following commit history:</p>

<pre><code>A-B-C-D-E &lt;-(origin/master)
</code></pre>

<p>I then added a second remote and created a local branch from which I would push to and fetch from:</p>

<pre><code>A-B-C-D-E-G &lt;-(origin/master) (master)
        '        
        '-F-H-I &lt;-(proj1/newbranch) (newbranch)
</code></pre>

<p>Now when I go to push my changes from ""newbranch"" to remote ""proj1/newbranch"", I do NOT want to push commits A-E with it, I want only to push from F and forward.</p>

<p>I know that an orphaned branch is exactly what I'm looking for here, but our lab is running git 1.7.x, which does not have that feature yet, and getting the admins to update it simply takes too long (we don't have permissions to do it ourselves of course).</p>

<p>I also read I could reorder my commits with rebase so that F is the oldest commit, then I could push a single commit to ""proj1"".  But wouldn't doing this alter/mess up my history on the master branch as well? (A-E are already on origin/master)</p>

<p>So I am wondering if I am missing some feature of git to accomplish what I'd like?  Is there some other way to delete the commit history of ""newbranch"" or at least break it off?  Maybe what I am doing is bad practice, but like I said, I need to have all files in this directory for the CUDA SDK, and I don't want to mess with that.  </p>
","7","5063401","",""
"3357122","286802","2010-07-28 20:16:04","333","180647","<git><git-rebase><git-pull><git-fetch>","What is the difference between git pull and git fetch + git rebase?","<p><a href=""https://stackoverflow.com/questions/292357/whats-the-difference-between-git-pull-and-git-fetch"">Another question</a> says that <code>git pull</code> is like a <code>git fetch</code> + <code>git merge</code>.</p>
<p>But what is the difference between <code>git pull</code> and <code>git fetch</code> + <code>git rebase</code>?</p>
","3","286802","0","0"
"22083818","364100","2014-02-28 00:32:52","3","133","<git><version-control><fetch><git-fetch>","What's the difference between 'git fetch' and 'git fetch --all'","<p>It seems to make no difference for the repo I'm working with, and the man page is not very helpful.</p>
","0","364100","0","0"
"59920937","596370","2020-01-26 17:34:31","2","1008","<git><gitlab><git-remote><git-fetch>","git command warning says redirecting to <url>.git","<p>I am holding a project on <code>gitlab</code>, and I am having a cloned copy on my <code>ubuntu</code> desktop. On recent days I am facing a weird warning (<code>redirecting to https://gitlab.com/&lt;my_handle&gt;/&lt;project&gt;.git/</code>) on <code>remote update</code> and <code>fetch</code> operation.</p>

<p>Below mentioned is my <code>remote</code>, do I need to update it to hold <code>.git</code> at the end of URL ?</p>

<pre><code>$ git remote -v
origin  https://gitlab.com/&lt;my_handle&gt;/&lt;project&gt; (fetch)
origin  https://gitlab.com/&lt;my_handle&gt;/&lt;project&gt; (push)
</code></pre>

<p>Note: The other existing <a href=""https://stackoverflow.com/questions/53012504/what-does-the-warning-redirecting-to-actually-mean"">question</a> does not answer this doubt.</p>
","4","596370","",""
"3705078","21981","2010-09-13 23:10:56","11","13442","<git><hudson><git-fetch>","Why does git fetch via hudson fail, while git fetch via the command line works?","<p>I'm trying to fetch a read-only git repository from github and have it be built via hudson.  This process is failing.</p>

<p>This is the hudson output:</p>

<pre><code>Started by an SCM change
Checkout:workspace / d:\hudson\home\jobs\gdcm-hudson\workspace - hudson.remoting.LocalChannel@19ba1d8
Using strategy: Default
Checkout:workspace / d:\hudson\home\jobs\gdcm-hudson\workspace - hudson.remoting.LocalChannel@19ba1d8
GitAPI created
Fetching changes from the remote Git repository
Fetching upstream changes from git://github.com/malaterre/gdcm.git
[workspace] $ ""C:\Program Files (x86)\Git\bin\git.exe"" fetch -t git://github.com/malaterre/gdcm.git +refs/heads/*:refs/remotes/origin/*
[workspace] $ ""C:\Program Files (x86)\Git\bin\git.exe"" ls-tree HEAD
ERROR: Problem fetching from origin / origin - could be unavailable. Continuing anyway
ERROR: Could not fetch from any repository
FATAL: Could not fetch from any repository
hudson.plugins.git.GitException: Could not fetch from any repository
    at hudson.plugins.git.GitSCM$2.invoke(GitSCM.java:674)
    at hudson.plugins.git.GitSCM$2.invoke(GitSCM.java:641)
    at hudson.FilePath.act(FilePath.java:753)
    at hudson.FilePath.act(FilePath.java:735)
    at hudson.plugins.git.GitSCM.checkout(GitSCM.java:641)
    at hudson.model.AbstractProject.checkout(AbstractProject.java:1061)
    at hudson.model.AbstractBuild$AbstractRunner.checkout(AbstractBuild.java:479)
    at hudson.model.AbstractBuild$AbstractRunner.run(AbstractBuild.java:411)
    at hudson.model.Run.run(Run.java:1273)
    at hudson.model.FreeStyleBuild.run(FreeStyleBuild.java:46)
    at hudson.model.ResourceController.execute(ResourceController.java:88)
    at hudson.model.Executor.run(Executor.java:129)
</code></pre>

<p>When I run that fetch command directly via the git bash command line, I get no response (which I assume means it's worked).</p>

<p>I looked at this possible solution:
<a href=""http://issues.hudson-ci.org/browse/HUDSON-7141?page=com.atlassian.jira.plugin.system.issuetabpanels%3Aall-tabpanel"" rel=""nofollow noreferrer"">http://issues.hudson-ci.org/browse/HUDSON-7141?page=com.atlassian.jira.plugin.system.issuetabpanels%3Aall-tabpanel</a></p>

<p>But using that version of the plugin did not change this behavior.</p>

<p>I haven't even gotten to having it work with cmake yet, just downloaded consistently.  How can I get this to work?</p>

<p>edit: This problem is not a repro of <a href=""https://stackoverflow.com/questions/2370371/problem-cloning-fetching-repository-using-git-plugin-for-hudson-on-windows"">Problem cloning / fetching repository using Git plugin for Hudson on Windows</a>, because I'm not running as a service on a server.</p>
","0","21981","0","0"
