Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,OwnerUserId,AnswerCount,FavoriteCount
"44530508","1916754","2017-06-13 20:02:09","8","1073","<git><git-subtree><git-lfs>","Is there a better way to do `git subtree pull` while using git-lfs?","<p>I have two repositories: <code>parent</code> and <code>child</code>.  They both use git-lfs.  I am trying to import <code>child</code> as a subtree into <code>parent</code>.</p>

<p>When in the <code>parent</code> directory, I try adding it and I get the following:</p>

<pre><code>&gt; git subtree add --prefix child [child_url]
git fetch [child_url] master
From [child_url]
* branch            master     -&gt; FETCH_HEAD
Downloading [child_binary_file_path] (12.55 KB)
Error downloading object: [child_binary_file_path] ([sha])

Errors logged to .git\lfs\objects\logs\20170613T115607.1992713.log
Use `git lfs logs last` to view the log.
error: external filter git-lfs smudge -- %f failed 2
error: external filter git-lfs smudge -- %f failed
fatal: [child_binary_file_path]: smudge filter lfs failed
</code></pre>

<p>In the log file, I see</p>

<pre><code>Error downloading object: [child_binary_file_path] ([sha]): Smudge error: Error downloading [child_binary_file_path] ([sha]): [[sha]] Object does not exist on the server: [404] Object does not exist on the server

%+v
Smudge error: Error downloading [child_binary_file_path] ([sha]): [[sha]] Object does not exist on the server: [404] Object does not exist on the server
</code></pre>

<p>Which I guess makes sense, since the binary files for <code>child</code> <em>wouldn't</em> be on the server for <code>parent</code>.</p>

<p>So, I tried adding the <code>child</code> lfs files to <code>parent</code> like this, from the <code>parent</code> directory:</p>

<pre><code>git remote add child [child_url]
git fetch child
git lfs fetch 
git lfs fetch child --all
git lfs push origin --all
</code></pre>

<p>Everything works fine until the last command.  The <code>git lfs push</code> doesn't push anything:</p>

<pre><code>&gt; git lfs push origin --all
Git LFS: (0 of 0 files, 1 skipped) 0 B / 0 B, 210 B skipped
</code></pre>

<p>It appears that it's only pushing to <code>parent</code> files that exist on <code>parent</code> branches.</p>

<p>The only way I could figure out how to add these lfs files to <code>parent</code> was to add the <code>child</code> branch to the <code>parent</code>.</p>

<pre><code>git checkout -b temp_branch child/master
git push origin
</code></pre>

<p>This then lets me successfully call <code>git subtree add --prefix child [child_url] master</code>.</p>

<p>But, since I don't want <code>temp_branch</code> on <code>parent</code>, I must immediately delete it.</p>

<pre><code>git branch -D temp_branch
git push origin --delete temp_branch
</code></pre>

<p>This works, but it feels <em>really</em> kludgey.</p>

<p>Is there a better way to call <code>git subtree add</code> when the subtree repository is using git-lfs?</p>
","0","1916754","0","0"
"66797646","4870255","2021-03-25 10:34:04","0","387","<git><git-lfs>","Show all git-lfs files on a branch (working tree)","<p><strong>How can i show all git-lfs files on a branch (working tree)?</strong></p>
<p>Before pushing to the repo i want to makes sure that the files are tracked by git-lfs and not normal git</p>
","0","4870255","",""
"54602432","8777167","2019-02-09 01:53:01","0","741","<git><unity-game-engine><git-lfs>","trying to upload Unity Files to git using LFS fails with ""GH001 large files detected"" error","<p>I am trying to upload a Unity Project to GitHub using LFS.  The size of the director is 306MB so I need to us LFS.  It always freezes during the commit process which I quit with a control c.  When I perform the push it goes then says &quot;large files detected use LFS&quot;.</p>
<p>I perform the following steps where the directory is called &quot;clickToMove&quot;</p>
<pre><code>git lfs install
git lfs track &quot;clickToMove&quot;
git add .gitattributes
git add file clickToMove
git commit -m &quot;commitMessage&quot;
git push origin master
</code></pre>
<p>I tried
git lfs track &quot;clickToMove.**&quot;
as per another Stack Overflow about the same issue
I also tried doing
git lfs track &quot;clickToMove/Assets&quot;
git lfs track &quot;clickToMove/Library&quot;
etc until all the subdirectories are tracked in the .gitattributes file</p>
<p>I get an error that says large files detected and to use LFS.</p>
<p><img src=""https://i.imgur.com/ANMOaQk.jpg"" alt=""git error"" title=""gitError"" /></p>
","0","8777167","",""
"76283191","20662516","2023-05-18 17:36:11","0","18","<git><git-lfs>","Should git lfs tracking by pattern done by every user that clones the repository?","<p>I created a git repository with LFS enabled (by default on bitbucket). Cloned it to my local machine and setup up git lfs tracking locally using patterns. Finally, I pushed the <code>.gitattributes</code> file to the repo. My questions is that all the other users who have access to this repository, do they have to do this all over again (setup patterns etc.)? or cloning <code>.gitattributes</code> file is sufficient for them to start using LFS storage?</p>
","1","20662516","",""
"76316105","8189102","2023-05-23 14:56:46","0","39","<git><merge><gitlab><version-control><git-lfs>","Merging git submodule inside main repository with LFS objects","<p>I am looking in how can I merge existing submodule to my main repository. Basically currently my repository looks somehing like this</p>
<pre><code>├── example1.java
├── example2.java
├── img
|   └── image.jpg
└── submodule
    ├── sub_example1.java
    ├── sub_example2.java
    └── img
        └── sub_image.jpg
</code></pre>
<p>And submodule repository itself looks like this</p>
<pre><code>├── sub_example1.java
├── sub_example2.java
└── img
    └── sub_image.jpg
</code></pre>
<p>What I am trying to achieve is add this <code>submodule</code> folder inside may main project.</p>
<p><code>.gitattributes</code> on both repositories looks the same</p>
<pre><code>*.jpg filter=lfs diff=lfs merge=lfs -text
*.png filter=lfs diff=lfs merge=lfs -text
*.odt filter=lfs diff=lfs merge=lfs -text
*.xls filter=lfs diff=lfs merge=lfs -text
*.xlsx filter=lfs diff=lfs merge=lfs -text
*.xla filter=lfs diff=lfs merge=lfs -text
</code></pre>
<p>so images from img folders are stored as LFS objects</p>
<p>I have tried to follow some tutorials, for example this one <a href=""https://stackoverflow.com/a/72557462/8189102"">https://stackoverflow.com/a/72557462/8189102</a> where I would clone main repo and submodule repo beside each other like so</p>
<pre><code>├── main/
└── submodule/
</code></pre>
<p>then I would checkout -b a local branch where I want to make changes</p>
<pre><code>$ git checkout -b submodule-merge
$ git submodule deinit -f -- submodule
Cleared directory 'submodule'
error: could not lock config file .git/modules/submodule/config: No such file or directory
warning: Could not unset core.worktree setting in submodule 'submodule'

$ rm -rf .git/modules/submodule
$ git rm -f submodule
rm 'submodule'
</code></pre>
<p>Then on the <code>submodule</code> repository I would</p>
<pre><code>$ cd submodule
$ git filter-repo --to-subdirectory-filter submodule
Parsed 501 commits
New history written in 2.12 seconds; now repacking/cleaning...
Repacking your repo and cleaning out old unneeded objects
Updating files: 100% (39508/39508), done.
HEAD is now at fa01cf43 Merge branch 'JRA-2221' into 'master'
Enumerating objects: 44721, done.
Counting objects: 100% (44721/44721), done.
Delta compression using up to 4 threads
Compressing objects: 100% (27931/27931), done.
Writing objects: 100% (44721/44721), done.
Total 44721 (delta 13961), reused 44721 (delta 13961), pack-reused 0
Completely finished after 7.69 seconds.

$ ls -l
submodule

$ git lfs ls-files
119926153d - submodule/img/sub_image.jpg
</code></pre>
<p>And then when trying to do the final merge</p>
<pre><code>$ cd main
$ git remote add submodule ../submodule/
$ git fetch submodule
remote: Enumerating objects: 44702, done.
remote: Counting objects: 100% (44702/44702), done.
remote: Compressing objects: 100% (27928/27928), done.
remote: Total 44702 (delta 13950), reused 44700 (delta 13949), pack-reused 0
Receiving objects: 100% (44702/44702), 19.83 MiB | 14.37 MiB/s, done.
Resolving deltas: 100% (13950/13950), done.
From ../submodule
 * [new branch]            JRA-117 -&gt; submodule/JRA-117
 * [new branch]            JRA-221 -&gt; submodule/JRA-221
 * [new branch]            JRA-333 -&gt; submodule/JRA-333
 * [new tag]               b-211      -&gt; b-211
 * [new tag]               b-333        -&gt; b-333

$ git merge --allow-unrelated-histories --no-commit submodule/master
error: Your local changes to the following files would be overwritten by merge:
  .gitmodules submodule

$ git status
On branch submodule-merge
Changes to be committed:
  (use &quot;git restore --staged &lt;file&gt;...&quot; to unstage)
    modified:   .gitmodules
    deleted:    submodule

$ git commit -m &quot;Rremoved submodule&quot;
[submodule-merge 1683ee7b89] Rremoved submodule
 Committer: user
 2 files changed, 4 deletions(-)
 delete mode 160000 submodule

$ git merge --allow-unrelated-histories --no-commit submodule/master
Automatic merge went well; stopped before committing as requested
</code></pre>
<p><code>$ git status</code> also shows now all the new files added under <code>submodule</code> folder. Then I commit all the changes</p>
<pre><code>$ git commit -m &quot;Added submodule&quot;
[submodule-merge 332f599182] Added submodule
 Committer: user

$ git status
On branch submodule-merge
nothing to commit, working tree clean
</code></pre>
<p>Next I try to push the changes to new branch and I get the following error regarding LFS object</p>
<pre><code>$ git push origin submodule-merge
Locking support detected on remote &quot;origin&quot;. Consider enabling it with:
  $ git config lfs.https://gitlab.example.com/main/main.git/info/lfs.locksverify true
Unable to find source for object 65cbf95fd1c7984cc8aca10ef81901e59e5bd42e05d177d1f7b6c95237a20b49 (try running git lfs fetch --all)
Uploading LFS objects:   0% (0/96), 0 B | 0 B/s, done.
error: failed to push some refs to 'gitlab.example.com:main/main.git'
</code></pre>
<p>And I get stuck here with no idea what to do.
Also when running <code>$ git lfs ls-files | grep 65cbf95f</code> on both repositories (main and submodule) There are no results, its like this object has reference somewhere but actually it does not exist.</p>
<p>I would be very thankful if someone could help me to solve this.
Thank you!</p>
","4","8189102","",""
"76375828","18354226","2023-05-31 17:02:55","1","33","<git><git-lfs>","""git show"" not showing file contents for a specific commit, but instead version and size. How can I get the file contents?","<p>I want to visualize the version of a file  at commit . For this, I type at the command line</p>
<pre><code>git show &lt;commit&gt;:Repo\Path\To\File.cs
</code></pre>
<p>According to other posts such as <a href=""https://stackoverflow.com/questions/338436/how-can-i-view-an-old-version-of-a-file-with-git"">this</a> one, I expect to see the content of the file. Instead, the output of the command is something like</p>
<pre><code>version https://git-lfs.github.com/spec/v1
oid sha256:2b19859bbc4aba8a94563fbf8c8ee88dfda3ad348ce3f769b21651055
size 108912
</code></pre>
<p>Can someone help me understand what is going on here and how can I fix it?</p>
","3","18354226","",""
"76411811","14790901","2023-06-06 06:03:41","0","37","<git><github><git-lfs>","git pull fails when pulling lfs file","<p>I'm getting an Authorization error and a 'smudge filter' error when I git pull from my publicly-visible repo. The error occurs when downloading a file that is pointed to by git lfs. My repo looks like this:</p>
<pre><code>folder
folder
.gitattributes
python file
big_binary_file.h5
</code></pre>
<p>The error I get looks like this:</p>
<pre><code>Downloading big_binary_file.h5 (262 MB)
Error downloading object: big_binary_file.h5: Smudge error: Error downloading big_binary_file.h5:
batch response: Authorization error: https://github.com/user/repo.git/objects/batch
Check that you have proper access to the repository

Errors logged to log_path/log.log
Use `git lfs logs last` to view the log.
error: external filter 'git-lfs filter-process' failed
fatal: big_binary_file.h5: smudge filter lfs failed
</code></pre>
<p>I don't believe I have any authorization issues because the other files from my repo pull seamlessly. My repo is public and a git lfs file shouldn't have any special authorization needed, right?</p>
<p>My .gitattrbutes correctly identifies that '.h5' files should be fetched using LFS. It looks like this:</p>
<pre><code>*.h5 filter=lfs diff=lfs merge=lfs -text
</code></pre>
<p>Has anyone gotten a similar error when they git pull and can they shine light on where I went wrong or what might be the cause of this?</p>
<p>Here are things I've tried (and you might try to if you run into this page looking for advice:)</p>
<ul>
<li>I've tried following the advice in the answer to <a href=""https://stackoverflow.com/questions/43989902/git-pull-smudge-filter-lfs-failed"">this question</a></li>
</ul>
<p>My <code>lfs.url</code> is the same as <code>remote.origin.url</code></p>
<ul>
<li>I've looked at my <code>git credentials</code> to make sure they are set correctly.</li>
<li>I've verified that my repo is publicly visible and that my <code>.gitattributes</code> is setup correctly.</li>
<li>I've made sure <code>git lfs</code> is setup on my system and have used it to push to the same repo.</li>
<li>I've tried diagnosing <code>git lfs logs last</code>.</li>
<li>I tried using <code>git reset</code> and then pulling.</li>
</ul>
","0","14790901","",""
"76444534","1350400","2023-06-10 02:53:20","0","42","<git><github><git-lfs><gitattributes><git-lfs-migrate>","How to `git lfs migrate` all branches using .gitattributes","<p>We have a repository with multiple branches and merge commits. There was some disagreement at the start on whether we wanted to use LFS or not, and the result was that no files have yet been tracked with Git LFS. Now, however, we've run into issues and we would like to migrate the entire repository history, including all branches and merges, to use LFS for files specified in a new .gitattributes file. Note that this .gitattributes file is not part of the repository history.</p>
<p>So far, we've tried a  few variations on <code>git lfs migrate import --everything</code> without success. When using the <code>--fixup</code> option, the history is rewritten but nothing gets tracked by LFS. Without that option, the migration modifies our .gitattributes file and adds EVERY file type in the repo, plain text files included. We haven't yet been able to get it to respect our .gitattributes the way it was written, without modification. We tried committing our .gitattributes before the migration as well as not committing it, and also explicitly running <code>git lfs track</code> before the migration as well as not doing that.</p>
<p>We've looked at existing SO questions, but none of the answers seem to match our situation. Here are some of the others that we looked at:</p>
<ul>
<li><a href=""https://stackoverflow.com/questions/62014426/git-lfs-git-lfs-migrate-import-include-all-file-types-specified-in-gitattribute"">Git LFS git lfs migrate import include all file types specified in .gitattribute?</a></li>
<li><a href=""https://stackoverflow.com/questions/58163427/git-lfs-migrate-using-the-new-gitattributes-file"">Git-LFS migrate using the new .gitattributes file</a></li>
<li><a href=""https://stackoverflow.com/questions/76106119/how-to-use-git-lfs-and-re-write-history"">How to use Git LFS and re-write history</a></li>
</ul>
<p>Any help is greatly appreciated. Thank you!</p>
<p>Postscript: We understand that we could probably use the <code>--import</code> option repeatedly to make migrate re-create the desired .gitattributes, but I'd love to know if this is doable without that.</p>
","0","1350400","",""
"76485671","6366489","2023-06-15 21:35:13","0","21","<git><github><gitlab><git-lfs>","Detect if repo needs to use git-lfs","<p>I already know the how to migrate a repo from gitlab to github. I also know to use git-lfs if my if my repo is too big or i have large files. How can I determine if given a repo to migrate I need to use git-lfs or not? Do I just need to inspect if the blobs for the repo exceed the max size as explained below then proceed with my migration steps to use lfs or not?</p>
<p><a href=""https://stackoverflow.com/questions/10622179/how-to-find-identify-large-commits-in-git-history"">How to find/identify large commits in git history?</a></p>
","0","6366489","",""
"76578012","9971404","2023-06-29 04:11:54","0","34","<git><ansible><git-lfs>","Detect whether git lfs was installed","<p>I'm using ansible to setup git and git lfs on my server.</p>
<p>When I run <code>git lfs install</code> it says:</p>
<blockquote>
<p>Git LFS initialized.</p>
</blockquote>
<p>When I run it again, it says the same thing and returns status code <code>0</code>. That makes ansible tasks not idempotent - it appears as if it is installed every time (rather than just the first time).</p>
<p>Is there some way to detect whether it was actually installed by that command? Alternatively, how can I tell whether it is currently installed?</p>
","0","9971404","",""
