Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,OwnerUserId,AnswerCount,FavoriteCount
"46432986","8372328","2017-09-26 17:57:42","1","387","<git><repository><project><git-remote><creation>","git hub repository creation fails","<p>I tried following commands and failed:</p>

<pre><code>&gt; cd SecurityAlert/
&gt; sudo apt-get install git
&gt; git init
&gt; git add .
&gt; git config --global user.email ""mail@gmail.com""
&gt; git config --global user.name ""user""
&gt; git commit -m ""First commit""
&gt; git remote add origin https_link_github.com/user/SecurityAlert
&gt; git push origin master
</code></pre>

<blockquote>
  <p>To https_link_github.com/user/SecurityAlert<br>
    ! [rejected]        master -> master (non-fast-forward)</p>
  
  <p>error: failed to push some refs to
  'https_link_github.com/sandeepmhptr/SecurityAlert' hint: Updates were<br>
  rejected because the tip of your current branch is behind<br>
      hint: its remote counterpart. Integrate the remote changes (e.g.<br>
      hint: 'git pull ...') before pushing again.<br>
      hint: See the 'Note about fast-forwards' in 'git push --help' for details.<br></p>
</blockquote>

<pre><code>git pull
</code></pre>

<blockquote>
  <p>There is no tracking information for the current branch. Please
  specify which branch you want to merge with. See git-pull(1) for
  details
  git pull  </p>
  
  <p>If you wish to set tracking information for this branch you can do so with:
  git branch --set-upstream-to=origin/ master</p>
</blockquote>

<pre><code>&gt; git remote add -v

&gt; git remote -v
</code></pre>
","0","8372328","",""
"51794673","1223975","2018-08-10 22:19:35","1","281","<git><github><gitlab><git-remote>","Check if ""remote"" is indeed a git remote","<p>Say I have a list of strings like so:</p>

<pre><code>remotes/origin/master
remotes/origin
origin/master
origin
</code></pre>

<p>how can I tell if the beginning of the string is a valid remote? For example,</p>

<pre><code>remotes/origin
origin
</code></pre>

<p>should both be valid remotes, in general, right? How to determine that though?</p>
","1","1223975","0","0"
"76240530","6202327","2023-05-13 00:01:48","0","20","<git><binaryfiles><git-remote>","Having 2 git remotes, one with git lfs the other without","<p>I have a tricky situation. I have a project, there are 2 remotes, a personal gitlab remote and a remote hosted by my organization.</p>
<p>It seems the organization git server cannot handle/ does not have git-lfs. I only need to submit to the organization's git repo to make sure there is a copy accessible to other people. I don't use that server regularly.</p>
<p>Is there  a way to configure git with to remotes so that my gitlab remote uses git-lfs regularly but the organization remote ignores all git-lfs files and pretends they don't exist?</p>
","0","6202327","",""
"76587137","10441038","2023-06-30 08:09:07","0","14","<git><public-key-encryption><gnupg><git-remote><gcrypt>","Add multi-participants with git-remote-gcrypt","<p>I'm learnning how to use <code>git-remote-gcrypt</code> with multi-participants.
Let's say I have two computers acting as two user/participants.</p>
<p>I do things like following:</p>
<pre><code>Step1: Generate GPG key pairs for them respectively.
    On computer0:
    gpg --full-gen-key
    GPG key pair-0: usr0@00.com fingerprint:xxxx0000xxxx

    On computer1:
    GPG key pair-1: usr1@11.com fingerprint:yyyy1111yyyy

Step2: Exchange pub keys.
    exported user0's pub key and imported into user1's gpg trustdb,
    exported user1's pub key and imported into user0's gpg trustdb.

Step3: Create an empty repo on github.com
    get the URL git@github.com:leon/testgcrypt.git

Step4: Create an empty local repo on Computer0
    mkdir testgcrypt &amp;&amp; cd testgcrypt &amp;&amp; git init

Step5: Commit some contents into computer0's local repo, in order to simulate my real scenes.
    echo &quot;content0&quot; &gt; content0.txt
    git add -- . &amp;&amp; git commit -m &quot;0.0.0 content0&quot;

Step6: Add remote ref on computer0
    git remote add github gcrypt::git@github.com:leon/testgcrypt.git
    git config remote.github.gcrypt-participants xxxx0000xxxx yyyy1111yyyy
    git branch --set-upstream github/master master
    git push
</code></pre>
<p>For now, everything goes as my expecting.
Now I need to clone the repo onto Computer1, in order to simulate a new coleague joint my work.</p>
<p>Continue as follows:</p>
<pre><code>Step7: Configure Computer1
    mkdir testgcrypt &amp;&amp; cd testgcrypt &amp;&amp; git init
    git remote add github gcrypt::git@github.com:leon/testgcrypt.git
    git config remote.github.gcrypt-participants xxxx0000xxxx yyyy1111yyyy

Step8: Clone the repo onto Computer1
    git pull github master
</code></pre>
<p>At Step8, I encountered error:</p>
<blockquote>
<p>gcrypt: Decrypting manifest</p>
<p>gpg: error getting version from 'scdaemon': No SmartCard daemon</p>
<p>gpg: decryption failed: No secret key</p>
<p>gcrypt: Failed to decrypt manifest!</p>
</blockquote>
<p>I guest the reason is that Computer1 is trying to decrypt the content with its own priv-key, while the content was encrypted with Computer0's priv-key.</p>
<p>I'm expecting it decrypt with Computer0's pub-key.</p>
<p>I think that my case is a very common scenes when we use git-remote-gcrypt as a multi-participants tool.</p>
<p>How to let above two users can hold different key pairs, and see the modifications/commits from peers, and decrypt the contents merely with peer's pub-key?</p>
<p>Sorry for my ugly English! thx!</p>
","0","10441038","",""
"21498932","157971","2014-02-01 13:59:18","5","674","<git><git-branch><git-remote><remote-repository>","Deleting remote branches in git: understanding it for once and for all","<p>The reason why I'm posting here today is because the behavior I see on the command line differs from what I actually read online. So it confuses me.</p>
<p>The two commands under question here are:</p>
<pre><code>git branch -r -d origin/topic1
</code></pre>
<p>and</p>
<pre><code>git push origin :topic1
</code></pre>
<p>My understanding so far (I may be completely wrong though, my brain is fried):</p>
<ul>
<li>The first should remove both the tracking reference <em>and</em> the remote branch</li>
<li>The second should remove the remote branch but NOT the tracking reference (if a local branch exists), although the reason why you wouldn't remove the tracking reference seems pointless and confusing to me as a sort-of-beginner.</li>
</ul>
<p>Here is a recent scenario I have run into. I just cloned a repository with two remote branches:</p>
<pre><code>origin/master
origin/develop
</code></pre>
<p>The only local branch I have is:</p>
<pre><code>master
</code></pre>
<p>I want to delete the remote branch <code>origin/develop</code>, so watch this:</p>
<pre><code>Robert@COMP /c/Code/project (master)
$ git branch -rd origin/develop
Deleted remote branch origin/develop (was 9ff16e8).

Robert@COMP /c/Code/project (master)
$ git fetch
From github.com:username/project
 * [new branch]      develop    -&gt; origin/develop
</code></pre>
<p>As you can see, I tried to delete the remote branch, and immediately fetch the latest changes from origin, but for some reason it recreated the branch. I have no idea why it would do this, I'm very confused. I don't have a local corresponding branch for <code>origin/develop</code>, so I don't know why it is doing this.</p>
<p>I'd like to know why this happened, but also (to address the more general title of this question, and to perhaps help everyone else scavenging stack overflow for answers to these confusing ambiguities), I'd like more general answers to some questions:</p>
<ul>
<li>There are two ways to delete a remote branch. What is a really good, simple way to remember which one to use under which circumstance?</li>
<li>Assuming it matters at all, how does the existence of a corresponding local branch (for a remote branch) affect the decision of how a remote branch is deleted?</li>
<li>How does the existence of a tracking reference/relationship between a local and remote branch affect how you choose to delete a branch, and which of the methods of deleting a branch also cleans up tracking references?</li>
</ul>
","1","157971","0","0"
"2916958","123486","2010-05-26 21:29:06","28","24864","<git><git-rebase><git-remote>","git rebase onto remote updates","<p>I work with a small team that uses git for source code management.  Recently, we have been doing topic branches to keep track of features then merging them into master locally then pushing them to a central git repository on a remote server.  This works great when no changes have been made in master:  I create my topic branch, commit it, merge it into master, then push.  Hooray.</p>

<p>However, if someone has pushed to origin before I do, my commits are not fast-forward.  Thus a merge commit ensues.  This also happens when a topic branch needs to merge with master locally to ensure my changes work with the code as of now.  So, we end up with merge commits everywhere and a git log rivaling a friendship bracelet.  </p>

<p>So, rebasing is the obvious choice.  What I would like is to: </p>

<ul>
<li>create topic branches holding several commits</li>
<li>checkout master and pull (fast-forward because i haven't committed to master)</li>
<li>rebase topic branches onto the new head of master</li>
<li>rebase topics against master(so the topics start at masters head), bringing master up to my topic head</li>
</ul>

<p>My way of doing this currently is listed below:</p>

<pre><code>git checkout master
git rebase master topic_1
git rebase topic_1 topic_2
git checkout master
git rebase topic_2
git branch -d topic_1 topic_2
</code></pre>

<p>Is there a faster way to do this?</p>
","0","123486","0","0"
"21725363","198011","2014-02-12 10:35:26","0","1940","<git><https><git-remote>","git can't find remote helper for https (but it's there)","<p>I installed git 1.8.5.4 from source under <code>$HOME/bin</code>. My system is SUSE Linux Enterprise Server 11 SP1 (x86_64)</p>

<p>After installation I cannot clone repos from https urls, getting the following error:</p>

<pre><code>$ git clone https://github.com/apbarrero/pyrad.git                                                                                                                                                
Cloning into 'pyrad'...
fatal: Unable to find remote helper for 'https'
</code></pre>

<p>I checked that git is properly compiled against libcurl-devel and libexpat-devel packages. Then I tryed using git-remote-https installed under <code>$HOME/bin/libexec/git-core/</code> and it worked fine to connect to the same remote:</p>

<pre><code>$ $HOME/libexec/git-core/git-remote-https https://github.com/apbarrero/pyrad.git
capabilities
fetch
option
push
check-connectivity

list
@refs/heads/master HEAD
9599cf833354793b81d2a47504826332473bcb12 refs/heads/master
1f8f2b995bb5ab55e6c6f1051ccb44875ab1e60d refs/tags/0.6
68552227901d377b513884c70d9582da0329a270 refs/tags/0.6^{}
e0cd958edc5b3aad7e31435990674e2cff4e3b7e refs/tags/0.7
c50213b2d4213f3574c1a6b454e6887a529de340 refs/tags/0.7^{}
6085deb4ee37862d65f4a26f472fa2d1894a4331 refs/tags/0.8
33902c5b3da1272a4f5930815f561b8068315ba3 refs/tags/0.8^{}
5a45639faaf1cbf7622fe47e2795d6f5a0ee6658 refs/tags/0.9
edd69b9014d7e5bbf9da203d7db9a26587756aa4 refs/tags/0.9^{}
6e3b16ed19b329be944bd1b10aa17d02eb473009 refs/tags/1.0
30beedc5c4e56a15f4025d25331515aa2a917234 refs/tags/1.0^{}
dacf4bd37aaddd3872faeb8a77c801fe3c8550cb refs/tags/1.1
4c3e2d6700947ca6ea7b3319ff52abb7029bf3be refs/tags/1.1^{}
9a7f5a4e9fe19ef9f45db4e28a7d4648a011cc9b refs/tags/1.2
ee7ec8f2b37da5e84bf0fbb83e214a8bd3cfdf70 refs/tags/1.2^{}
e16af24d814e8d8c83b172ca6103fd3ab93b08db refs/tags/2.0
ce4a625caf5c6d892e020ec150373043a203366e refs/tags/2.0^{}
</code></pre>

<p>So I guess it's an installation problem. Any clue on how git locates remote helpers installed in the system?</p>
","2","198011","",""
"21853661","1738427","2014-02-18 12:20:52","1","65","<git><git-clone><git-remote>","How to get all remotes urls from remote git repo?","<p>For example, let we have a git repository A, which have two remotes:</p>

<pre><code>user@user:~/dev/tmp/some_repo$ git remote -v
remote_a        /home/user/dev/tmp/a/ (fetch)
remote_a        /home/user/dev/tmp/a/ (push)
remote_b        /home/user/dev/tmp/b/ (fetch)
remote_b        /home/user/dev/tmp/b/ (push)
</code></pre>

<p>I want to clone this repository and get same remotes, but have only origin:</p>

<pre><code>user@user:~/dev/tmp$ git clone some_repo/ some_clone
Cloning into 'some_clone'...
done.
user@user:~/dev/tmp$ cd some_clone/
user@user:~/dev/tmp/some_clone$ git remote -v
origin  /home/user/dev/tmp/some_repo/ (fetch)
origin  /home/user/dev/tmp/some_repo/ (push)
</code></pre>

<p>Is there any way to get all the remotes from the origin, so <strong>remote_a</strong> and <strong>remote_b</strong> were remotes for <strong>some_clone</strong> one too?</p>
","0","1738427","",""
"59920937","596370","2020-01-26 17:34:31","2","1008","<git><gitlab><git-remote><git-fetch>","git command warning says redirecting to <url>.git","<p>I am holding a project on <code>gitlab</code>, and I am having a cloned copy on my <code>ubuntu</code> desktop. On recent days I am facing a weird warning (<code>redirecting to https://gitlab.com/&lt;my_handle&gt;/&lt;project&gt;.git/</code>) on <code>remote update</code> and <code>fetch</code> operation.</p>

<p>Below mentioned is my <code>remote</code>, do I need to update it to hold <code>.git</code> at the end of URL ?</p>

<pre><code>$ git remote -v
origin  https://gitlab.com/&lt;my_handle&gt;/&lt;project&gt; (fetch)
origin  https://gitlab.com/&lt;my_handle&gt;/&lt;project&gt; (push)
</code></pre>

<p>Note: The other existing <a href=""https://stackoverflow.com/questions/53012504/what-does-the-warning-redirecting-to-actually-mean"">question</a> does not answer this doubt.</p>
","4","596370","",""
"22361697","869936","2014-03-12 19:19:05","2","1172","<git><git-remote>","How to make 'git push' work like 'git push origin branch'?","<p>Here's a git status showing that I have one commit ready to be pushed:</p>

<pre><code>$ git status
# On branch develop
# Your branch is ahead of 'origin/develop' by 1 commit.
#   (use ""git push"" to publish your local commits)
#
nothing to commit, working directory clean
</code></pre>

<p>But then trying <code>git push</code> doesn't work:</p>

<p><code>$ git push
Everything up-to-date
</code></p>

<p>Even when I use <code>git branch develop --set-upstream-to origin/develop</code>, <code>git push</code> still says 'Everything up-to-date'.</p>

<p>How can I force the behavior of <code>git push</code> to match <code>git push origin branch</code>?</p>

<p><strong>New information:</strong>
I believe this to be unique to this repository as other repositories on my machine have 'git push' working fine.</p>

<p><strong>New information (2):</strong>
.git/config file of the project in question:</p>

<pre><code>[core]
        repositoryformatversion = 0
        filemode = true
        bare = false
        logallrefupdates = true
        ignorecase = true
        precomposeunicode = false
[gitflow ""branch""]
        master = master
        develop = develop
[gitflow ""prefix""]
        feature = feature/
        release = release/
        hotfix = hotfix/
        support = support/
        versiontag = 
[remote ""origin""]
        url = https://obfuscated.unfuddle.com/git/obfuscated_ob/
        fetch = +refs/heads/*:refs/remotes/origin/*
        push = refs/heads/master:refs/heads/master
[branch ""develop""]
        remote = origin
        merge = refs/heads/develop
[branch ""master""]
        remote = origin
        merge = refs/heads/master
</code></pre>
","11","869936","",""
"41461152","5317198","2017-01-04 10:08:45","9","3146","<git><git-remote>","Which characters are illegal within a git remote name?","<p>Which characters are illegal within a git remote name ?</p>

<p>I didn't found it the git documentation.</p>
","1","5317198","0","0"
"4040717","96531","2010-10-28 07:32:05","115","124817","<git><version-control><branch><git-branch><git-remote>","git remote prune – didn't show as many pruned branches as I expected","<p>From the man page:</p>

<blockquote>
<pre><code>Deletes all stale tracking branches under &lt;name&gt;.
These stale branches have already been removed from the remote repository
referenced by &lt;name&gt;, but are still locally available in ""remotes/&lt;name&gt;"".
</code></pre>
</blockquote>

<p>So I removed a bunch of branches using</p>

<pre><code>git push origin :staleStuff
</code></pre>

<p>and then ran</p>

<pre><code>git remote prune origin
</code></pre>

<p>However, only one single local branch was pruned. Some of these branches were created by me, some by co-workers. Does this indicate that I wasn't tracking those branches correctly in the first place?</p>
","1","96531","0","0"
