Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,OwnerUserId,AnswerCount,FavoriteCount
"57655911","5078576","2019-08-26 10:13:58","1","127","<git><version-control><git-pull><git-reset>","Undo git pull, how to bring repos to old state (once again)","<p><strong>Please note</strong>, before indicating the question as a duplicate, that I have read the answer <a href=""https://stackoverflow.com/questions/1223354/undo-git-pull-how-to-bring-repos-to-old-state"">here</a> but, with the solution proposed, I will delete all the uncommitted changes. </p>

<p><strong>Problem</strong>:</p>

<p>I have developed new features using a dedicated branch. In the meanwhile, the master branch continued to be developed by others. I decided to do a <code>git pull</code> in order to rebase my code to the new one. However, there were conflicts: somebody has improved the code on the remote repo.</p>

<p><strong>Question</strong>:</p>

<ol>
<li>I have some uncommitted changes on my local repo. How can I bring the repo to the old state with the old uncommitted changes?</li>
<li>Did I already lose forever all the uncommitted changes?</li>
</ol>
","7","5078576","",""
"76170270","20087539","2023-05-04 06:43:05","0","51","<git><git-reset>","Lost all the files using git reset --hard and while recovering I get my lost files in hash file format which makes me difficult to recover them","<p>I used <strong>git reset --hard</strong> command and lost all my files. Then tried to use command <strong>git fsck</strong> which got me a dangling tree with a hash value. Then entered the <strong>git show --format=raw &lt;hash value&gt;</strong> which gave me list of all the lost files.</p>
<p><strong>git fsck --lost-found</strong> gave me</p>
<pre><code>Checking object directories: 100% (256/256), done.
notice: HEAD points to an unborn branch (master)
notice: No default references
missing tree 4b825dc642cb6eb9a060e54bf8d69288fbee4904
dangling tree d2682fde785bcfd92525e5b856770c084fd32ee8
</code></pre>
<p><strong>ls .git/lost-found/other</strong> gives me a hash file which when opened by the command <code>git cat-file -p d2682fde785bcfd92525e5b856770c084fd32ee8</code> gives me all my lost files in this format.</p>
<pre><code>040000 tree 29faf839a8e17b98198fa8e56a6abb8933a3ab78    models
040000 tree ba9e0d882162283f3590f6d3cbcdc038cf71e8a2    node_modules
100644 blob 2ff009cc3552ee4e0ac3b0babc968797f9527b90    package-lock.json
100644 blob 2b27f9894f180d2e65c468ea261c1bf96c372801    package.json
040000 tree 7254925ba8ee0d8a8313368a017be7bbc0c3a178    routes
100644 blob 6726fd46ff7359e2409a5ff9b3e5b3768fc3c31b    server.js
</code></pre>
<p>Please help me out on how to recover these files back to my folder.</p>
","12","20087539","",""
"76551582","11555842","2023-06-25 17:10:29","0","31","<git><version-control><recovery><git-reset>","How can I undo that unstaged changes were deleted by git reset --hard HEAD^?","<p>I was working on my project, and I made a wrong commit (the last commit) and wanted to permanently delete it from the git logs, and I did the following command:</p>
<pre><code>git reset --hard HEAD^
</code></pre>
<p>The problem is that I didn't make add on my changes, so all changes which are unstaged were deleted.</p>
<p>Now, how do I get all the changes back?</p>
","3","11555842","",""
"76568109","14357365","2023-06-27 19:38:42","0","32","<git><github><git-reset>","How to apply `git reset HEAD~1` on the Github instead of the local repository?","<p>By mistake I committed changed to my <code>main</code> branch and pushed the changes to the server/Github. I want to completely get rid of the commit on GitHub.</p>
<p>The command <code>git reset HEAD~1</code> undo the last commit locally. But if I do <code>git pull</code> I would get the changes from the server that I want removed.</p>
<p>How to make Github forget about my last commit? How can I apply <code>git reset HEAD~1</code> on the server not just my local clone?</p>
","4","14357365","",""
"5473","85","2008-08-07 23:22:51","1570","777226","<git><version-control><git-reset>","How can I undo git reset --hard HEAD~1?","<p>Is it possible to undo the changes caused by the following command? If so, how?</p>

<pre><code>git reset --hard HEAD~1
</code></pre>
","11","85","0","0"
"21513911","435605","2014-02-02 17:42:55","0","594","<eclipse><git><git-reset><git-revert>","eclipse git revert/reset option not found","<p>How can revert/reset a file using the eclipse egit (team) plugin?</p>

<p>I'm opening the team menu but can't find any reset/revert option. See screenshot:</p>

<p><img src=""https://i.stack.imgur.com/zWLT0.png"" alt=""screenshot""></p>
","3","435605","0","0"
"59802793","3760100","2020-01-18 16:55:28","3","211","<git><git-reset><git-workflow>","Consequences of git reset --HARD on a branch that's publicly shared?","<p>I was reading git tutorial <a href=""https://git-scm.com/docs/gittutorial"" rel=""nofollow noreferrer"">here</a>, where they mention:</p>

<blockquote>
  <p>don’t use git reset on a publicly-visible branch that other developers
  pull from, as it will force needless merges on other developers to
  clean up the history</p>
</blockquote>

<p>I did not understand what the issue is. If I have a public branch with say 4 commits, A->B->C->D. D being the latest commit. If I did a hard reset back to B. Then, for other developers who've already fetched this branch, when they do git fetch again, they'll see that they are 2 commits ahead of remote, so they reset back to B and are good to right? Or did I miss something?</p>
","0","3760100","0","0"
"59937046","979331","2020-01-27 18:43:09","0","706","<git><git-reset>","Git - undo commit (git reset --soft) does nothing","<p>I just did a commit and realized I need to undo the commit without deleting any changes....how would I do that? I have tried <code>git reset --soft</code> and that did nothing, no errors nothing, when I enter that command, literally nothing happens. What am I doing wrong?</p>
","0","979331","",""
"57673377","6029189","2019-08-27 11:07:42","1","522","<git><git-reset>","git reset --hard doesn't work after adjusting the Head","<p>When I do <code>git reset --hard</code> to discard changes in current working copy, nothing get discarded.</p>

<p>Here is what I did prior to this problem:
I moved the Head back 3 commits 
<code>git reset HEAD~3</code>
Then I wanted to go back to the latest commit, and I thought this would do it
<code>git checkout -</code>
What actually this done is checking out the development branch with changes that I don't want.
Now I want to go back to my previous branch without commiting these changes but I cannot switch branch because of these changes.
<code>git reset --hard</code> does nothing.
A also tried to stash the changes, they get stashed, but the working copy won't remove the changes in my working copy.</p>

<p>Edit:
Here is the output of git status:</p>

<pre><code>On branch development
Your branch is up to date with 'origin/development'.

Changes not staged for commit:
  (use ""git add/rm &lt;file&gt;..."" to update what will be committed)
  (use ""git checkout -- &lt;file&gt;..."" to discard changes in working directory)

    deleted:    Muqeem/Modules/Muqeem/Slide Down /SlideDownViewController.swift
    deleted:    Muqeem/Modules/Muqeem/Slide Down /SlideDownViewController.xib
    deleted:    Muqeem/Modules/Muqeem/Tabs/Swiping Controller /PageCollectionViewCell.swift
    deleted:    Muqeem/Modules/Muqeem/Tabs/Swiping Controller /SwipingViewController.swift
    deleted:    Muqeem/Modules/Muqeem/Tabs/Swiping Controller /SwipingViewController.xib

Untracked files:
  (use ""git add &lt;file&gt;..."" to include in what will be committed)

    Muqeem/Modules/Muqeem/Slide Down (Whitespace Conflict)/
    Muqeem/Modules/Muqeem/Slide Down/
    Muqeem/Modules/Muqeem/Tabs/Swiping Controller (Whitespace Conflict)/
    Muqeem/Modules/Muqeem/Tabs/Swiping Controller/

no changes added to commit (use ""git add"" and/or ""git commit -a"")
</code></pre>
","5","6029189","",""
"57746733","2697145","2019-09-01 14:16:44","0","33","<git><git-reset>","git reset HEAD~1 --soft made my staged files list full of files I haven't touched","<p>I accidentally committed two files to develop branch instead of my feature branch, but fortunately did <strong>not</strong> push them yet.</p>

<p>So I read how to undo that, so that I'll keep my changes and found the command </p>

<pre><code>git reset HEAD~1 --soft
</code></pre>

<p>After running that my staged files list is now full of changes, file adds, file removes and whatnot. Why? </p>
","0","2697145","",""
