Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,OwnerUserId,AnswerCount,FavoriteCount
"49149297","746346","2018-03-07 10:14:10","8","483","<git><git-stash>","Why does git stash -p take long to start?","<p>In my repo, <code>git diff</code> and <code>git stash</code> both run quickly, in less than a second. However <code>git stash -p</code> takes a good 20 seconds before showing the first hunk. Why could this be?</p>
","4","746346","0","0"
"76457596","6613780","2023-06-12 14:22:10","0","20","<git><github><git-checkout><git-stash>","How to recover deleted files from git after switching branch without stash","<p>I've made some local changes and didn't pushed to repository, accident tally switched to another branch without stashing my changes, i did</p>
<pre><code>git checkout .
</code></pre>
<p>Now i realized that after switching to my working branch, noticed all my local changes gone. Is there anyway to get it back i mean restore or if i do git checkout ., these files will be moved to any cache or recycle bin, i checked it in recycle bin, but not succeeded.
Any help ?
Thanks in advance</p>
<p>I've checked in my local is there any stash list, but no list. Very disappointing work i did. Is there any way to get back my local changes?</p>
","0","6613780","",""
"21738579","424632","2014-02-12 20:11:18","13","2414","<git><git-stash><git-show>","Difference between `git stash show -p stash@{N}` and `git show stash@{N}`?","<p>I thought they should be basically the same, but when I tried</p>

<pre><code>$ git stash show -p stash@{N}
</code></pre>

<p>and</p>

<pre><code>$ git show stash@{N}
</code></pre>

<p>the latter shows some additional commit information, but the actual diff was much, much shorter. (The former shows about a dozen files, but the latter only one.)</p>

<p>So, what exactly is the difference between the two and why are they different?</p>

<p>Can I also rely on things like <code>git diff stash@{M} stash@{N}</code> to be correct?</p>
","0","424632","0","0"
"59703836","438742","2020-01-12 12:33:53","3","99","<git><git-stash>","Why git stash creates two commits","<p>This is a history graph with a stash ref using <code>git log --graph --all refs/stash</code>:</p>

<pre><code>*   commit e5e6f3db57db6237a4334dc69a9a229f1cd7bd82 (refs/stash)
|\  Merge: 2a1a05a e918d31
| | Author: user &lt;xxx@yyy.com&gt;
| | Date:   Sun Jan 12 12:27:13 2020 +0000
| | 
| |     On master: some stash comment
| | 
| * commit e918d315535c6c6ade2dfb0538039d527dd0cd6e
|/  Author: user &lt;xxx@yyy.com&gt;
|   Date:   Sun Jan 12 12:27:13 2020 +0000
|   
|       index on master: 2a1a05a init
| 
* commit 2a1a05a258d3877ed1f6d32dfd57ae1941530418 (HEAD -&gt; master)
  Author: user &lt;xxx@yyy.com&gt;
  Date:   Sun Jan 12 12:09:51 2020 +0000

      init
</code></pre>

<p>Why commit <code>e5e6</code> is needed?</p>
","0","438742","0","0"
"22076944","3189","2014-02-27 18:15:54","29","13805","<git><git-stash>","git stash reporting: '' is not a stash reference","<p>Not quite sure what's happened, but git stash seems to be in a bad place.</p>

<pre><code>% git stash list
stash@{0}: filter-branch: rewrite
stash@{1}: filter-branch: rewrite
stash@{2}: On mysolr: start mysolr stuff
</code></pre>

<p>Is OK, and <code>git show stash@{0}</code> works fine.  But:</p>

<pre><code>% git stash drop
'' is not a stash reference
% git stash pop
'' is not a stash reference
% git stash drop stash@{0}
'stash@{0}' is not a stash reference
</code></pre>

<p>I've used git stash plenty in the past and not come across this.  I had recently rewritten history to remove a file from history before publishing to github.  The command I ran then was</p>

<pre><code>git filter-branch --force --index-filter \
  'git rm --cached --ignore-unmatch FILENAME' \
  --prune-empty --tag-name-filter cat -- --all
</code></pre>

<p>Any ideas how to fix the stash?</p>
","2","3189","0","0"
"22207256","807674","2014-03-05 19:25:18","893","462278","<git><git-stash>","Undo git stash pop that results in merge conflict","<p>I began making changes to my codebase, not realizing I was on an old topic branch. To transfer them, I wanted to stash them and then apply them to a new branch off of master. I used <code>git stash pop</code> to transfer work-in-progress changes to this new branch, forgetting that I hadn't pulled new changes into master before creating the new branch. This resulted in a bunch of merge conflicts and loss of a clean stash of my changes (since I used pop).</p>

<p>Once I recreate the new branch correctly, how I can I recover my stashed changes to apply them properly? </p>
","2","807674","0","0"
"22641249","816213","2014-03-25 16:50:34","6","6150","<git><git-checkout><git-stash><merge-conflict-resolution>","Difference between git checkout HEAD -- filename and git checkout -- filename","<p>Let's begin with a situation.</p>

<ol>
<li>I stash some changes (5 files) <code>git stash</code></li>
<li>Change some files</li>
<li>Commit the changes <code>git commit -m ""Commit message""</code></li>
<li>Get the changes back from stash <code>git stash apply</code></li>
</ol>

<p>I receive a merge-conflict in 2 files because of the commit. I no longer want the changes in those 2 files So I tried to revert those changes.</p>

<p>I did <code>git checkout -- background.js</code></p>

<p>It failed with error </p>

<blockquote>
  <p>error: path 'src/background/background.js' is unmerged</p>
</blockquote>

<p>But then I read <a href=""https://stackoverflow.com/a/7147320/1310070"">this SO post</a> and tried</p>

<pre><code>git checkout HEAD -- background.js
</code></pre>

<p>It works successfully. It happened with me for both the files. I want to understand the difference bewteen</p>

<p><code>git checkout -- file</code> AND <code>git checkout HEAD -- file</code></p>
","0","816213","0","0"
"4058372","262667","2010-10-30 10:58:41","13","2991","<git><conflict><git-stash><git-add>","git stash and edited hunks","<p>I totally love <code>git add -p</code> and <code>git stash</code> but I occasionally have the following problem, which is reproduced by the following sequence of commands:</p>

<ul>
<li><code>git add -p my_file</code>: then I <strong>edit a hunk manually</strong> (using <code>e</code>) because the splitting that git suggests does not suit me</li>
<li><code>git stash --keep-index</code>: then I do some testing, and if the tests pass <em>I do not commit</em></li>
<li><code>git stash pop</code>: now the problem occurs: the file <code>my_file</code> <strong>is now considered as conflicted</strong>, and git has completely messed with my edited hunk, so I have to edit the file, remove the useless merge marks, and run <code>git add my_file</code> followed by <code>git reset HEAD</code></li>
</ul>

<p>I'm puzzled because this happens only when editing a hunk manually. I don't see how this should make any difference at all.</p>

<hr>

<p>To reproduce the problem:</p>

<ul>
<li><code>touch newfile</code></li>
<li><code>git add newfile</code></li>
<li><code>git commit -m 'newfile'</code></li>
<li>add two lines in the file</li>
<li><code>git add -p newfile</code></li>
<li>edit the hunk (<code>e</code>), remove one of the line in the hunk, then quit git add (<code>q</code>)</li>
<li><code>git stash --keep-index</code></li>
<li><code>git stash pop</code></li>
</ul>

<p>Now the file <code>newfile</code> is in unmerged state. Note, again, that the problem <strong>only occurs with manually edited hunks</strong>. There is no problem whatsoever with the commands above if one does not edit any hunk manually.</p>

<p>Incidentally, the preceding state of the file is in the third stage (<code>git show :3:newfile</code>), and the previously staged version is in the second stage (<code>git show :2:newfile</code>). So I could, by some git black magic, manage to put the second stage in this index, and the third stage in the working repo... but I don't know how to do that so I do it by hand. :-(</p>
","5","262667","0","0"
"60330971","7269570","2020-02-21 01:37:22","1","193","<git><git-stash>","How to stash unchanged files on git?","<p>So, I have some committed files in branch A, but I feel like they really don't belong there. I want to move them, as they are, to another branch B - but I don't want to bring the entire branch A history to B; I just want the files.</p>

<p>Then, I'm looking for a way to stash those files, and then pop this stash on a brand new branch B. I've done this in the past in a pretty trashy way - that is, I literally modified every file adding a new line at their beginning, so they could be stashed. Obviously, this solution is nowhere near smart. Is there any way to stash them?</p>

<p>(other solutions to this task are most welcome as well, by the way)</p>

<p>EDIT: I realize this question is badly written. I should have asked ""how to move files between branches"", because that is my real goal. Sorry for falling to the <a href=""https://en.wikipedia.org/wiki/XY_problem"" rel=""nofollow noreferrer"">XY problem</a>. Anyway, for that question, there is already <a href=""https://stackoverflow.com/a/307872/7269570"">a great answer</a> - check it out. I'm keeping the question in order to help others who may phrase their problems the same way I did.</p>
","4","7269570","",""
"38872509","298195","2016-08-10 11:43:44","2","1186","<git><git-stash>","Force message on git stash","<p>I'm using <code>git stash</code> a lot. Most of the time I forget to set a message (<code>git stash save &lt;message&gt;</code>). </p>

<p><strong>How</strong> is it possible to <strong>force message</strong> on the normal <code>git stash</code> command?</p>

<p>From the git stash help page:</p>

<blockquote>
  <p>Calling git stash without any arguments is equivalent to git stash save. A stash is by default listed as ""WIP on branchname …"", but you can give a more descriptive message on the command line when you create one.</p>
</blockquote>
","3","298195","0","0"
"14654229","841626","2013-02-01 20:12:04","5","402","<git><version-control><patch><git-stash>","save git stash revision long term","<p>How do I </p>

<p>""Save"" a git stash and store it away long terms such that I can access it in the future (perhaps save it in some patch file) even after the stash itself is cleared. IE. how do I save a certain stash into a file such that I can clear the current stashes and that nothing will show up if I do git stash list and yet I will still be able to access the saved stash revision in the future if I want to</p>
","3","841626","0","0"
"89487","2108922","2008-09-18 02:29:32","85","19059","<git><git-stash>","Why isn't the git stash unique per branch?","<p>I suppose it allows for moving changes from one branch to the next but that's what cherry picking is for and if you're not making a commit of your changes, perhaps you shouldn't be moving them around?</p>

<p>I have on occasion applied the wrong stash at the wrong branch, which left me wondering about this question.</p>
","1","2108922","0","0"
