Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,OwnerUserId,AnswerCount,FavoriteCount
"58991775","12151830","2019-11-22 10:00:32","3","332","<git><git-commit>","How to edit the commit date when using git commit --reedit-message?","<p>I recently used <code>git commit --reedit-message=HEAD</code>, to make a new commit while using most of the text from the HEAD. All went well till I observed that after committing, the new commit showed the same date stamp as the previous HEAD.</p>

<p>The log (pretty) looked like this</p>

<pre><code>hash   , auth date , message
86fb360, 2019-11-16, copied commit (committed on 2019-11-21)
6dc9583, 2019-11-16, original commit (committed on 2019-11-16)
</code></pre>

<p>The basic log command <code>git log -1</code>also showed the old date.</p>

<p>Why did this happen?</p>

<p>How to make the actual commit date appear on the new commit when using the above command?</p>
","0","12151830","",""
"19364466","1312911","2013-10-14 16:07:01","1","570","<git><git-commit>","How to salvage a git commit with a keyboard interrupt","<p>I had a handful of files I wanted to commit, but was planning on committing them in smaller groups so as to have a clean history in case I wanted to review/rollback.  I went to commit a subset, but realized I missed one.  While git commit was running, I did a Ctrl + C keyboard interrupt (instinct for killing a process, obviously not the right move here).  I found that git wiped my local files &amp; was totally lost in the history, so much that i had to delete the local branch &amp; pull it again.  I couldn't find my files anywhere, not even with git fsck &amp; looking though all the dangling blobs/commits. </p>

<p>I think the answer to this question is, ""yeah, don't ever do that"" but was curious if anyone else had ever made the same mistake but happened to know a way to recover &amp; not end up losing a bunch of work.</p>

<p>Late nights can definitely make a mess. :-)</p>
","0","1312911","0","0"
"179123","7473","2008-10-07 15:44:47","7650","3455185","<git><git-commit><git-rewrite-history><git-amend>","How to modify existing, unpushed commit messages?","<p>I wrote the wrong thing in a commit message.</p>

<p>How can I change the message? The commit has not been pushed yet.</p>
","1","7473","0","0"
"57519403","10040804","2019-08-16 05:44:49","1","1721","<git><gerrit><git-commit><git-rebase><git-pull>","Why different ways to resolve conflicts cause to different conflicts?","<p>I would like to find an answer to why <strong>git behaves differently</strong> when I try to merge my local changes with those of master, <strong>depending on the commands and sequence used</strong>.</p>

<p>To ensure that I start from a clean environment, I reset everything to the latest local commit <code>69cf18c...</code> and then I cherry-pick my own changes (just one file) stored already in a Gerrit server:</p>

<pre><code>git reset --hard 69cf18c...
git fetch ssh://...  &amp;&amp; git cherry-pick FETCH_HEAD
</code></pre>

<p>From here I have tried 3 ways to solve it and only the third one works well:</p>

<p><strong>Option 1: Pull with rebase</strong></p>

<pre><code>git pull --rebase
</code></pre>

<p>Git will show me <strong>hundreds</strong> of changes that have nothing to do with the file I cherry-picked. Even if I try <code>git rebase --skip</code> another mysterious conflict will come, again and again, indefinitely. <strong>Why is this happening?</strong> Is my local history <em>polluted</em> with some older local commits that distort the rebase?</p>

<p><strong>Option 2: Pull without rebase</strong></p>

<pre><code>git pull
</code></pre>

<p>Git will show me only one conflict, the one which has to do with my file, up to here everything ok. However after solving the conflict and running <code>git add -u &amp;&amp; git commit</code>, git creates a new commit on top of mine which I cannot merge together with mine running <code>git rebase --interactive HEAD~2</code> (then I would <em>pick</em> and <em>squash</em> respectively):</p>

<pre><code>git log
commit f65738375
Merge: 6c4e66a f235f75
       ...
commit 6c4e66a88
       ...
</code></pre>

<p>Git does not list it in the editor the commit ""Merge"", but instead hundreds of other commits. <strong>Why cannot I merge the conflict into my commit?</strong></p>

<p><strong>Option 3: Reset, pull and then cherry-pick</strong></p>

<p>If I cherry-pick after pulling, everything works fine:</p>

<pre><code>git reset --hard 69cf18c...
git pull
git fetch ssh://...  &amp;&amp; git cherry-pick FETCH_HEAD
# solve the conflict
git add -u &amp;&amp; git commit -c FETCH_HEAD
</code></pre>

<p><strong>Why in this order everything works smoothly?</strong></p>

<p>Is there an explanation for these 3 options? Thank you in advance!</p>
","1","10040804","0","0"
"19469055","803077","2013-10-19 17:42:35","1","32","<git><github><git-commit>","checking out git commit. Putting it at top of branch","<p>Hi guys I have a master branch that has a broken commit at the tip of the branch. The working version is the commit before that. </p>

<p>How can I make the remote repository have the commit before that (C2) as the commit at the tip and delete the broken commit (C3)?</p>

<p>I am using github if that helps too. </p>

<p>current:
C1 - C2 - C3 (tip)</p>

<p>would like to delete C3 (the latest commit). </p>

<p>C1 - C2 (tip)</p>

<p>After I have deleted the latest commit I would like to clear my local git respository and pull the data from my git address again. </p>

<p>I am very confused. </p>

<p>Thanks for the help,</p>

<p>Joe. </p>
","1","803077","",""
"38679261","193601","2016-07-30 22:58:49","5","1331","<git><github><git-commit>","How to delete a commit on a git remote?","<p>How can I delete a commit on a git remote hosted by github.com? I already found multiple <a href=""https://stackoverflow.com/questions/448919/how-can-i-remove-a-commit-on-github"">answers</a> on SO that show how to remove a commit from the commit history of a branch. I attempted these, however my commit is still clearly available because I can browser directly to it using its hash.</p>

<p>So for clarity, my question is not how to remove a commit from the commit history of all my branches on my remote. My question is how to remove the commit itself, so that there is no record of it on the git remote that I previously pushed my branch to.</p>

<p>Solutions I've tried include:</p>

<p><a href=""https://stackoverflow.com/questions/8225125/remove-last-commit-from-remote-git-repository"">Remove last commit from remote git repository</a></p>

<p><a href=""https://stackoverflow.com/questions/4647301/rolling-back-local-and-remote-git-repository-by-1-commit"">Rolling back local and remote git repository by 1 commit</a></p>

<p>EDIT:
<a href=""https://stackoverflow.com/questions/3293531/git-permanently-remove-few-commits-from-remote-branch"">Git: permanently remove few commits from remote branch</a> is another solution that didn't work for me. The reason this particular solution did not work is because it stays to ""git push --force your revised local branch to the remote."", which doesn't delete commits from the remote and instead only removes them from the commit history of the current branch.</p>
","2","193601","",""
"38709127","2782583","2016-08-01 22:35:09","0","352","<git><rebase><git-commit><squash><git-squash>","How to cleanup git history removing certain commits after they've been pushed?","<p>What I'm trying to do:</p>

<p>I completed a feature.</p>

<pre><code>git add -A; git commit -m ""feature A complete""
</code></pre>

<p>Then I realized I missed some things.</p>

<pre><code>git add -A; git commit -m ""feature A missed something 1""
git add -A; git commit -m ""feature A missed something 2""
git add -A; git commit -m ""feature A missed something 3""
</code></pre>

<p>Now my history looks like this:</p>

<pre><code>A238ad1 feature A missed something 3
3238adX feature A missed something 2
1238ad7 feature A missed something 1
111AAA2 feature A complete
</code></pre>

<p>I want it to look like this:</p>

<pre><code>111AAA2 feature A complete
</code></pre>

<p>With all the <code>missed something</code> commits merged into the <code>feature A complete</code> commit.</p>

<p>I know <code>git rebase -i HEAD~4</code> is the right way to go, but it doesn't actually remove the bad commits to clean up the history.</p>

<p>I noticed in some other articles there's a <code>git commit --fixup</code> command and a <code>git rebase -i --autosquash</code>, but I'm not getting it to work properly. I'm sure this is super easy, I'm just out of it today.</p>
","1","2782583","",""
"448919","14755","2009-01-15 23:20:54","1986","1617603","<git><github><git-commit><git-reset><git-revert>","How can I remove a commit on GitHub?","<p>I ""accidentally"" pushed a commit to GitHub.</p>

<p>Is it possible to remove this commit?</p>

<p>I want to revert my GitHub repository as it was before this commit.</p>
","11","14755","0","0"
"57679088","9358535","2019-08-27 16:43:47","1","334","<git><cpanel><git-branch><atlassian-sourcetree><git-commit>","How do I manage 3 parallel branches efficiently when each are different by only a single (or few) commit(s)?","<p>I'm incorporating git (via Bitbucket/SourceTree/PHPStorm/cPanel) into my web development workflow, and I'm trying to find the most efficient way of managing my development environment. I currently have 3 branches in my git repo, each representing a separate VPS deployment for each release stage in my development workflow (local VPS for individual development, remote development VPS for staging and client previews, and remote production VPS for live websites).</p>

<p>In order for each of these distributions to work, each requires its own custom .cpanel.yml file (for auto deployment), which means I've committed a unique commit to each branch with the custom file, but the rest of the commits are largely exactly the same.</p>

<p>I've tried excluding the .cpanel.yml file from the repo, but cPanel requires this .cpanel.yml file to be checked into the repo in order for auto distribution to run properly. (Initially I thought of including 3 variations on this file and having a git hook unpack the appropriate file but cPanel doesn't recognize any .cpanel.yml files that are not checked into the repo, so this was of no use. I was also unable to find any documentation on overriding the default .cpanel.yml filename)</p>

<p>What is the best methodology to use in this particular case, where I have 3 parallel branches that vary in only a small number of commits? I'm finding that the cherry pick feature in SourceTree is not easy to use on my mac, and I'd prefer a simple method for maintaining common commits across these three branches. I'm also open to a solution that involves consolidating the three unique commits into a single solution (ex. being able to override the default .cpanel.yml filename and commit 3 of these files and point cpanel to the correct one)</p>
","0","9358535","0","0"
"38903834","6706405","2016-08-11 18:36:41","1","40","<git><github><git-commit><git-filter-branch><git-rewrite-history>","Amending Git Author In a Published Repo","<p>So I'd like to rewrite the history of a git repo. Now, all of the commits I'd like to change have already been published and pushed and I'm aware that rewriting history to published repos is bad practice. However, this repo has no forks and only a single master branch. Does this make rewriting history safer?</p>

<p>If so, what I'd want to do is change the author of all commits since a certain date by a specific author to the new author. Here is the code that github provides to do this:</p>

<pre><code>#!/bin/sh

git filter-branch --env-filter '
OLD_EMAIL=""your-old-email@example.com""
CORRECT_NAME=""Your Correct Name""
CORRECT_EMAIL=""your-correct-email@example.com""
if [ ""$GIT_COMMITTER_EMAIL"" = ""$OLD_EMAIL"" ]
then
    export GIT_COMMITTER_NAME=""$CORRECT_NAME""
    export GIT_COMMITTER_EMAIL=""$CORRECT_EMAIL""
fi
if [ ""$GIT_AUTHOR_EMAIL"" = ""$OLD_EMAIL"" ]
then
    export GIT_AUTHOR_NAME=""$CORRECT_NAME""
    export GIT_AUTHOR_EMAIL=""$CORRECT_EMAIL""
fi
' --tag-name-filter cat -- --branches --tags
</code></pre>

<p>Can somebody change this to include my requirement of only changing commits since a certain date, say, after June 20th?</p>

<p>Also, is it possible to easily undo this change after seeing the effects?</p>
","0","6706405","",""
