Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,OwnerUserId,AnswerCount,FavoriteCount
57652455,8562954,8/26/2019 5:55,1,754,<git><continuous-integration><gitlab><gitlab-ci><githooks>,How to trigger certain scripts when a commit occurs in the Gitlab repository,"<p>I am looking for a way to run some python scripts in our remote server when a commit occurs to our Gitlab repo. We are not hosting our repo, it is on Gitlab servers. Any recommendations are welcome.</p>

<p>Thanks in advance.</p>
",0,8562954,,
38742960,1347198,8/3/2016 11:56,1,200,<git><jira><bitbucket><githooks>,git - extend commit hook with part of branch name,"<p>I would like to use the <em>prepare-commit-msg</em> hook. I am using feature and bugfix branches (feature/ISSUEKEY-23123-some-feature) and I would like to prepend the ISSUEKEY-23123 into the commit message:</p>

<pre><code>#!/bin/bash
BRANCH_NAME=$(git branch | grep '*' | sed 's/* //')
STR=`echo $BRANCH_NAME | grep -E 'ISSUEKEY-[0-9]*' -o`
if [[ $BRANCH_NAME == *""feature""* ]] || [[ $BRANCH_NAME == *""bugfix""* ]]
then
    echo $STR &gt; $1
fi
</code></pre>

<p>This works, but it discards the standard message vi is showing me for commits, e.g.:</p>

<pre><code># Please enter the commit message for your changes. Lines starting
# with '#' will be ignored, and an empty message aborts the commit.
# Explicit paths specified without -i or -o; assuming --only paths...
# On branch feature/ISSUEKEY-1716-model-implement
# Your branch is based on 'origin/feature/ISSUEKEY-1716-model-implement', but the upstream is gone.
#   (use ""git branch --unset-upstream"" to fixup)
#
# Changes to be committed:
#       new file:   asd
#
# Untracked files:
#       FSTD-1716
#       TMP
#
</code></pre>

<p>Is there a way to either prepend the <code>STR</code> to the output, or to call a git command what prints me the mentioned standard commit message?</p>

<p>The opened commit message should be:</p>

<pre><code>ISSUEKEY-1716 
# Please enter the commit message for your changes. Lines starting
# with '#' will be ignored, and an empty message aborts the commit.
# Explicit paths specified without -i or -o; assuming --only paths...
# On branch feature/ISSUEKEY-1716-model-implement
# Your branch is based on 'origin/feature/ISSUEKEY-1716-model-implement', but the upstream is gone.
#   (use ""git branch --unset-upstream"" to fixup)
#
# Changes to be committed:
#       new file:   asd
#
# Untracked files:
#       FSTD-1716
#       TMP
#
</code></pre>
",0,1347198,0,0
57575542,452281,8/20/2019 14:08,1,2116,<git><githooks>,Git pre-commit hook not working as expected,"<p>I have configured my repo to use a <code>hooks</code> directory instead of the <code>.git/hooks</code> directory so that it can be <a href=""https://stackoverflow.com/a/37861972/452281"">managed from within the repo</a></p>

<p>I want to run <code>sed</code> to redact a password before a commit occurs. I am using this code in my <code>hooks/pre-commit</code> script which I have also made executable.</p>

<pre><code>#!/bin/bash

FNAME=smbclient.conf
sed -i -e 's/password=.*/password=See_Thycotic/g' ${FNAME}

grep -c See_Thycotic ${FNAME}
if [ ""$?"" -ne ""0"" ] ; then
    echo Failed to redact password in ${FNAME}
    exit 1
fi
echo Password was redacted in ${FNAME} before commit
</code></pre>

<p>When I run this command:</p>

<pre><code>git commit smbclient.conf -m ""changed something""
</code></pre>

<p>I see this message (as expected):</p>

<pre><code>1
Password was redacted in smbclient.conf before commit
</code></pre>

<p>The problem is that the file is committed before the contents are changed by the <code>pre-commit</code> script.  If I then run <code>git status</code>, it tells me <code>modified: smbclient.conf</code>.</p>

<p><strong>1) How can I change this file before the commit occurs and then also have it committed?</strong></p>

<p><strong>2) Is it possible to have the pre-commit script run when committing only the smbclient.conf file and no other files?</strong></p>
",3,452281,,
38694154,6654829,8/1/2016 8:27,1,191,<git><hook><bitbucket><githooks><git-tag>,Information from the git tag object,"<p>Do you have any ideas what kind of information does git tag object carry? </p>

<p>The point is I would like to analyze it when I make git hook (preferably server-side). </p>
",2,6654829,0,0
38694434,4052756,8/1/2016 8:41,0,273,<git><githooks><assembla>,How add server-side git hooks in Assembla?,"<p>How can i add server-side hooks in Assembla for all users this repository? If i add in .git/hooks it's be only for my local repository or i don't understand something? </p>

<p>I need hooks for check and edit commit messages for all users of repository.</p>
",0,4052756,,
62190318,1058380,6/4/2020 8:39,1,1121,<git><githooks>,git hook to set username and email,"<p>Is it possible to write a git hook that sets the username and email before the first commit? The username and email should be set depending on configured parameters like repository / domain regex or other ones.</p>

<p>I tried to write different types, but I only succeeded in that the configuration change <em>after</em> the first commit.</p>

<p><strong>Edit</strong></p>

<p>My code looks like this (based on <a href=""https://coderwall.com/p/jp7d5q/create-a-global-git-commit-hook"" rel=""nofollow noreferrer"">Create a global git commit hook</a>):</p>

<pre><code>.git-templates/hooks/ -&gt; cat pre-commit 
#!/bin/bash
remote=$(git config --get remote.origin.url)
if [ -n ""$remote"" ]; then
    if [[ $remote =~ ""specific_domain"" ]]; then
        git config user.email ""myname@specific_domain.tld""
        git config user.name ""Firstname Lastname""
    else
        git config user.email ""pseudonym@general_domain.tld""
        git config user.name ""pseudonym""
    fi
fi
</code></pre>
",3,1058380,,
25990834,553735,9/23/2014 8:53,2,516,<git><gitlab><githooks><gitlab-ci>,Gitlab CI fails to schedule builds for new commits,"<p>I have several projects on Gitlab integrated with Gitlab CI. However, the only time when build is scheduled in gitlab_ci for them is when I press <code>Test settings</code> in the gitlab_ci integration ingitlab project's services.</p>

<p>In all other cases, that is, when a commit is made to any of branches of the Gitlab project, no build is sheduled in gitlab_ci. What is aggravating is that <code>Test settings</code> only shedules a build of default branch (that is, <code>master</code>).</p>

<p>What can I do to diagnose and fix the situation? What logs should I look into? What settings to check?</p>
",0,553735,0,0
28170968,1971279,1/27/2015 12:51,1,1139,<node.js><git><githooks><forever>,Git post-receive restart forever(node.js)?,"<p>I am using git on my server as a remote repo, inside post-receive I define my work-tree where the files are hosted and my git-dir.</p>

<p>I am using node.js with forever on this app and in order for most changes to take effect I need to run <code>forever restart server.js</code>. It's a pain to have to login via ssh and cd to the directory and manually do it.</p>

<p>So I was thinking is it possible to issue a command within the post-receive, like <code>forever restart server.js</code>? </p>

<p><strong>Here is my post-receive file</strong></p>

<pre><code>#!/bin/sh
git --work-tree=/var/www/example/public_html --git-dir=/var/repo/examp$
forever restart ../../../www/example/public_html/server.js
</code></pre>
",2,1971279,,
46787669,5132444,10/17/2017 10:11,0,55,<git><github><version-control><bitbucket><githooks>,How to merge git from different repositories into 1 repo,"<p>I am working on a project where i am splitting up the entire project into multiple modules which are then being individually developed. I do not want the developers of the individual modules to have access to any other modules or the entire project and all they can see is their module.How can i go doing this using the existing git systems such as github or bitbucket.
Would each module be a repo and then a main repo which hooked into each of these repos to merge the data? </p>
",0,5132444,0,0
49149001,544847,3/7/2018 10:00,33,15491,<reactjs><testing><jestjs><create-react-app><githooks>,Run Create-React-App Tests not in Watch Mode,"<p>I have a project created using Create-React-App. I am looking to add in a <code>precommit</code> hook to run our linter and tests with the <code>pre-commit</code> package.</p>

<pre><code>""pre-commit"": [
  ""precommit-msg"",
  ""lint"",
  ""test""
],
</code></pre>

<p>However, since the test script runs by default in watch mode, this prevents the commit from ever actually happening. How can add the tests not in watch move in the pre-commit?</p>
",0,544847,0,0
