Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,OwnerUserId,AnswerCount,FavoriteCount
"38762641","5396946","2016-08-04 08:48:26","0","968","<git><gitignore>","gitignore allow certain file only in named subfolder","<p>I am currently cleaning up a git-repository, moving dependencies and so on.
I have decided to have a global folder which contains all third-party libraries that we use. Except for these <code>*.dll</code> files, I want to ignore any other dll-Files in the project.</p>

<p>So my <code>gitignore</code> in the root directory of the project contains these lines:</p>

<pre><code>*.dll
!external\ libraries/*.dll
</code></pre>

<p>Which apparently does not work.
I also tried placing a .gitignore file into the <code>external libraries</code> directory, containing the line <code>!*.dll</code>, which did not work either.</p>

<p>What am I doing wrong?</p>

<p>e/</p>

<p>Output of ls in <code>external libraries</code></p>

<pre><code>/external libraries (branchname)
$ ls
file1.dll*
file2.dll*
</code></pre>

<p>In the root directory <em>ls</em> returns all folders as expected.</p>
","7","5396946","",""
"19671892","1448031","2013-10-30 00:51:24","3","1259","<git><joomla><github><gitignore>","Different Joomla .gitignore files in different repos","<p>I am trying to use .gitignore file for my Joomla repo. I have noticed that the official joomla .gitignore file is much shorter as compared to the .gitignore provided by Github, which has an exhaustive list. Not sure why they are different.</p>

<p>This is joomla's .gitignore file: <a href=""https://github.com/joomla/joomla-cms/blob/master/.gitignore"" rel=""nofollow"">https://github.com/joomla/joomla-cms/blob/master/.gitignore</a></p>

<p>This is from github: <a href=""https://github.com/github/gitignore/blob/master/Joomla.gitignore"" rel=""nofollow"">https://github.com/github/gitignore/blob/master/Joomla.gitignore</a></p>

<p>Was that intentional or is there a reason behind that?</p>

<p>My other question is what is the best practice to use .gitignore in my repo? Do I pull it from the remote repo or do I manually create a .gitignore file in my local repo?</p>
","0","1448031","",""
"19672367","2934410","2013-10-30 01:42:27","0","194","<git><gitignore>",".gitignore overly ignores files","<p>I'm working on a project on linux, with git version 1.8.x .
I tried to set some rules with .gitignore and quickly realized that listing everything you don't want to track is not what I actually want.
So I tried instead to precise which patterns git should track, ie:</p>

<pre><code>*

#code files
!**/*.cpp
!**/*.h
</code></pre>

<p>But then, git doesn't track any new files anymore.
So is it possible to find a way to make it works?
Moreover using !**.cpp works only for the currents folders files.</p>

<p>Thanks o/</p>
","7","2934410","",""
"57530472","11639503","2019-08-16 20:00:03","1","47","<git><gitignore>","How to select multiple files of same format except a specific name in gitignore","<p>I have multiple .txt files to include in gitignore. Also, I need a few of the .txt files to be commited.</p>

<p>Presently, I'm doing:<br>
1) *.txt in .gitignore<br>
2) Followed by git add -f fill_2_add.txt</p>

<p>Is there a way to avoid forcefully including the required .txt files?
I tried using '!fill_2_add!.txt' as given in documentation but to no avail</p>
","1","11639503","0","0"
"19585408","921538","2013-10-25 08:55:43","0","486","<git><github><gitignore>","How to commit directory structure (directories with subdirectories) without files to git?","<p>I'm trying to commit the following directory structure to git:</p>

<pre><code>web
    /uploads
            /avatars
            /video
</code></pre>

<p>I put <code>.gitkeep</code> into <code>/web/uploads/avatars/</code> and <code>/web/uploads/video/</code> and added the following lines to <code>.gitignore</code> in the root of the repo:</p>

<pre><code>/web/uploads/
!/web/uploads/avatars/.gitkeep
!/web/uploads/video/.gitkeep
</code></pre>

<p>But <code>git status</code> does not show any new files. Invoking <code>git add web/uploads/avatars/.gitkeep</code> outputs the following message:</p>

<pre><code>The following paths are ignored by one of your .gitignore files:
web/uploads/avatars/.gitkeep
Use -f if you really want to add them.
fatal: no files added
</code></pre>

<p>How can I commit an empty directory structure into git repository?
P.S. git version is git version 1.8.4.msysgit.0</p>
","1","921538","",""
"38711272","6315090","2016-08-02 03:21:56","1","4995","<laravel><github><gitignore><git-add>","Why is vendor package not pushing to github even when ""/vendor"" is not listed in .gitignore file?","<p>When I add files to my local repository, some vendor packages are excluded even though they are not listed in the .gitignore file.  Since they are not pushed to the remote repository, other developers are not able to pull the vendor packages.</p>
","1","6315090","",""
"66129837","12728552","2021-02-10 01:52:59","3","1175","<android><git><gitignore>","About the .gitignore question, .cxx folder in the Android project","<p>Here's a question about Git, .gitignore on Android!</p>
<p>======================================================</p>
<p><strong>Q1) What files are created in myproject/app/.cxx?</strong></p>
<p>I am using ndk, jni in android project.
It seems that the files related to this are being automatically changed in myproject/app/.cxx.</p>
<p>When I try to branch move, the files in this folder are changed, so I have a problem that I have to commit.</p>
<p>So I want to add that directory to .gitignore,
I don't know exactly what that directory is, so I'm wondering if I can add it to .gitignore</p>
<p>======================================================</p>
<p><strong>Q2) I have multiple .gitignore files.</strong></p>
<p>If I add that directory (myproject/app/.cxx) to .gitignore,</p>
<p>There is also a .gitignore file in the &quot;myproject&quot; folder,</p>
<p>There is also a .gitignore file in the &quot;myproject/app&quot; folder.</p>
<p>Should i edit .gitignore in &quot;myproject/app&quot;??</p>
","0","12728552","",""
"29386242","2746924","2015-04-01 08:34:52","7","6786","<android><git><gitignore>","Android studio gitignore won't ignore .iml","<p>Iv'e added:</p>

<pre><code>*.iml 
</code></pre>

<p>to all of the gitignore files in my project.
They are still being tracked, even after committing the .gitignore.</p>
","0","2746924","0","0"
"49148044","197134","2018-03-07 09:13:52","0","37","<git><github><gitignore>","Git commit changes in folder from .gitignore once","<p>is it possible to have a folder ignored by git even if sometimes this folder is committed?</p>

<p>The background is that in open source projects I don't want others to commit the <code>dist/</code> folder, however when I build a new version I need to obviously commit the <code>dist/</code> folder. Is there a solution to this ""problem""?</p>

<p>Thanks</p>
","1","197134","",""
"51796951","2204305","2018-08-11 06:03:58","1","1527","<git><react-native><node-modules><gitignore>","React native node modules: how to keep changes in Android modules in git?","<p>I have a React native project which requires to change some code inside the Android project of some library. The problem is that the library is positioned inside the node_modules folder and it's not been saved when pushing to get, because node_modules is ignored. I know I can remove node_modules from .gitignore but I think there should me another way, some better practice?</p>
","1","2204305","",""
