Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,OwnerUserId,AnswerCount,FavoriteCount
"21738579","424632","2014-02-12 20:11:18","13","2414","<git><git-stash><git-show>","Difference between `git stash show -p stash@{N}` and `git show stash@{N}`?","<p>I thought they should be basically the same, but when I tried</p>

<pre><code>$ git stash show -p stash@{N}
</code></pre>

<p>and</p>

<pre><code>$ git show stash@{N}
</code></pre>

<p>the latter shows some additional commit information, but the actual diff was much, much shorter. (The former shows about a dozen files, but the latter only one.)</p>

<p>So, what exactly is the difference between the two and why are they different?</p>

<p>Can I also rely on things like <code>git diff stash@{M} stash@{N}</code> to be correct?</p>
","0","424632","0","0"
"12165190","289715","2012-08-28 18:20:09","2","2117","<git><git-branch><git-commit><git-show><git-reflog>","what happened to a commit that doesn't show up in any branches but available in ""git show""","<p>I have a commit id available in the bare repo.<br>
<code>git show commit id</code>, shows the commit with the changes.</p>

<p>But the same commit doesn't show up when using the below commands</p>

<pre><code>git branch --contains &lt;commit id&gt;
</code></pre>

<p>or</p>

<pre><code>git reflog show --all | grep &lt;commit id&gt;
</code></pre>

<p>What could have happened to the commit id?</p>
","0","289715","0","0"
"33922655","47281","2015-11-25 17:17:55","5","138","<git><git-show>","git show to view prior version of a renamed file?","<p>We renamed a file where <code>git log --follow my/new-file</code> correctly shows changes before and after the rename.  </p>

<p>But this command does not work to show a prior version: <code>git show &lt;rev&gt;:my/new-file</code>.   </p>

<p>We have to run <code>git show &lt;rev&gt;:my/old-file</code>.</p>

<p>Is there a way you can run this command with my/<strong>new</strong>-file instead of my/<strong>old</strong>-file?</p>
","0","47281","",""
"34025577","248432","2015-12-01 16:47:16","3","931","<git><jgit><git-show>","Jgit: how to show changed files in merge commit","<p>I'd like to use jgit to get a list of files that were changed in a merge commit, similar to what <code>git show --name-only</code> does in git.</p>

<p>There are plenty of examples on how to get changed files for normal commits with one parent, but they do not work for merge commits with multiple parents. </p>
","0","248432","",""
"69111788","7287412","2021-09-09 03:11:39","0","64","<git><git-show>","git show: confusing behavior when showing past version of a file","<p>I want to see a historical version of a given file: <code>.zshrc</code></p>
<p>This will show me all commits where this file changed:</p>
<pre><code>git log .zshrc
...
...
</code></pre>
<p>Now for given commit, I want to see the whole file. But the following actually does not show the file. It shows a diff between that commit and previous commit:</p>
<pre><code>git show bbac89168a2fbbaaa6ef31dc50616dd236c8b5d4 .zshrc
</code></pre>
<p>This does not work at all:</p>
<pre><code>git show bbac89168a2fbbaaa6ef31dc50616dd236c8b5d4:.zshrc  

fatal: Path 'test/.zshrc' exists, but not '.zshrc'.
Did you mean 'bbac89168a2fbbaaa6ef31dc50616dd236c8b5d4:test/.zshrc' aka '2c0989168a2fbbaaa6ef31dc50616dd236c8b5d4:./.zshrc'?
</code></pre>
<p>And finally, this behaves as expected. It will &quot;cat&quot; given version of file</p>
<pre><code>git show bbac89168a2fbbaaa6ef31dc50616dd236c8b5d4:./.zshrc
</code></pre>
<p>But why is the behavior of <code>git show</code> so illogical and confusing?</p>
<p>Why is <code>git show bbac89168a2fbbaaa6ef31dc50616dd236c8b5d4 .zshrc</code> different from <code>git show bbac89168a2fbbaaa6ef31dc50616dd236c8b5d4:.zshrc</code></p>
<p>Also, why does <code>git show bbac89168a2fbbaaa6ef31dc50616dd236c8b5d4:.zshrc</code> not work, even though git clearly understand, and suggests, I should use: <code>bbac89168a2fbbaaa6ef31dc50616dd236c8b5d4:test/.zshrc</code> ?</p>
<p>Why can't I use relative path <code>:.zshrc</code> and instead must use completely unnecessary construct <code>:./.zshrc</code> ?</p>
","2","7287412","",""
"19369925","2672807","2013-10-14 21:54:49","3","1364","<git><git-show>","git - Is git show safe to use on binary files when the output is redirected to a file?","<p>I read that it's possible to retrieve a single file from a specific revision in Git, as answered in this SO question:<br>
<a href=""https://stackoverflow.com/questions/610208/how-to-retrieve-a-single-file-from-specific-revision-in-git"">How to retrieve a single file from specific revision in Git?</a></p>

<p>So I want to know if it's safe to do that with binary files. I have some binary files in use and I don't want to check them out, really what I want to do is copy them out from a specific revision. I tried this:</p>

<pre><code>git show HEAD~1:database.db &gt; copy-of-database-from-mmddyy.db
</code></pre>

<p>That seems to work, as in the output is an exact match of database.db for that commit. But I have to wonder is this an allowed use of <code>git show</code>? Does it support what I'm doing and will the result always be correct and not corrupt (ie autocrlf translation for example.. I'm in Windows msysgit). Thanks!</p>
","0","2672807","",""
"47584704","93212","2017-12-01 00:10:12","2","72","<git><git-reset><git-show>","How to get visual output when git reset modifies HEAD and Staging Index states?","<p>For educational purposes, I am looking for a method to visually demonstrate how a <code>git reset</code> modifies <code>HEAD</code> and the Staging index. In the case of <code>--mixed</code> and maybe <code>--hard</code> I would like to get a before and after view of the Staging Index, to show how it has been modified. The case of <code>--soft</code> should demonstrate that it remains the same.</p>

<p>I had been using <code>git status</code> to demonstrate the <code>git reset</code> processes and found it confusing to say ""the staging index is unchanged"" when <code>git status</code> shows pending updates in the ""Changes to be committed"" section. I came to learn that <code>git status</code> is not representative of the state of the Staging Index, but the diff between Head and the index.</p>

<p>I have been using the following example to demonstrate so far:</p>

<pre><code>git init .
touch reset_lifecycle_file
git add reset_lifecycle_file
git commit -am""initial commit""
echo 'hello git reset' &gt;&gt; reset_lifecycle_file
git commit -am""update content of reset_lifecycle_file""
git log
commit be4aaa98d6976531fdd28aeff52e233087066049
Author: kevzettler &lt;kevzettler@gmail.com&gt;
Date:   Thu Nov 30 15:31:16 2017 -0800

update content of reset_lifecycle_file

commit 5e2d74b369f57929673d873302eb7ebd752c2a95
Author: kevzettler &lt;kevzettler@gmail.com&gt;
Date:   Thu Nov 30 15:20:43 2017 -0800

initial commit

git status
On branch master
nothing to commit, working tree clean
</code></pre>

<p>At this point in the repos life if I execute a git reset to the first commit <code>5e2d74b369f57929673d873302eb7ebd752c2a95</code></p>

<pre><code>git reset --soft 5e2d74b369f57929673d873302eb7ebd752c2a95
git status
On branch master
Changes to be committed:
  (use ""git reset HEAD &lt;file&gt;..."" to unstage)

    modified:   reset_lifecycle_file
</code></pre>

<p>Here is where the confusion has stemmed from. I had been assuming the ""Changes to be committed"" output was reflective of the state of the index, and was then assuming the <code>--soft</code> had been modifying the Index which all Git documentation states does not happen.</p>

<p>I have recently discovered the <code>git show</code> and <code>git ls-files</code> commands. I am wondering if these can be better used to visualize the process here.</p>

<pre><code>git show --full-index commit 5e2d74b369f57929673d873302eb7ebd752c2a95
Author: kevzettler &lt;kevzettler@gmail.com&gt; Date: Thu Nov 30 15:20:43
2017 -0800

initial commit

diff --git a/reset_lifecycle_file b/reset_lifecycle_file new file mode
100644 index
0000000000000000000000000000000000000000..e69de29bb2d1d6434b8b29ae775ad8c2e48c5391
</code></pre>

<p><code>git show --full-index</code> appears to append some index Object SHA to the end of the output. Can I use that to indicate reset changes to the index?</p>

<pre><code>git ls-files -s
100644 d7d77c1b04b5edd5acfc85de0b592449e5303770 0   reset_lifecycle_file
</code></pre>

<p><code>git lis-files-s</code> has another Object SHA Can I use that to indicate changes to the index?
At this point in the example it differs from the SHA in the output from <code>git show</code> does that indicate the HEAD is at a new index SHA?</p>
","0","93212","",""
"51343765","343204","2018-07-14 22:09:32","15","22204","<git><git-show>","What does `git show` do all by itself?","<p>If I use <code>git show</code> all by itself in a git repo it shows a bunch of information such as commits, diffs, etc.</p>

<p>This page (<a href=""https://git-scm.com/docs/git-show"" rel=""noreferrer"">https://git-scm.com/docs/git-show</a>) just says:</p>

<p><code>Shows one or more objects (blobs, trees, tags and commits).</code></p>

<p>I assume it's the latest commit. And some diffs (which aren't mentioned in the docs page).</p>

<p>But what exactly is it showing?</p>

<p>Here's the full, rather incomprehensible, output...</p>

<pre><code>$ git show
commit &lt;sha1 A&gt; (HEAD -&gt; A)
Merge: &lt;sha1 B&gt; &lt;sha1 C&gt;
Author: Snowcrash &lt;my@email&gt;
Date:   Sat Jul 14 14:56:02 2018 -0700

    with both files

diff --cc 1
index &lt;sha1 D&gt;,&lt;sha1 E&gt;..&lt;sha1 F&gt;
--- a/1
+++ b/1
@@@ -1,5 -1,6 +1,12 @@@
  1

++&lt;&lt;&lt;&lt;&lt;&lt;&lt; HEAD
 +A
 +B
 +C
++=======
+ C
+ D
+ E
+
++&gt;&gt;&gt;&gt;&gt;&gt;&gt; master
diff --cc 2
index 0000000,0000000..&lt;sha1 G&gt;
new file mode 100644
--- /dev/null
+++ b/2
@@@ -1,0 -1,0 +1,1 @@@
++2
</code></pre>
","1","343204","0","0"
"56841571","865910","2019-07-01 19:43:21","3","293","<bash><git><git-show>","git show truncates output only when piped","<p>If I execute <code>git show f12345a --stat</code> I get the following output:</p>

<pre><code>commit f12345a
Author: This Guy &lt;this.guy@email.com&gt;
Date:   Mon Jul 1 14:00:59 2019 -0500

    A commit

 hola/mundo/hola/mundo/hola/mundo/hola/mundo/hola/mundo/hola/mundo/imaginary-very-long-file-name.txt | 2 +-
 1 file changed, 1 insertion(+), 1 deletion(-)
</code></pre>

<p>But if instead I execute <code>git show f12345a --stat | grep -E ""*""</code> (basically echoing everything) I get:</p>

<pre><code>commit f12345a
Author: This Guy &lt;this.guy@email.com&gt;
Date:   Mon Jul 1 14:00:59 2019 -0500

    A commit

 .../hola/mundo/hola/mundo/hola/mundo/imaginary-very-long-file-name.txt  | 2 +-
 1 file changed, 1 insertion(+), 1 deletion(-)
</code></pre>

<p>so the question itself is why is my file name getting truncated? (how can I avoid it)?</p>

<p>This truncate is also applied when performing <code>git show f12345a --stat &gt; exit.txt</code>, when I see the file contents the file name is trucated</p>
","4","865910","0","0"
"57210267","8469598","2019-07-25 21:19:56","5","215","<git><git-show>","Why does git show filename display a diff?","<p><code>git show filename</code> diplays a diff, while
<code>git show branch:path/to/filename</code> displays the content of the file.</p>

<p>I look in the help (<code>git show --help</code>) and what I understood is that it should
default to HEAD, i.e. <code>git show HEAD:filename</code>.</p>

<p>But that produces the content of the file as I expected. Does anyone have any insight?</p>
","2","8469598","0","0"
