Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,AnswerCount,FavoriteCount
"76444534","1350400","2023-06-10 02:53:20","0","42","<git><github><git-lfs><gitattributes><git-lfs-migrate>","How to `git lfs migrate` all branches using .gitattributes","<p>We have a repository with multiple branches and merge commits. There was some disagreement at the start on whether we wanted to use LFS or not, and the result was that no files have yet been tracked with Git LFS. Now, however, we've run into issues and we would like to migrate the entire repository history, including all branches and merges, to use LFS for files specified in a new .gitattributes file. Note that this .gitattributes file is not part of the repository history.</p>
<p>So far, we've tried a  few variations on <code>git lfs migrate import --everything</code> without success. When using the <code>--fixup</code> option, the history is rewritten but nothing gets tracked by LFS. Without that option, the migration modifies our .gitattributes file and adds EVERY file type in the repo, plain text files included. We haven't yet been able to get it to respect our .gitattributes the way it was written, without modification. We tried committing our .gitattributes before the migration as well as not committing it, and also explicitly running <code>git lfs track</code> before the migration as well as not doing that.</p>
<p>We've looked at existing SO questions, but none of the answers seem to match our situation. Here are some of the others that we looked at:</p>
<ul>
<li><a href=""https://stackoverflow.com/questions/62014426/git-lfs-git-lfs-migrate-import-include-all-file-types-specified-in-gitattribute"">Git LFS git lfs migrate import include all file types specified in .gitattribute?</a></li>
<li><a href=""https://stackoverflow.com/questions/58163427/git-lfs-migrate-using-the-new-gitattributes-file"">Git-LFS migrate using the new .gitattributes file</a></li>
<li><a href=""https://stackoverflow.com/questions/76106119/how-to-use-git-lfs-and-re-write-history"">How to use Git LFS and re-write history</a></li>
</ul>
<p>Any help is greatly appreciated. Thank you!</p>
<p>Postscript: We understand that we could probably use the <code>--import</code> option repeatedly to make migrate re-create the desired .gitattributes, but I'd love to know if this is doable without that.</p>
","0","1350400",""
"74622328","214526","2022-11-30 02:43:58","0","389","<git><gitlab><git-lfs><git-lfs-migrate>","git lfs migrate for existing files in remote","<p>Recently, I enabled git lfs for my gitlab project while checking in a 200 MB file. And this I could successfully and verify that in remote this new 200 MB file shows <code>LFS</code>.</p>
<p>In the past I had checked-in few 10 MB files without lfs. Those exist in remote too. What is the best way to migrate those to lfs?</p>
<p>I tried following:</p>
<pre><code>git lfs migrate import --everything --include=&quot;*.pkl&quot; --verbose

</code></pre>
<p>And then when I try <code>git push</code>, I get an error -</p>
<pre><code> ! [rejected]        master -&gt; master (non-fast-forward)
error: failed to push some refs to 'yourgit.internal.yourdomain.com:&lt;user&gt;/project.git'
hint: Updates were rejected because the tip of your current branch is behind
hint: its remote counterpart. Integrate the remote changes (e.g.
hint: 'git pull ...') before pushing again.
hint: See the 'Note about fast-forwards' in 'git push --help' for details.
</code></pre>
<p><code>git pull</code> does not work either. What is the way to migrate existing files to lfs? Will adding <code>--include-ref=refs/heads/master</code> to the migrate command help?</p>
<p>And do I need to do anything extra for the other branches?</p>
","0","214526",""
"75227161","2084478","2023-01-24 20:51:11","1","291","<git><git-lfs><git-lfs-migrate>","Is there a good way to determine if a file is stored using git-lfs?","<p>We have a git repo that is exclusively setup to store large binary files; the intention is that every file will be stored using git-lfs (which is new to most of the team).  There are 106564 files.</p>
<p>We are running in to issues where certain team members (graphic artists - who are not git experts) are committing changes without git-lfs installed and we're consequently running in to issues where we see this warning:</p>
<p>Encountered 1 file(s) that should have been pointers, but weren't:</p>
<p>I've written some python code to compare the output of these two commands:</p>
<pre><code>git ls-files (list all files)
git lfs ls-files -n (list all files tracked by lfs)
</code></pre>
<p>The difference between the two lists (once I've dealt with some other issues) in theory provides me with a list of files not tracked by lfs.  Before I start going further down the rabbit hole, I'd like to manually confirm on a file basis if my code is working.  According to my code I have 1008 not tracked by LFS, if I run the following command on one of the 1008 files I get this output:</p>
<pre><code>git check-attr -a dirA/dirB/dirC/aFile.ext 
</code></pre>
<p>gives:</p>
<pre><code>dirA/dirB/dirC/aFile.ext: diff: lfs 
dirA/dirB/dirC/aFile.ext: merge: lfs
dirA/dirB/dirC/aFile.ext: filter: lfs
dirA/dirB/dirC/aFile.ext: crlf: unset
</code></pre>
<p>In this case the particular file shows up in the “git ls-files” list but not in the “git lfs ls-files” list, implying to me that the file is not tracked by lfs; yet the output of the “git check-attr -a” command leads me to believe otherwise…  What am I missing and is there something better than the “git check-attr -a” command to check a file?</p>
<p>I’m using git lfs version as follows on Ubuntu 20.04:</p>
<pre><code>git-lfs/3.3.0 (GitHub; linux amd64; go 1.19.3)
</code></pre>
<p>I was expecting the following command to tell me this file is not tracked by lfs:</p>
<pre><code>git check-attr -a dirA/dirB/dirC/aFile.ext
</code></pre>
<p>It doesn't!  Ultimately I'm looking to migrate these files to lfs.</p>
","1","2084478",""
"75757287","19189796","2023-03-16 13:56:35","0","100","<git><git-lfs><tfvc><git-tfs><git-lfs-migrate>","git lfs push is throwing ""RPC failed"" error","<p>I am trying to migrate the repository from <strong>TFVC to Git with History of 4 months</strong> which is a huge data. I am using <code>git tfs</code> to clone it from a branch of a repo from TFVC to my local and trying to push it to a empty Git repository by enabling <code>git lfs</code> to track the large files and upload.</p>
<p>Steps:
I cloned a TFVC repo branch files with history of 4 months using git tfs clone to my local. then,
git remote add origin '<em>URL of the empty git repo</em>' -- empty repo refers to my new git repo created.</p>
<p>Enabled LFS</p>
<p>Tracked the Large files</p>
<p>Made a commit</p>
<p>Migrated the LFS files using <code>git lfs migrate import --include=&quot;*.*&quot; --include-ref=refs/heads/master</code></p>
<p>The above successfully converts pre-existing git objects to lfs objects. However, the regular objects still persist in the .git directory. These will be cleaned up eventually by git, but to clean them up right away, run:</p>
<pre><code> git reflog expire --expire-unreachable=now --all
         git gc --prune=now
</code></pre>
<p>&amp; Trying to push it using <code>git push origin -u -all</code></p>
<p>But facing below error:</p>
<pre><code>error: RPC failed; HTTP 503 curl 22 The requested URL returned error: 503
send-pack: unexpected disconnect while reading sideband packet
fatal: the remote end hung up unexpectedly
Everything up-to-date
##[error]PowerShell exited with code '1'.
Finishing: Migrate whole source code to git (git push)```
</code></pre>
","8","19189796",""
"63341408","397830","2020-08-10 13:41:37","1","3238","<git><azure-devops><git-lfs><git-lfs-migrate>","How to transfer a git repository with LFS file to another repository?","<p>We have a local git server, with LFS files. We are planning to move everything on MS Azure DevOps.
After some research, I read that it was advise to do a &quot;mirror&quot; clone, to have everything(tags at least):</p>
<blockquote>
<p>git clone --mirror</p>
</blockquote>
<p>Then, since I've some LFS files, I wanted to get them too:</p>
<blockquote>
<p>git lfs fetch --all</p>
</blockquote>
<p>But I get this error:</p>
<pre><code>Error: Failed to call git rev-parse --git-dir --show-toplevel: &quot;fatal: this operation must be run in a work tree\n&quot;
Not in a git repository.
</code></pre>
<p>For what I'm reading, git lfs fetch doesn't work on a <code>bare</code> repository(not that I know what this is, but I think it's related to the <code>--mirror</code> option.</p>
<p>So my question is: What should I do to transfer everything to this new repository? (the local server will be shutdown after this).</p>
<p>Thank you</p>
","0","397830","0"
"63780802","10159768","2020-09-07 15:53:22","0","1258","<git><git-lfs><git-lfs-migrate>","git lfs migrate import --no-rewrite unknown flag --no-rewrite","<p>I'm trying to fix missing pointers issue using <code>git lfs migrate import --no-rewrite</code> first i list all the files that had missing pointers using <code>git reset --hard</code>:</p>
<pre><code>new Promise((resolve, reject) =&gt; {
    exec(&quot;git reset --hard&quot;, (error, stdout, stderr) =&gt; {
        if (error) {
            console.error(`exec error: ${error}`);

            reject(error);
            return;
        }

        const filesWithMissingPointers = Array.from(
            stderr.matchAll(/\t(.*)/g)
        ).map((m) =&gt; m[1]);

        resolve(filesWithMissingPointers);
    });
});
</code></pre>
<p>Then i log the output:</p>
<pre><code>console.log(
    `Problem files before lfs migrating: \t\n${problemFilesBefore.join(&quot;\t\n&quot;)}`
);
</code></pre>
<p>Output:</p>
<pre><code>Problem files before lfs migrating:     
IdleGame/Assets/Plugins/Fonts/Localization/Korean/NotoSansCJKkr-Medium.otf  
IdleGame/Assets/Plugins/Fonts/Localization/Latin_Cyrillic_Greek/OctoberPro-Black.otf    
IdleGame/Assets/Plugins/Fonts/Localization/Latin_Cyrillic_Greek/OctoberPro-HeavyItalic.otf  
IdleGame/Assets/Plugins/Fonts/Localization/Persian/NotoNaskhArabicUI-Bold.ttf   
IdleGame/Assets/Plugins/Fonts/Localization/Thai/NotoSansThaiUI-CondensedMedium.ttf  
IdleGame/Assets/Plugins/Fonts/Oswald-Bold.ttf   
IdleGame/Assets/Plugins/Fonts/PoetsenOneRegular/TrueType font file/PoetsenOne-Regular 1.ttf 
IdleGame/Assets/Plugins/Fonts/Roboto Medium/TrueType font file/roboto-medium.ttf    
IdleGame/Assets/Plugins/Fonts/nevis.ttf 
IdleGame/Assets/Plugins/LibrariesDesign/BeautifulDissolves/_Examples/_Assets/Textures/ZomBearSpecular.tif   
IdleGame/Assets/Plugins/LibrariesDesign/BeautifulDissolves/_Examples/_Assets/Textures/ZomBunnySpecular.tif
</code></pre>
<p>I'm then trying to run:</p>
<pre><code>execSync(
  `git lfs migrate import --no-rewrite \ -m &quot;AutoCommit Bot: fix missing LFS points ${process.env.CI_PIPELINE_URL}&quot; ${problemFilesBefore.join(&quot; &quot;)} --yes`
);
</code></pre>
<p>And i encounter:</p>
<pre><code>Error: unknown flag: --no-rewrite
</code></pre>
<p>I'm encountering the same issue locally when running the command in powershell but i do not encounter it when running it in bash. My scripts runs in docker container (linux) with installed git lfs. Since it's Unix it should use bash as default command line so i don't think that the problem lies in the shell.</p>
<p>Note: I run this script as a job on gitlab</p>
","2","10159768",""
"66307854","11637415","2021-02-21 22:33:13","17","12619","<git><github><git-lfs><git-lfs-migrate>","How to setup a git lfs server at home?","<p>I am making use of <code>git lfs</code> for storage of large files in a github repository. The only problem is that there is a quota for <code>git lfs</code>; specifically you can only store 1 GB and only stream (download) 1 GB per month. After you run out of that, you must pay $5 for 5 more GB. This could become expensive.</p>
<p>I have an old PC I could boot Linux and port forward on.</p>
<p>Does anyone know how to setup a <code>git lfs</code> server at home rather than using Github's lfs built in CPU's?</p>
","2","11637415","0"
"69410915","2779461","2021-10-01 19:07:08","1","644","<git-lfs><git-lfs-migrate>","git lfs fails to track a file after I rename it","<p>I keep running into this issue where I rename a file that is being tracked under git lfs, and when I push up the change to my repo, the file is no longer being tracked by git lfs.</p>
<p>Does anyone know how to resolve this?</p>
","0","2779461",""
"62014426","12004523","2020-05-26 03:56:48","1","2426","<git><git-lfs><git-lfs-migrate>","Git LFS git lfs migrate import include all file types specified in .gitattribute?","<p>I installed git lfs and created a gitattribute file with a lot of file types to track. I'd like to now run the git lfs migrate command for all file types specfied in the .gitattribute. How can I do this?</p>

<p>All the sources I've found seem to only do either a single file type at a time, or a list of file type seperated by a comma:</p>

<pre><code>$ git lfs migrate import --include='*.psd'

</code></pre>

<pre><code>$ git lfs migrate import --include='*.psd,*.jpg'

</code></pre>
","0","12004523",""
"60995429","1222355","2020-04-02 15:40:02","1","223","<git-lfs><git-lfs-migrate>","Gradually converting a repo to use git-lfs for certain files. One file at a time","<p>We have a repo that is high value and expensive to disrupt.</p>

<p>It also has large XML files that cause significant problems when using a webapp for merges and git log history. In addition it is likely making our CI/CD inefficient. In other words ... the regular things that spur people to move to git-lfs.</p>

<p>We want to carefully do this. One file at a time.</p>

<p>I have seen approaches similar to what's listed below:</p>

<pre class=""lang-sh prettyprint-override""><code>cp *.xml ~/tmp
git rm *.xml
git commit
git lfs track *.xml
git add .gitattributes
git commit; git push
</code></pre>

<p>In a fresh directory:</p>

<pre class=""lang-sh prettyprint-override""><code>git clone --mirror $remote; cd repo
bfg --delete-files '*.xml'
git reflog expire --expire=now --all &amp;&amp; git gc --prune=now --aggressive
git push
</code></pre>

<p>Back in src:</p>

<pre class=""lang-sh prettyprint-override""><code>mv repo repo.bloated
git clone $remote; cd repo
cp ~/tmp/*.xml .
git add *.xml # (it now puts them in lfs)
git commit; git push
</code></pre>

<p>How can I do something similar but just start with one large xml file to mitigate risk during this transition. We prefer to be in easy contact with the dev maintaining that file, isolate changes and crawl here. Changing 100s of files could hold up developers and be expensive.</p>

<p>Do we just change <code>*</code> to the specific file name in the above example?</p>
","0","1222355",""
