Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,AnswerCount,FavoriteCount
"19669078","1302408","2013-10-29 21:04:03","0","41","<git><git-svn>","Git-SVN: How to configure git to ignore SVN URL in SHA1 computation","<p>Following is my SVN server setup where development team is on serverA which is being mirrored on ServerB, now thegitweb is pulling latest information from SVN ServerB which means SHA1 are different from what we see in the history.</p>

<pre><code>SVN ServerA --- Mirror ---&gt; SVN ServerB
     |                           |                          
     |                           |
  Development                  GitWeb 
(Using git-svn)             
</code></pre>

<p>Is there anyway I can keep SHA1 in development and GitWeb in sync? I have tried svn-remote config rewriteRoot= SVN ServerA but it didn't help here.</p>
","0","1302408",""
"19489935","2886923","2013-10-21 08:50:25","1","1333","<git><git-svn>","""git svn fetch"" creates index.lock file then complains about it","<p>I'm migrating a large subversion repository, with history, to git. I started by cloning the svn repo using 'git svn clone' command. This crashed while cloning, however, I resumed the migration by executing 'git svn fetch'. The migration had been running successfully for a couple of days - occasionally it crashed and I had to delete the index.lock file as detailed here - <a href=""https://stackoverflow.com/questions/16602544/fatal-unable-to-create-git-index-lock-file-exists"">fatal: Unable to create &#39;/.git/index.lock&#39;: File exists</a>. After deleting this file a couple of times it successfully continued until I ran into the same error:</p>

<pre><code>    fatal: Unable to create '/path/index.lock': File exists.

If no other git process is currently running, this probably means a
git process crashed in this repository earlier. Make sure no other git
process is running and remove the file manually to continue.
read-tree f49b2a08d26076d9cb2828b9aba5fde30d46f73b: command returned error: 128
</code></pre>

<p>However, this time deleting the index.lock file did not work and 'git svn fetch' continues to complain. Here is what is happening:</p>

<p>I get the above error<br>
I delete the index.lock file<br>
I restart 'git svn fetch'<br>
'git svn fetch' process recreates the index.lock file<br>
'git svn fetch' errors again with the above error<br></p>

<p>So 'git svn fetch' appears to be in some bad loop where it's re-creating the index.lock file then then complains about it existing. So:</p>

<p>I've deleted the index.lock file.<br>
I've ensured that the machine has enough disk space.<br>
I've tried rebooting the machine in case there was an old git processing hanging around that was holding on to the lock file.<br>
I've done a git gc and a git prune as advised here <a href=""https://stackoverflow.com/questions/1356233/fatal-git-write-tree-error-building-trees/1436386#1436386"">fatal: git-write-tree: error building trees</a><br></p>

<p>None of the above has worked and I'm new to git. I don't want to re-start the migration as it takes days to run. Can anyone suggest something else I could try?</p>
","0","2886923",""
"19712735","470769","2013-10-31 17:11:14","28","11558","<git><git-svn>","git-svn: Cannot setup tracking information; starting point is not a branch","<p>In git 1.7.9.5 I could run the following lines without error:</p>

<pre><code>export SVNPASS=readonly
git clone git@github.com:dtenenbaum/RGalaxy.test.git
cd RGalaxy.test/
git config --add svn-remote.hedgehog.url https://hedgehog.fhcrc.org/bioconductor/trunk/madman/Rpacks/RGalaxy
git config --add svn-remote.hedgehog.fetch :refs/remotes/hedgehog
# the following is a shortcut to avoid fetching every commit since antiquity, since I happen to know the commit number
# where this folder was added to svn:
echo $SVNPASS | git svn fetch --username readonly hedgehog -r 65762:HEAD
git checkout -b local-hedgehog -t hedgehog
</code></pre>

<p>In git 1.8.3.4 and 1.8.4.1 that last line results in:</p>

<pre><code>fatal: Cannot setup tracking information; starting point 'hedgehog' is not a branch.
</code></pre>

<p>The comments to <a href=""https://stackoverflow.com/questions/17852249/svn2git-cannot-setup-tracking-information"">this question</a> suggest downgrading, but I'd like to know why this is happening: is it a bug? And if so, has it been reported? Or is there a better way to do this and if so, what is it?</p>

<p>Incidentally, ""git branch -a"" returns:</p>

<pre><code>* master
  remotes/hedgehog
  remotes/origin/HEAD -&gt; origin/master
  remotes/origin/master
</code></pre>
","0","470769","0"
"19584385","2918979","2013-10-25 08:05:14","1","194","<git><git-svn><rebase>","where is git-svn's git-svn TAG?","<p>I am using git-svn in order to practice with git. I mean I am by no means a git expert. In the beginning I found git daunting but I am getting fascinated by git's design and power. I have a question I could not answer searching on internet, perhaps because it is difficult to search for.</p>

<p>After some days of development on a feature branch using git (after cloning with git-svn), I want to rebase the commits before I <em>git svn dcommit</em>. I do not want to flood the svn integration branch with dozens of small, meaningless commits. For that I know I can use <em>git rebase -i</em>.</p>

<p>This command needs to have a commit specified. I have read I can use a (tag?) called <em>git-svn</em>. Indeed, such a commit/tag exists, I can <em>git log git-svn..</em>, or <em>git rebase -i git-svn</em>.</p>

<p>So far so good, this works. Now, after this introduction, my question:</p>

<p>What is this <em>git-svn</em> reference? A tag? A commit? Command <em>git tag --list</em> shows nothing, and <em>git-svn</em> as a tag does not exist on the other git clones I have used to work.</p>

<p>Another question: After I <em>git svn dcommit</em>, will that reference be changed? Can it be changed manually?</p>

<p>Thanks.</p>
","0","2918979",""
"267101","13989","2008-11-05 23:11:16","6","355","<git><version-control><git-svn>","git-svn: is there a way to get it to play nice with submodules, or ignore them?","<p>once you have a commit that contains a submodule object, you pretty much cannot get git-svn to commit past it.</p>

<p>Any ideas, workarounds, anything that is not ""don't use submodules with git-svn""?</p>

<p>So far the answer seems to be a big NO.</p>

<p>Is there any way to at least allow existing git commits containing submodule data to be committed to svn without the submodule data? Even if it means rewriting the tree.</p>
","1","13989","0"
"268736","13989","2008-11-06 13:44:19","90","20738","<git><version-control><git-svn>","git-svn: what's the equivalent to `svn switch --relocate`?","<p>An svn repository I'm mirroring through git-svn has changed URL.</p>

<p>In vanilla svn you'd just do <code>svn switch --relocate old_url_base new_url_base</code>.</p>

<p>How can I do this using git-svn? </p>

<p>Simply changing the svn url in the config file fails.</p>
","2","13989","0"
"7505660","469956","2011-09-21 19:39:39","4","496","<git><git-svn>","How to create git remote branch for svn repository","<p>I am using GIT on top of one centralized SVN repository. The SVN repository only contains trunk, no tags and branches. What I did before is using git svn to clone the remote repository to my local git workspace, I am the only developer works on it so everything works well.</p>

<p>Now, few more developers come in and we should work on this svn repository, what I want to create remote git branches for the subversion trunk, so that all developers can work together on these git branches. I do not want to create subversion branches because they are too heavy. But after doing some search, it seems like git svn does not support this feature, or am I missed something?</p>

<p>I've been also thinking that make my git local branch remote to share with other developers, but not sure if this works either.</p>
","4","469956","0"
"14641483","1581090","2013-02-01 07:18:07","1","143","<git><git-svn><svn-externals>","How did git(-svn) set correct links to svn:externals?","<p>This is not a question about something not working, it is a question to understand why something is working. Here is my setup:</p>

<pre><code>projects
   |
   |--- mylibs
   | 
   |--- main
</code></pre>

<p>I have two different, unrelated <code>git-svn</code> checkouts <code>mylibs</code> and <code>main</code>. They were clones from very different places in the repositories. Now, a <code>svn commit</code> was made by someone else in which an external has been added in <code>main</code> to point to <code>mylibs</code> (i.e. a <code>svn</code> checkout of <code>main</code> would contain a directory <code>mylibs</code>, which is an external to <code>mylibs</code>). </p>

<p>Just out of curiosity I changed into <code>main</code> and did a <code>git svn rebase</code> just to see what git would do with the externals. <code>git</code> created a link as follows:</p>

<pre><code>mylibs -&gt; ../mylibs
</code></pre>

<p>which is what I want , but I do not know how this is possible. Because the local git checkout of <code>main</code> does not know that in the upper directory is a checkout of <code>mylibs</code>. </p>

<p>Is this a new feature? Does git know of all local clones/checkouts on my local disk/home directory? </p>
","4","1581090",""
"76174843","79125","2023-05-04 15:24:57","0","18","<git><svn><version-control><git-svn>","How should I set git's autocrlf on a git-svn repository?","<p>How can I safely configure git-svn so I don't unintentionally change line endings when dcommitting to svn?</p>
<p>I'm currently using git's <code>autocrlf=false</code> and Unix <code>file</code> shows a mix of line endings:</p>
<pre><code>&gt; file *
actionbutton.lua:         ASCII text, with CRLF line terminators
animbutton.lua:           ASCII text
</code></pre>
<p>And not all files have <code>svn:eol-style</code> set:</p>
<pre><code>&gt; git svn propget svn:eol-style actionbutton.lua
`actionbutton.lua' does not have a `svn:eol-style' SVN property.

&gt; git svn propget svn:eol-style animbutton.lua
native
</code></pre>
<p>This project uses the <a href=""https://editorconfig.org/"" rel=""nofollow noreferrer"">editorconfig</a> setting <code>end_of_line = crlf</code> which causes my editor to change line endings in files I edit. I didn't experience this problem when using svn directly (without git-svn).</p>
<p>The <a href=""https://svnbook.red-bean.com/en/1.7/svn.advanced.props.file-portability.html"" rel=""nofollow noreferrer"">svn docs</a> say that <code>svn:eol-style=native</code> stores line endings as LF:</p>
<blockquote>
<p>by default, Subversion doesn't pay any attention to the type of end-of-line (EOL) markers used in your files...</p>
</blockquote>
<blockquote>
<p>native:</p>
<p>Note that Subversion will actually store the file in the repository using normalized LF EOL markers regardless of the operating system. This is basically transparent to the user, though.</p>
</blockquote>
<p>So I guess git-svn is skipping the LF-&gt;CRLF process that svn does because I've disabled autocrlf?</p>
<p><a href=""https://git-scm.com/book/en/v2/Customizing-Git-Git-Configuration"" rel=""nofollow noreferrer"">git docs for autocrlf</a> say:</p>
<blockquote>
<p>If you’re a Windows programmer doing a Windows-only project, then you can turn off this functionality, recording the carriage returns in the repository by setting the config value to false</p>
</blockquote>
<p>Everyone's on Windows, so we all expect CRLF. That describes my project, but I can't tell how it's going to interact with svn.</p>
","3","79125",""
"76174880","79125","2023-05-04 15:28:46","0","17","<git><svn><version-control><git-svn>","How do I fetch additional history in a git-svn clone?","<p>I've already done <code>git svn clone</code> to create a repo. It has one year of history. I want to extend how far back my history goes. How can I do that?</p>
<p>I tried using fetch with my start revision, but it did nothing and had no output:</p>
<pre><code>git svn fetch -r 100000
</code></pre>
<p>I have existing branches with work that's not yet dcommitted to svn, so I don't want to create a new clone.</p>
","0","79125",""
