Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,OwnerUserId,AnswerCount,FavoriteCount
"58997449","3164100","2019-11-22 15:39:34","3","469","<git><git-rebase><cherry-pick><git-cherry-pick>","Can you cherry-pick a hunk or hunks from within a git commit?","<p>When I do stage commits in my workspace I usually use the <code>-p</code> option to go through each hunk of the changes. I find this useful to confirm my changes and as a check on typos and other silly errors. </p>

<p>I usually <code>rebase</code> in my open source development work when a dev branch gets stale. However, sometimes I want to test out something on a throw away branch in my workspace and I don't want the entire branch because it is long and contains many commits that are not yet merged. I could <code>git cherry-pick</code> but that appears to grab the <strong><em>entire</em></strong> commit. Sometimes these commits are large and I don't want the entire thing. </p>

<p>Is there any way to grab the commit via <code>cherry-pick</code> but inspect the commit hunk by hunk as it is applied to a staging area before committing? </p>

<p>Presumably the user then stages only the components of the commit that they want. </p>
","0","3164100","",""
"57524184","15441","2019-08-16 11:52:49","1","742","<git><branch><cherry-pick><git-cherry-pick><branching-strategy>","Will git log --cherry-pick --right-only --no-merges ignore all commits correctly cherry-picked between branches?","<p>I work in a large software team doing large monthly releases. We work on a branch to release model (see diagram). 
<a href=""https://i.stack.imgur.com/7cImT.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/7cImT.jpg"" alt=""enter image description here""></a></p>

<p>This model solves a lot of problems, but has some risks to manage. When I go to release branch 1.1 to production, I need to check that all the commits in 1.0 are in 1.1. </p>

<p>I can do this with the following command:</p>

<pre><code>git log --cherry-pick --right-only --pretty=""%h %ce %B"" --no-merges release/1.1/master...release/1.0/master &gt; missingcommits.log
</code></pre>

<p>Then I go an email this list to each of the developers concerned, and ask them to just do a careful second check. </p>

<p>This works fairly well, but I'm concerned about it picking up some false positives. </p>

<p>Now of course if you have checked in the same code in two different branches with two different commits, then this will fall afoul of this scan. </p>

<p>In theory, if you have cherry-picked your commit from 1.0 to 1.1 - then it should not show up in this scan (ie the same commit is in both branches). </p>

<p>Now my code works fine. Ie code in one branch, I cherry pick across, and then it doesn't show up in this scan. So I think it should work. </p>

<p>When I send the email out to the developer with just their 'missing commits in the new release branch', what I get is some of the developers coming back to me and saying:</p>

<blockquote>
  <p>No I definitely did a cherry pick to move my code over. </p>
</blockquote>

<p>Now this could be </p>

<p>(a) defensive behaviour, or </p>

<p>(b) a cherry-pick gone wrong, </p>

<p>(c) my misunderstanding of git, or </p>

<p>(d) a genuine problem with this process. </p>

<p>My question is: <strong>Will git log --cherry-pick --right-only --no-merges ignore all commits correctly cherry-picked between branches?</strong></p>
","0","15441","",""
"57525136","11733507","2019-08-16 13:00:29","-1","59","<git><cherry-pick>","How to create a pull request for a particular commit","<p>I am trying to create a pull request for a particular commit. I have already executed the following commands</p>

<pre><code>git push upstream issue-430 
</code></pre>

<p>There is a particular commit that I want to create a pull request. 
I tried to create another branch from issue-430 and cherry pick the particular commit but it is giving the error </p>

<pre><code>error: your local changes would be overwritten by cherry-pick.
hint: commit your changes or stash them to proceed.
fatal: cherry-pick failed
</code></pre>

<p>But I already committed all my local changes.</p>
","4","11733507","",""
"57550773","6767717","2019-08-19 05:09:19","7","1527","<git><github><cherry-pick>","Why does cherry-picking make the repo unstable?","<p>I'm not a developer.
On one of our projects, since a lot of tickets take time to complete, we have been cherry-picking our commits, and now we have to do it very often.
I was told by a developer that cherry-picking should be avoided as it makes the repo unstable. 
What does that mean, how does it make the repo unstable?
<strong>In other words,</strong> what are the negative consequences of cherry-picking?</p>
","2","6767717","0","0"
"449541","1146","2009-01-16 04:55:08","1767","1059184","<git><git-merge><git-cherry-pick><git-patch>","How can I selectively merge or pick changes from another branch in Git?","<p>I'm using Git on a new project that has two parallel -- but currently experimental -- development branches:</p>
<ul>
<li><code>master</code>: import of existing codebase plus a few modifications that I'm generally sure of</li>
<li><code>exp1</code>: experimental branch #1</li>
<li><code>exp2</code>: experimental branch #2</li>
</ul>
<p><code>exp1</code> and <code>exp2</code> represent two very different architectural approaches. Until I get further along I have no way of knowing which one (if either) will work. As I make progress in one branch I sometimes have edits that would be useful in the other branch and would like to merge just those.</p>
<p><strong>What is the best way to merge selective changes from one development branch to another while leaving behind everything else?</strong></p>
<p>Approaches I've considered:</p>
<ol>
<li><p><code>git merge --no-commit</code> followed by manual unstaging of a large number of edits that I don't want to make common between the branches.</p>
</li>
<li><p>Manual copying of common files into a temporary directory followed by <code>git checkout</code> to move to the other branch and then more manual copying out of the temporary directory into the working tree.</p>
</li>
<li><p>A variation on the above. Abandon the <code>exp</code> branches for now and use two additional local repositories for experimentation.  This makes the manual copying of files much more straightforward.</p>
</li>
</ol>
<p>All three of these approaches seem tedious and error-prone.  I'm hoping there is a better approach; something akin to a filter path parameter that would make <code>git-merge</code> more selective.</p>
","4","1146","0","0"
"38864884","4340261","2016-08-10 05:25:19","22","11109","<git><cherry-pick><git-cherry-pick>","Why does this cherry-pick have a conflict?","<p>I know <code>git cherry-pick</code> is a command that use to apply the changes of specified commit, but I think I just don't really understand the way it works.</p>

<p>Let's say a repo act like that:</p>

<pre><code>git init

echo a&gt;a
git add .; git commit -am 'master add line a'

git checkout -b dev
echo b&gt;&gt;a
git commit -am 'dev add line b'
echo c&gt;&gt;a
git commit -am 'dev add line c'

git checkout master

git cherry-pick dev
</code></pre>

<p>I thought <code>cherry-pick</code> command would work well and change file <code>a</code> into:</p>

<pre><code>a

c
</code></pre>

<p>but in fact I got the following message:</p>

<pre><code>error: could not apply 08e8d3e... dev add line c
hint: after resolving the conflicts, mark the corrected paths
hint: with 'git add &lt;paths&gt;' or 'git rm &lt;paths&gt;'
hint: and commit the result with 'git commit'
</code></pre>

<p>And then I run:</p>

<pre><code>git diff
</code></pre>

<p>output:</p>

<pre><code>diff --cc a
index 7898192,de98044..0000000
--- a/a
+++ b/a
@@@ -1,1 -1,3 +1,6 @@@
  a
++&lt;&lt;&lt;&lt;&lt;&lt;&lt; HEAD
++=======
+ b
+ c
++&gt;&gt;&gt;&gt;&gt;&gt;&gt; 11fff29... abc
</code></pre>

<p>So my question is: <strong>Why is there a conflict like git-diff shows? What are the details of cherry-pick working in this case？</strong></p>
","10","4340261","0","0"
"57802639","6607497","2019-09-05 09:41:12","3","94","<git><cherry-pick>","Trying to cherry-pick from a feature branch: No ""cherries""?","<p>(It's the first time I'm trying to use git's cherry picking, so maybe I misunderstood what it is or what it can do)</p>

<p>While working on some new feature in a feature branch (for simplicity let's call it just <code>next</code>), I discovered some bugs in the current <code>master</code> that I fixed ""on the fly"" (which may not have been the best idea). Now that I think the feature branch is complete, I'd like to cherry pick some or all of the bugs fixed in <code>next</code> to <code>master</code> to make a bug-fix release before a feature release.</p>

<p>So I checked out <code>master</code> and tried (after reading the git-cherry manual page):</p>

<pre><code>git cherry
git cherry next
git cherry -v next
git cherry -v next master
</code></pre>

<p>However none of the commands did output anything, even though there is a huge difference between <code>next</code> and <code>master</code>.</p>

<p>So what is the problem? Did I do something wrong, or did I misunderstand about cherry picking? The manual refers to some ""origin"" branch, while my branch is local.</p>

<p>If the cherry picking is the wrong tool, what would be the correct procedure to achieve what I'm trying to do?</p>
","3","6607497","",""
"19830464","2007533","2013-11-07 07:46:18","70","165095","<git><cherry-pick><git-cherry-pick>","Git Cherry-Pick and Conflicts","<p>There are two different git branches. In one the development is going in (Branch1).</p>

<p>In other branch some PoC work is going on (Branch2). Now, I want to cherry-pick the changes from Branch1 to Branch2, so that Branch2 is up to date.</p>

<p>Now, after cherry-picking 4 or 5 changes, I am getting some merge conflict and I am unable to proceed with further cherry-picks.</p>

<p>Do, I need to resolve all the conflicts before proceeding to next cherry -pick or Can I somehow postpone the conflict resolution till I cherry-pick all the changes (and resolve all conflicts together)?</p>

<p>Further, is it suggested to do cherry-pick or branch merge in this case?</p>
","1","2007533","0","0"
"57974777","12077919","2019-09-17 12:59:30","0","1063","<git><branch><git-merge><git-rebase><git-cherry-pick>","GIT merge just a range of commits","<p>I want to take over changes from a range of commits. </p>

<p>The situation is the following. I have the master and my feature branch. I fixed a bug  (with commits a to e) and bring this fix to the master. But there exists a release branch which should also become this bug fix. This release branch branched from the master several months ago and only gets new content for major bugs. </p>

<p>Usually, I take over the changes by hand into the release branch.<br>
Is there a technique to get merge the changes from the feature branch with the bug fix into the release branch without m1?</p>

<p>From my point of view, a merge will not be possible because of the commits between the commit r1 and m1. But has anybody an idea how to handle this situation?</p>

<p><a href=""https://i.stack.imgur.com/LIBxG.png"" rel=""nofollow noreferrer"">Branch Diagramm</a></p>
","1","12077919","",""
"39272748","1827295","2016-09-01 13:23:44","2","3920","<git><visual-studio><cherry-pick>","CherryPick: Mainline branch is not specified but b0c4de0c8e164d09efe73a24aec3f9096c860e1f is a merge commit","<p>I am in Visual Studio 2015 ""Team Explorer"" on my <code>master</code> branch and I am trying to get some bugfixes I accidentally did on the <code>development</code> branch back into the master branch. Someone told me I should cherry-pick them.</p>

<p>So I made sure there are no uncommitted changes, and both branches are up-to-date with the server (push &amp; pull &amp; fetch). I went into ""Branches"", where <code>master</code> is marked bold (= the current branch) and right clicked on <code>development</code> -> Cherry-Pick. The error I get is</p>

<blockquote>
  <p>An error has occurred. Detailed message: Mainline branch is not specified but b0c4de0c8e164d09efe73a24aec3f9096c860e1f is a merge commit</p>
</blockquote>

<p>I also tried to select Cherry-Pick on the remote branch (remotes/origin -> development), but this yields nearly the same error message:</p>

<blockquote>
  <p>An error has occurred. Detailed message: Mainline branch is not specified but d3e131d52e5af8aa0ff9bbd2e394da5232a66920 is a merge commit</p>
</blockquote>

<p>What am I missing here?</p>
","1","1827295","",""
