Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,OwnerUserId,AnswerCount,FavoriteCount
"292357","6068","2008-11-15 09:51:09","13636","3379961","<git><version-control><git-pull><git-fetch>","What is the difference between 'git pull' and 'git fetch'?","<p>What are the differences between <a href=""https://git-scm.com/docs/git-pull"" rel=""noreferrer""><code>git pull</code></a> and <a href=""https://git-scm.com/docs/git-fetch"" rel=""noreferrer""><code>git fetch</code></a>?</p>
","7","6068","0","0"
"57655911","5078576","2019-08-26 10:13:58","1","127","<git><version-control><git-pull><git-reset>","Undo git pull, how to bring repos to old state (once again)","<p><strong>Please note</strong>, before indicating the question as a duplicate, that I have read the answer <a href=""https://stackoverflow.com/questions/1223354/undo-git-pull-how-to-bring-repos-to-old-state"">here</a> but, with the solution proposed, I will delete all the uncommitted changes. </p>

<p><strong>Problem</strong>:</p>

<p>I have developed new features using a dedicated branch. In the meanwhile, the master branch continued to be developed by others. I decided to do a <code>git pull</code> in order to rebase my code to the new one. However, there were conflicts: somebody has improved the code on the remote repo.</p>

<p><strong>Question</strong>:</p>

<ol>
<li>I have some uncommitted changes on my local repo. How can I bring the repo to the old state with the old uncommitted changes?</li>
<li>Did I already lose forever all the uncommitted changes?</li>
</ol>
","7","5078576","",""
"38574661","6027000","2016-07-25 18:08:19","0","36","<github><git-branch><git-push><git-pull><git-fork>","github forked repository: How to pull the changes from forkedrepo/branch to orignalrepo/<Create-new-branch>","<p>UserA Original Repository Creator:  No branches. Master only. <br>
UserB Forks the repository and makes some changes and creates a new branch and puts the changes into github.com/<strong>userB</strong>/repo-name/newbranch-name</p>

<p>How can userA ,</p>

<ol>
<li>pull the changes from github.com/<strong>userB</strong>/repo-name/newbranch-name
and   </li>
<li>put into a new branch with the same name as of userB ....that
    is, github.com/<strong>userA</strong>/repo-name/newbranch-name</li>
</ol>

<p><strong>Some info on current scenario</strong> <br>
UserB(forked user) is not available to push those changes - the question is not ""how can I get  to do something"" but ""how can I do something myself"" without requesting userB to push the changes to UserA (Original repo creator)
<br> In addition, UserA  doesnt want to merge this to MASTER. 
<br> UserA prefers to put these changes in a new branch. <strong><em>i.e.</em></strong> <strong>github.com/UserA/repo-name/{create-new-branch}</strong></p>
","0","6027000","",""
"66130157","12788169","2021-02-10 02:35:34","0","146","<git><branch><git-pull><pull><merge-conflict-resolution>","How to ""git pull"" leaving unfinished branch","<p>I created &quot;branch A&quot; and was working on it. I sent a pull request to the main branch, however, my pull request was not able to merge into the main as my code has to be modified a bit more. It's left as a draft, waiting for fixes/ commit.</p>
<p>Now, I wanted to switch to the main branch and work on different issues and come back to &quot;branch A&quot; later. I switched to the main then</p>
<pre><code>git pull
</code></pre>
<p>However, I received</p>
<pre><code>error: Pulling is not possible because you have unmerged files.
hint: Fix them up in the work tree, and then use 'git add/rm &lt;file&gt;'
hint: as appropriate to mark resolution and make a commit.
</code></pre>
<p>Is there any way that I can just leave my current work on &quot;branch A&quot;, and work on the main and go back to &quot;branch A&quot; later? Do I set &quot;branch A&quot; as remote?</p>
","0","12788169","",""
"15333742","1541018","2013-03-11 08:04:39","0","2059","<git><github><git-pull>","git pull already up to date but head is not detached","<p>Reading the title I know you would be pretty shocked as in why I am sure about head not being detached. I am not very used to GIT. There has been a change in the original repo I have made my clone from named upstream. I am trying to pull those changes by git pull, which says, Already up to date.
I did,</p>

<pre><code>git branch -r

origin/HEAD -&gt; origin/master
origin/master
upstream/branchName
upstream/master
</code></pre>

<p>So my head is at origin master, which I think is fine.
And doing,</p>

<pre><code>cat .git/HEAD
</code></pre>

<p>gives</p>

<pre><code>ref: refs/heads/master
</code></pre>

<p>All over Stack I see people referring it to a detached head problem. But I think that's not the case with me.<br/>
I had done a git fetch upstream yesterday which showed me compressing files and everything. But when I opened the repo in my editor I dont see any new changes fetched.</p>
","7","1541018","",""
"37446550","5209224","2016-05-25 20:00:48","2","963","<git><github><git-pull><pull-request><git-fork>","Can I make a pull request after a git clone?","<p>Do I have to fork a repo in order to make a pull request? Below is my current understanding of the repo sharing and updating process:</p>

<ol>
<li>I fork a shared repo on GitHub which makes my own repo on GitHub</li>
<li>I clone from my own repo on GitHub, which gives me a local repo</li>
<li>I make a new branch ""test"" on local repo (which I believe will make a test branch on my remote repo on GitHub too?)</li>
<li>I make changes to working directory, add, commit, and push to remote</li>
<li>I go back onto GitHub to my repo and then make a pull request through the GUI on GitHub.</li>
</ol>

<p>Instead of the above, is there anyway I can just clone from the shared repo and make a pull request straight from the terminal? Or do I have to go through forking and going through GitHub's GUI?</p>
","0","5209224","",""
"76229616","5317332","2023-05-11 16:08:28","0","40","<git><github><cicd><git-pull>","How to force overwrite changes on a specific file every git pull?","<p>On GitHub I have an action that creates, automatically at every commit, a file with the latest news.</p>
<p>It happens that the editor to visualize the file can change it with some metadata, formatting tabs and so on.</p>
<p>This cause that frequently when I pull code, I have this error:</p>
<pre><code>$ git pull
remote: Enumerating objects: 23, done.
remote: Counting objects: 100% (23/23), done.
remote: Compressing objects: 100% (11/11), done.
remote: Total 23 (delta 12), reused 23 (delta 12), pack-reused 0
Unpacking objects: 100% (23/23), 3.87 KiB | 3.00 KiB/s, done.
From github.com:&lt;org&gt;/&lt;repo&gt;
   7584f6c..9c9eefa  main       -&gt; origin/main
error: Your local changes to the following files would be overwritten by merge:
        news.md
Please commit your changes or stash them before you merge.
Aborting
Updating 10873f9..9c9eefa
</code></pre>
<p>and I need to stash first:</p>
<pre><code>git stash
git pull
git stash apply
</code></pre>
<p>but this is very annoying because it may happen frequently (every time I need to pull).</p>
<p>I cannot find a solution that help me on that. Is it possible to overwrite changes during the pull automaticaly for the specific file?</p>
","2","5317332","",""
"76244023","818112","2023-05-13 17:15:48","0","36","<git><git-push><git-pull>","How do I configure git so I can just push a branch?","<p>Here's what I want:</p>
<pre><code>git checkout -b mybranch
&lt;make changes&gt;
git commit -m'changes'
git push
</code></pre>
<p>The branch I just created with the changes I made to exist on the remote origin. Furthermore, when I later pull, it should pull the same branch.</p>
<p>My current settings:</p>
<pre><code>[push]
    default = current
[branch]
    autoSetupMerge = always
</code></pre>
<p>What do I need to do to force git to behave the way I want it to? It <em>used</em> to work with my current settings, now it just says &quot;everything up to date&quot;, which clearly it is <em><strong>not</strong></em> because this branch does not exist on the remote.</p>
<hr />
<p>Edit: Apparently <code>pull.default</code> isn't a valid setting, fine. So I removed it, but that's not causing the incorrect behavior anyway.</p>
<p>Setting <code>push.default=upstream</code> is <em><strong>DANGEROUS</strong></em> since now <code>git checkout -b &lt;newbranch&gt;</code> for some reason sets up where you branched from as the tracking branch. So if you're on <code>main</code> and create a new branch, <code>main</code> is the tracking branch. And <code>push.default=upstream</code> will merge changes to <code>main</code>. This is <em><strong>terrible</strong></em> behavior and bewilderingly <em>more</em> wrong than <code>push.default=current</code>.</p>
","2","818112","",""
"76428963","840488","2023-06-08 05:56:07","0","31","<git><git-pull><git-merge-conflict>","How can a git pull on a branch with no changes result in conflicts?","<p>So the scenario is quite basic: I did a checkout of a git repo, on branch X. Made some changes, performed a commit and pushed them, all good so far. No other changes made for 2-3 days. Afterwards I came back, ran a git status to make sure I have no changes, did a git pull origin X and I got conflicts on several files.</p>
<p>How is that possible? To be honest I have no clue what the other colleagues did on that branch in these 2-3 days (perhaps some rebase, force push, etc) but still, as long as my local clone has no changes, how can a pull result in conflicts? Can anyone explain it, perhaps with an example?</p>
","5","840488","",""
"76526148","4632019","2023-06-21 18:25:16","0","16","<git><git-pull>","Is there an option to change output format for `git pull --rebase --verbose`?","<p>When I do <code>git pull --rebase --verbose</code> I see the line in an output:</p>
<pre><code>...
Changes from 4baabb8df936e34958ae4076dccdab6634e4d33b to d404ec36565ad5dd2f476ec7a11f9428e377925d
...
</code></pre>
<p>Is there an option to show changes in <code>4baabb8d..d404ec365</code> format?</p>
","0","4632019","",""
