Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,AnswerCount,FavoriteCount
"348170","14069","2008-12-07 21:57:46","11089","5134423","<git><undo><git-add>","How do I undo 'git add' before commit?","<p>I mistakenly added files to Git using the command:</p>
<pre><code>git add myfile.txt
</code></pre>
<p>I have not yet run <code>git commit</code>. How do I undo this so that these changes will not be included in the commit?</p>
","11","14069","0"
"57539965","246724","2019-08-17 21:12:28","3","67","<git><git-add>","Can I make ""git add -p"" to immediately quit after added hunk?","<p>With <code>git add -p</code> I can add individual hunks step by step.</p>

<p>In many cases I want to add exactly one hunk and then quit the interactive mode immediately.
I don't want the next hunk to show up, because it will confuse me when writing the commit message, and forces me to scroll up to see the added hunk.</p>

<p>Is there any way to do this directly, instead of showing the next hunk and then using ""q""?</p>

<p>I already tried typing ""aq"" but it does not work (and I did not really expect it to work).</p>
","10","246724","0"
"38711272","6315090","2016-08-02 03:21:56","1","4995","<laravel><github><gitignore><git-add>","Why is vendor package not pushing to github even when ""/vendor"" is not listed in .gitignore file?","<p>When I add files to my local repository, some vendor packages are excluded even though they are not listed in the .gitignore file.  Since they are not pushed to the remote repository, other developers are not able to pull the vendor packages.</p>
","1","6315090",""
"11509789","1529613","2012-07-16 17:53:19","2","285","<git><git-add>","Finding next matching hunk when using git add --patch","<p>I find the use of <strong>git add --patch</strong> very useful for my work-flow sometimes, like when I need to revise lots before anything is ready to commit, especially with documentation.  If I have a large number of hunks to sift through, the search feature via <strong>/</strong> is helpful, but I have not discovered any way to search for the next hunk matching my regex without retyping the regex each time.  Is there a way to do that?</p>
","0","1529613",""
"3541647","165673","2010-08-22 13:34:24","122","67216","<version-control><git-commit><git-add><git>","git add . vs git commit -a","<p>What's the difference between:</p>

<ul>
<li><code>git add .</code></li>
<li><code>git commit -a</code></li>
</ul>

<p>Should I be doing both, or is that redundant?</p>
","1","165673","0"
"4058372","262667","2010-10-30 10:58:41","13","2991","<git><conflict><git-stash><git-add>","git stash and edited hunks","<p>I totally love <code>git add -p</code> and <code>git stash</code> but I occasionally have the following problem, which is reproduced by the following sequence of commands:</p>

<ul>
<li><code>git add -p my_file</code>: then I <strong>edit a hunk manually</strong> (using <code>e</code>) because the splitting that git suggests does not suit me</li>
<li><code>git stash --keep-index</code>: then I do some testing, and if the tests pass <em>I do not commit</em></li>
<li><code>git stash pop</code>: now the problem occurs: the file <code>my_file</code> <strong>is now considered as conflicted</strong>, and git has completely messed with my edited hunk, so I have to edit the file, remove the useless merge marks, and run <code>git add my_file</code> followed by <code>git reset HEAD</code></li>
</ul>

<p>I'm puzzled because this happens only when editing a hunk manually. I don't see how this should make any difference at all.</p>

<hr>

<p>To reproduce the problem:</p>

<ul>
<li><code>touch newfile</code></li>
<li><code>git add newfile</code></li>
<li><code>git commit -m 'newfile'</code></li>
<li>add two lines in the file</li>
<li><code>git add -p newfile</code></li>
<li>edit the hunk (<code>e</code>), remove one of the line in the hunk, then quit git add (<code>q</code>)</li>
<li><code>git stash --keep-index</code></li>
<li><code>git stash pop</code></li>
</ul>

<p>Now the file <code>newfile</code> is in unmerged state. Note, again, that the problem <strong>only occurs with manually edited hunks</strong>. There is no problem whatsoever with the commands above if one does not edit any hunk manually.</p>

<p>Incidentally, the preceding state of the file is in the third stage (<code>git show :3:newfile</code>), and the previously staged version is in the second stage (<code>git show :2:newfile</code>). So I could, by some git black magic, manage to put the second stage in this index, and the third stage in the working repo... but I don't know how to do that so I do it by hand. :-(</p>
","5","262667","0"
"68200539","4230755","2021-06-30 19:20:13","0","66","<git><git-checkout><git-add><git-status>","Command to tell git to not track certain files","<p>I know there is a shortcut for this, and cannot remember it.</p>
<p>I am working in a repository, and have about 8 files I need to add and commit, and 2 that are modified, that I do not need to commit. Rather than running <code>git add &lt;file&gt;</code> for each file I'm committing, I would like to run 2 commands to ignore the files I do not need to add, and then run <code>git add . </code> for the 8 I am adding/committing.</p>
<p>I thought the command to ignore the files I don't need was <code>git checkout -- &lt;file I don't need&gt;</code>, but I keep getting the error that <code>pathspec 'file I don't need' did not match any file(s) known to git</code></p>
<p>I thought, of course, it's because those 2 files are still untracked. So I added everything with <code>git add . </code> and THEN ran <code>git checkout -- &lt;file I don't need&gt;</code>. However, when I run a <code>git status</code> after that,  those files still show up to be committed.</p>
<p>Any advice would be much appreciated!</p>
","3","4230755",""
"68245411","14098258","2021-07-04 13:55:23","3","201","<git><version-control><git-add><git-status><git-stage>","unable to add files with git add","<p>I have tried to git add a file. But when I check git status, the file is still marked as &quot;Changes not staged for commit&quot;.
I have read many similar questions and I have tried everything:</p>
<ul>
<li>make sure I am in the right repository</li>
<li>make sure there is no other .git in any folders (no submodules)</li>
<li>make sure there is no corresponding entry in .gitignore (neither local nor global/system)</li>
<li>make sure there is no upper/lower-case mistake</li>
<li>make sure to try all variations of git add (-A, -u, ., *)</li>
</ul>
<p>Still nothing seems to work</p>
<p>That is what it looks like:</p>
<p><a href=""https://i.stack.imgur.com/jk5J2.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/jk5J2.jpg"" alt=""enter image description here"" /></a></p>
<p>Any ideas, what else to try or what I may have missed?</p>
<p>Thanks for any help in advance!</p>
<p><strong>EDIT:</strong></p>
<p>This whole <code>_build/</code> folder is created, when I run <code>jb-build systemtechnik-fuer-energieeffizienz</code>. It contains (mainly, besides some other stuff, like these <code>.doctree</code> documents) the html output of a jupyter book created by all these jupyter notebooks in the <code>nb/</code> folder (see here <a href=""https://jupyterbook.org/start/build.html"" rel=""nofollow noreferrer"">jupyter book</a>). So it is not a submodule (in my understanding submodules have an own <code>.git</code> folder, however, inside <code>_build/</code> there is no such folder)</p>
<ul>
<li><p>The output of <code>git rev-parse --show-toplevel</code> is:</p>
<p><code>C:/Users/andre/Documents/GitLab/OER4EE_SYE/systemtechnik-fuer-energieeffizienz</code></p>
</li>
<li><p><code>git version</code> is <code>git version 2.24.0.windows.2</code></p>
</li>
<li><p>the output of <code>git diff -- _build/.doctree/SYE.doctree</code>
is:</p>
<p>just a blank line</p>
</li>
<li><p>the output of <code>git check-attr -a _build/.doctree/SYE.doctree</code> is:</p>
<p>just another blank line</p>
</li>
</ul>
","7","14098258","0"
"33078008","4423402","2015-10-12 09:44:57","1","1228","<git><git-add><repo><git-status>","Missing files in git index","<p>I work on a git repo with many many branches in it.
Now i wanted to add a new feature from another location.
So i did <code>cp -r /source /target</code><br/>
The new files are in my repo, but git ignores them.<br/>
If i do <code>git status</code> after i copied that files, git says 'working directory clean'...<br/>
Why this happens? It is not ignored in <code>.gitignore</code>.
I tried this also with other files, these files appear immediately in git status. What i did wrong and how i can fix this?</p>

<p>I read the other answers, but cant't find answers which helped.</p>
","8","4423402",""
"17483389","899260","2013-07-05 07:30:15","7","1999","<version-control><git-commit><git-add><git>","How do I place a dummy file in a git repo?","<p>I'm new at git so please bear with me. </p>

<p>Say i have a file under version control that includes sensitive data. Sure enough, I put that file in my .gitignore file, so it doesn't get pushed to the repo. The problem now is somewhere in my project i have a line like</p>

<pre><code>#include &lt;sensitivedata&gt;
</code></pre>

<p>or whatever your language of choice is. 
The problem is whenever somebody clones from that repo, that file is missing and he gets a fatal error when trying to build / compile the solution.</p>

<p>So, instead of pushing the file I'm actually working on I want to push some dummy file with the same name instead, where I place a comment like </p>

<pre><code>// replace the next line with the sensitive data!!!
</code></pre>

<p>How would I do this?</p>
","0","899260","0"
