Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,AnswerCount,FavoriteCount
"40623644","968262","2016-11-16 03:37:00","0","52","<git>","What does ""build products"" mean in git-clean manpage?","<blockquote>
  <p>This allows removing all untracked files, including build products.</p>
</blockquote>

<p>This is a sentence to explain <code>-x</code> option of <code>git-clean</code>. What does the ""build proudcts"" mean here? I read the text several times, and I still don't quite understand without a clear context.</p>
","0","968262",""
"59816592","10965755","2020-01-20 03:17:13","3","683","<git>","Git: Exclude some files when ran git clean","<p>I want to clean up files which ignored by .gitignore, but I want to exclude some files specified by excluding options.
And then, I don't want to remove untracked files.</p>

<pre><code>dist                     (ignored)
node_modules             (ignored)
.env                     (ignored but I want to exclude for the cleanup)
I_do_not_want_add_yet.js (untracked, I don't want cleanup some untracked files)
package.json             (There are many other tracked files)
</code></pre>

<p>So I looked into <a href=""https://stackoverflow.com/questions/11085795/git-exclude-a-file-with-git-clean"">some posts</a> and tried the following command:</p>

<pre class=""lang-sh prettyprint-override""><code>$ git clean -ndX -e .env
Would remove dist/
Would remove node_modules/
Would remove .env   # Oops!

$ git clean -ndX --exclude='!.env'
Would remove dist/
Would remove node_modules/
Would remove .env   # Oops!

$ git clean -ndx -e .env
Would remove dist/
Would remove node_modules/
Would remove I_do_not_want_add_yet.js   # Oops!
</code></pre>

<p>Do you have good ideas?</p>
","3","10965755","0"
"34181010","1399275","2015-12-09 14:16:08","0","595","<git><atlassian-sourcetree>","SourceTree .gitignore extensions","<p>I'm very new to git/SourceTree. (2) other devs have committed extension files, such as <code>.proj</code>, <code>.cache</code>, etc into the <em>master</em> branch. I added a .gitignore file and merged that into the <em>master</em> branch (we have a <em>develop</em> branch as well now). However, after the merge, I built the project in VS, and I'm still seeing ""ignored"" files in my ""Unstaged files"" section in SourceTree.</p>

<p>I read <a href=""https://stackoverflow.com/questions/21616463/gitignore-file-in-sourcetree-not-working"">here</a> that I need to ""stop tracking"" the files. When I do this (for the <code>.suo</code> for instance), it pops it up to the ""Staged files"" and has the red icon next to it. Is this correct, as should I do this for all files?</p>

<p>I've also read about <a href=""https://git-scm.com/docs/git-clean"" rel=""nofollow noreferrer"">git clean</a>. </p>

<blockquote>
  <p>Cleans the working tree by recursively removing files that are not
  under version control, starting from the current directory.</p>
  
  <p>Normally, only files unknown to Git are removed, <strong>but if the -x option
  is specified, ignored files are also removed</strong>. This can, for example,
  be useful to remove all build products.</p>
</blockquote>

<p>Would I run against the <em>master</em> branch in bash? Otherwise how would I go about cleaning the repository up, removing ignored files.</p>
","0","1399275",""
"57508742","996056","2019-08-15 11:07:12","1","1717","<bash><git><makefile>","Makefile target to check for clean git diff","<p>I am trying to write a <code>Makefile</code> target that checks for no uncomitted changes in the git repository where it is ran after running another target.</p>

<p>This is what I have so far:</p>

<pre><code>check-git-clean: other-target
ifneq ($(shell git diff-index --quiet HEAD; echo $$?), 0)
    $(error ""There are uncomitted changes after running make other-target"")
endif
</code></pre>

<p>However, what I am experiencing is that if the <code>other-target</code> causes uncommitted changes, the <code>ifneq</code> will not catch it. On the other hand, if there were already uncommitted changes <em>before</em> I run <code>make check-git-clean</code>, then the <code>ifneq</code> does catch it.</p>

<p>So, in a way, it's almost as if the <code>ifneq</code> is running ""before"" the <code>make other-target</code> but the CLI output (echo) I get are in the right order.</p>

<p>I'm wondering how I can do this right.</p>
","0","996056",""
"74821215","3633608","2022-12-16 07:13:33","0","24","<hg-git>","hg-git: `unknown revision` with one git clone, ok with another","<blockquote>
<p><strong>Closed</strong>: I started a <code>hg clone...</code> by error in the git repository and this created an empty hg repository. So hggit checks the differences with the empty hg repo and not the git conversion.</p>
</blockquote>
<pre class=""lang-bash prettyprint-override""><code>$ hg incoming -r branchname_bkm G1
comparing with /home/xxxx/src
abort: unknown revision 'branchname_bkm'
</code></pre>
<p><code>_bkm</code> is the suffix I use between git branches and hg bookmarks.</p>
<p>I have a mercurial repository for long time (named <code>HG0</code>).
I converted it to git using the hggit extension, pushed it to gitlab.</p>
<p>I usually develop in the git repo (named <code>G1</code>) but our official repo is still mercurial.
When needed, I import a git branch (as bookmarks) this way:</p>
<ul>
<li><p>update the hg-git map:</p>
<pre class=""lang-bash prettyprint-override""><code>cd HG0
hg pull
hg update main_bkm  # bookmark on default == main
hg git-cleanup
hg outgoing G1
</code></pre>
</li>
<li><p>import git branch:</p>
<pre class=""lang-bash prettyprint-override""><code>hg in -r &lt;branchname&gt; G1
</code></pre>
</li>
</ul>
<p>It worked perfectly during months.</p>
<p>For about 2 weeks, <code>hg out</code> shows me all the changesets, not only the new ones and <code>hg in</code> returns <code>unknown revision</code>!</p>
<p>I created a new git clone <code>G2</code> from gitlab. <code>hg out G2</code> is correct and only shows few revs as expected.
I could exchange my git branch from <code>G1</code> to <code>G2</code> and get it in <code>HG0</code>, ok.</p>
<p>How can I &quot;re-synchronize&quot; my hg repo with <code>G1</code>?</p>
<ul>
<li><p><code>git-cleanup</code> does not change anything.</p>
</li>
<li><p>I even tried to entirely rebuild the embedded <code>.hg/git</code> (~2 hours), no change.</p>
</li>
<li><p>If I <code>grep</code> a revision shown by <code>hg out G1</code> in <code>.hg/git-mapfile</code>, it corresponds to the related revision in <code>G1</code>...</p>
</li>
<li><p>May git garbage collection process &quot;hides&quot; something used to identify the repo?</p>
</li>
</ul>
<p>Thanks in advance.</p>
","0","3633608",""
"27295961","2228325","2014-12-04 14:00:52","18","11539","<git><branch>","Remove a single merged branch from master branch","<p>In my master branch, there're following local branches that have been merged, but I would like to remove the <code>local_branch3</code> from master:</p>

<pre><code>local_branch1
local_branch2
local_branch3
local_branch4
</code></pre>

<p>after removing the <code>local_branch3</code> from master, I would like it to remain a local branch (only deleted from master).</p>

<p>I've check <a href=""http://stevenharman.net/git-clean-delete-already-merged-branches"" rel=""noreferrer"">Steve Harman's blog</a> on this similar issue, but that seems also deleting the local branch for ever.</p>

<p><strong>Edit:</strong> to clarify what I meant, as I posted in one of the below comments:</p>

<blockquote>
  <p><em>I would like the master branch to undo the changes resulting from local_branch3 merging, while leaving local_branch3 untouched.</em></p>
</blockquote>

<p>The reason being that I would like to keep the <code>master</code> branch deliverable while I tweak on <code>local_branch3</code>.</p>
","3","2228325","0"
"20312066","1702487","2013-12-01 12:26:38","1","964","<git><build><makefile><debian>","How I ""make"" git 1.8.2 on debian","<p>I have an problem while compiling git.</p>

<p>I've tried this:
<a href=""http://git-scm.com/book/en/Getting-Started-Installing-Git"" rel=""nofollow"">http://git-scm.com/book/en/Getting-Started-Installing-Git</a></p>

<p>Error ...</p>

<p>Then I've installed this:<a href=""http://packages.debian.org/de/sid/git-buildpackage"" rel=""nofollow"">http://packages.debian.org/de/sid/git-buildpackage</a></p>

<p>Same error ... </p>

<pre><code>            GEN perl/PM.stamp
            SUBDIR gitweb
            SUBDIR ../
        make[2]: `GIT-VERSION-FILE' is up to date.
            GEN git-instaweb
            SUBDIR git-gui
            SUBDIR gitk-git
            SUBDIR perl
            SUBDIR templates
        install -d -m 755 '/usr/local/bin'
        install -d -m 755 '/usr/local/libexec/git-core'
        install   git-credential-store git-daemon git-fast-import git-http-backend git-imap-send git-sh-i18n--envsubst git-shell git-show-index git-upload-pack git-remote-testsvn git-http-fetch git-http-push git-credential-cache git-credential-cache--daemon git-remote-http git-remote-https git-remote-ftp git-remote-ftps git-am git-bisect git-difftool--helper git-filter-branch git-lost-found git-merge-octopus git-merge-one-file git-merge-resolve git-mergetool git-pull git-quiltimport git-rebase git-request-pull git-stash git-submodule git-web--browse git-add--interactive git-difftool git-archimport git-cvsexportcommit git-cvsimport git-cvsserver git-relink git-send-email git-svn git-p4 git-instaweb '/usr/local/libexec/git-core'
        install -m 644  git-mergetool--lib git-parse-remote git-rebase--am git-rebase--interactive git-rebase--merge git-sh-setup git-sh-i18n '/usr/local/libexec/git-core'
        install git git-upload-pack git-receive-pack git-upload-archive git-shell git-cvsserver '/usr/local/bin'
        make -C templates DESTDIR='' install
        make[1]: Entering directory `/home/git-1.8.5/templates'
        install -d -m 755 '/usr/local/share/git-core/templates'
        (cd blt &amp;&amp; tar cf - .) | \
            (cd '/usr/local/share/git-core/templates' &amp;&amp; umask 022 &amp;&amp; tar xof -)
        make[1]: Leaving directory `/home/git-1.8.5/templates'
        install -d -m 755 '/usr/local/libexec/git-core/mergetools'
        install -m 644 mergetools/* '/usr/local/libexec/git-core/mergetools'
        install -d -m 755 '/usr/local/share/locale'
        (cd po/build/locale &amp;&amp; tar cf - .) | \
            (cd '/usr/local/share/locale' &amp;&amp; umask 022 &amp;&amp; tar xof -)
        make -C perl prefix='/usr/local' DESTDIR='' install
        make[1]: Entering directory `/home/git-1.8.5/perl'
        make[2]: Entering directory `/home/git-1.8.5/perl'
        Appending installation info to /usr/local/lib/perl/5.10.1/perllocal.pod
        make[2]: Leaving directory `/home/git-1.8.5/perl'
        make[1]: Leaving directory `/home/git-1.8.5/perl'
        make -C gitweb install
        make[1]: Entering directory `/home/git-1.8.5/gitweb'
        make[2]: Entering directory `/home/git-1.8.5'
        make[2]: `GIT-VERSION-FILE' is up to date.
        make[2]: Leaving directory `/home/git-1.8.5'
        install -d -m 755 '/usr/local/share/gitweb'
        install -m 755 gitweb.cgi '/usr/local/share/gitweb'
        install -d -m 755 '/usr/local/share/gitweb/static'
        install -m 644 static/gitweb.js static/gitweb.css static/git-logo.png static/git-favicon.png '/usr/local/share/gitweb/static'
        make[1]: Leaving directory `/home/git-1.8.5/gitweb'
        make -C gitk-git install
        make[1]: Entering directory `/home/git-1.8.5/gitk-git'
        install -m 755 gitk-wish '/usr/local/bin'/gitk
        install -d -m 755 '/usr/local/share/gitk/lib/msgs'
        install -m 644 po/de.msg '/usr/local/share/gitk/lib/msgs' &amp;&amp;  install -m 644 po/es.msg '/usr/local/share/gitk/lib/msgs' &amp;&amp;  install -m 644 po/fr.msg '/usr/local/share/gitk/lib/msgs' &amp;&amp;  install -m 644 po/hu.msg '/usr/local/share/gitk/lib/msgs' &amp;&amp;  install -m 644 po/it.msg '/usr/local/share/gitk/lib/msgs' &amp;&amp;  install -m 644 po/ja.msg '/usr/local/share/gitk/lib/msgs' &amp;&amp;  install -m 644 po/pt_br.msg '/usr/local/share/gitk/lib/msgs' &amp;&amp;  install -m 644 po/ru.msg '/usr/local/share/gitk/lib/msgs' &amp;&amp;  install -m 644 po/sv.msg '/usr/local/share/gitk/lib/msgs' &amp;&amp; true
        make[1]: Leaving directory `/home/git-1.8.5/gitk-git'
        make -C git-gui gitexecdir='/usr/local/libexec/git-core' install
        make[1]: Entering directory `/home/git-1.8.5/git-gui'
          DEST /usr/local/libexec/git-core
            INSTALL 755 git-gui
            INSTALL 755 git-gui--askpass
            LINK        git-citool -&gt; git-gui
          DEST /usr/local/share/git-gui/lib
            INSTALL 644 tclIndex
            INSTALL 644 about.tcl
            INSTALL 644 blame.tcl
            INSTALL 644 branch_checkout.tcl
            INSTALL 644 branch_create.tcl
            INSTALL 644 branch_delete.tcl
            INSTALL 644 branch_rename.tcl
            INSTALL 644 branch.tcl
            INSTALL 644 browser.tcl
            INSTALL 644 checkout_op.tcl
            INSTALL 644 choose_font.tcl
            INSTALL 644 choose_repository.tcl
            INSTALL 644 choose_rev.tcl
            INSTALL 644 class.tcl
            INSTALL 644 commit.tcl
            INSTALL 644 console.tcl
            INSTALL 644 database.tcl
            INSTALL 644 date.tcl
            INSTALL 644 diff.tcl
            INSTALL 644 encoding.tcl
            INSTALL 644 error.tcl
            INSTALL 644 index.tcl
            INSTALL 644 line.tcl
            INSTALL 644 logo.tcl
            INSTALL 644 merge.tcl
            INSTALL 644 mergetool.tcl
            INSTALL 644 option.tcl
            INSTALL 644 remote_add.tcl
            INSTALL 644 remote_branch_delete.tcl
            INSTALL 644 remote.tcl
            INSTALL 644 search.tcl
            INSTALL 644 shortcut.tcl
            INSTALL 644 spellcheck.tcl
            INSTALL 644 sshkey.tcl
            INSTALL 644 status_bar.tcl
            INSTALL 644 themed.tcl
            INSTALL 644 tools_dlg.tcl
            INSTALL 644 tools.tcl
            INSTALL 644 transport.tcl
            INSTALL 644 win32.tcl
            INSTALL 644 git-gui.ico
            INSTALL 644 win32_shortcut.js
          DEST /usr/local/share/git-gui/lib/msgs
            INSTALL 644 de.msg
            INSTALL 644 el.msg
            INSTALL 644 fr.msg
            INSTALL 644 hu.msg
            INSTALL 644 it.msg
            INSTALL 644 ja.msg
            INSTALL 644 nb.msg
            INSTALL 644 pt_br.msg
            INSTALL 644 ru.msg
            INSTALL 644 sv.msg
            INSTALL 644 zh_cn.msg
        make[1]: Leaving directory `/home/git-1.8.5/git-gui'
        bindir=$(cd '/usr/local/bin' &amp;&amp; pwd) &amp;&amp; \
            execdir=$(cd '/usr/local/libexec/git-core' &amp;&amp; pwd) &amp;&amp; \
            { test ""$bindir/"" = ""$execdir/"" || \
              for p in git git-shell git-upload-pack git-cvsserver; do \
                rm -f ""$execdir/$p"" &amp;&amp; \
                test -z """" &amp;&amp; \
                ln ""$bindir/$p"" ""$execdir/$p"" 2&gt;/dev/null || \
                cp ""$bindir/$p"" ""$execdir/$p"" || exit; \
              done; \
            } &amp;&amp; \
            for p in git-receive-pack git-upload-archive; do \
                rm -f ""$bindir/$p"" &amp;&amp; \
                test -z """" &amp;&amp; \
                ln ""$bindir/git"" ""$bindir/$p"" 2&gt;/dev/null || \
                ln -s ""git"" ""$bindir/$p"" 2&gt;/dev/null || \
                cp ""$bindir/git"" ""$bindir/$p"" || exit; \
            done &amp;&amp; \
            for p in  git-add git-annotate git-apply git-archive git-bisect--helper git-blame git-branch git-bundle git-cat-file git-check-attr git-check-ignore git-check-mailmap git-check-ref-format git-checkout-index git-checkout git-clean git-clone git-column git-commit-tree git-commit git-config git-count-objects git-credential git-describe git-diff-files git-diff-index git-diff-tree git-diff git-fast-export git-fetch-pack git-fetch git-fmt-merge-msg git-for-each-ref git-fsck git-gc git-grep git-hash-object git-help git-index-pack git-init-db git-log git-ls-files git-ls-remote git-ls-tree git-mailinfo git-mailsplit git-merge git-merge-base git-merge-file git-merge-index git-merge-ours git-merge-recursive git-merge-tree git-mktag git-mktree git-mv git-name-rev git-notes git-pack-objects git-pack-redundant git-pack-refs git-patch-id git-prune-packed git-prune git-push git-read-tree git-receive-pack git-reflog git-remote git-remote-ext git-remote-fd git-repack git-replace git-rerere git-reset git-rev-list git-rev-parse git-revert git-rm git-send-pack git-shortlog git-show-branch git-show-ref git-stripspace git-symbolic-ref git-tag git-tar-tree git-unpack-file git-unpack-objects git-update-index git-update-ref git-update-server-info git-upload-archive git-var git-verify-pack git-verify-tag git-write-tree git-cherry git-cherry-pick git-format-patch git-fsck-objects git-get-tar-commit-id git-init git-merge-subtree git-peek-remote git-repo-config git-show git-stage git-status git-whatchanged; do \
                rm -f ""$execdir/$p"" &amp;&amp; \
                test -z """" &amp;&amp; \
                ln ""$execdir/git"" ""$execdir/$p"" 2&gt;/dev/null || \
                ln -s ""git"" ""$execdir/$p"" 2&gt;/dev/null || \
                cp ""$execdir/git"" ""$execdir/$p"" || exit; \
            done &amp;&amp; \
            remote_curl_aliases=""git-remote-https git-remote-ftp git-remote-ftps"" &amp;&amp; \
            for p in $remote_curl_aliases; do \
                rm -f ""$execdir/$p"" &amp;&amp; \
                test -z """" &amp;&amp; \
                ln ""$execdir/git-remote-http"" ""$execdir/$p"" 2&gt;/dev/null || \
                ln -s ""git-remote-http"" ""$execdir/$p"" 2&gt;/dev/null || \
                cp ""$execdir/git-remote-http"" ""$execdir/$p"" || exit; \
            done &amp;&amp; \
            ./check_bindir ""z$bindir"" ""z$execdir"" ""$bindir/git-add""
</code></pre>
","11","1702487","0"
"39410239","","2016-09-09 11:11:08","0","53","<git><github>","Revert back all changes made via git","<p>I was trying to remove all untracked files from my Mac machine using the following line</p>

<pre><code>git clean -f -d
</code></pre>

<p>After running the above code, all files in my machine got deleted. Is there any ways through which i can revert back all changes?</p>

<p>I have tried ""<a href=""https://stackoverflow.com/questions/6267180/can-i-undo-a-git-clean-fdx"">Can I undo a `git clean -fdx`?</a>"" but still im unable to recover. if i run git status, it shows all deleted files in red letters though</p>
","6","",""
"21030189","241211","2014-01-09 20:12:33","3","6688","<git><merge><branch>","Find when a branch was merged","<p>There are lots of scripts floating around on the internet for deleting already-merged branches <a href=""http://stevenharman.net/git-clean-delete-already-merged-branches"" rel=""nofollow noreferrer"">such as</a></p>

<pre><code>$ git branch --merged master | grep -v master | xargs -n 1 git branch -d
</code></pre>

<p>but I'd like to keep my branches around for a while before doing the cleanup. So:</p>

<p><strong>How can I find when a particular branch was merged?</strong> I'd like to be able to get the hash and the date of the merge commit. Extra credit for the ability to pipe several branches in. I'm ultimately going for</p>

<pre><code>$ git branch --merged master | [find dates for each]
    | [compare dates to arbitrary date] | [delete old merged branches]
</code></pre>

<p>I realize that the standard practice is to tag/delete branches that you want to keep around a little longer, but if I did that, I'd still be asking this question about the hash and time of the merge commit.</p>

<h3>Edit:</h3>

<p>I've been looking through <a href=""https://stackoverflow.com/questions/2263674/how-do-i-find-the-next-commit-in-git"">these</a> <a href=""https://stackoverflow.com/questions/1761825/referencing-the-child-of-a-commit-in-git/5353204"">threads</a>, because it strikes me that I'm looking for the child commit of the branch reference. Unfortunately, as mentioned in <a href=""https://stackoverflow.com/questions/2263674/how-do-i-find-the-next-commit-in-git#comment2239748_2264471"">this comment</a>, <code>--children</code> only <em>adds</em> the children to the commits returned by a <code>log</code> or <code>rev-list</code>, instead of only returning children.</p>
","1","241211","0"
"35300323","649167","2016-02-09 19:13:03","4","1403","<linux><git><build><debian><package>","Building Debian package without upstream","<p>I'm replacing a hacky Debian package build script with <a href=""http://jenkins-debian-glue.org/"" rel=""nofollow"">http://jenkins-debian-glue.org/</a>, which uses <code>git-buildpackage</code>.</p>

<p>The <code>generate-git-snapshot</code> script runs this monster of a line:</p>

<pre><code>gbp buildpackage  -nc --git-force-create --git-ignore-new --git-ignore-branch -S -us -uc --git-verbose --git-builder=/bin/true --git-cleaner=/bin/true --git-export-dir=
</code></pre>

<p>This fails every time with an error: <code>gbp:error: upstream/1.0.0 is not a valid treeish</code>. 1.0.0 is the initial version string in <code>debian/changelog</code>, but the <code>upstream</code> branch doesn't exist.</p>

<p>I'm not quite sure what to do about the <code>upstream</code> branch - this package is not a fork of an existing project, it's a Git repo that's only meant to build a Debian package.</p>

<p>How can/should I build the package?</p>
","0","649167",""
