Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,AnswerCount,FavoriteCount
"46190497","7537350","2017-09-13 06:39:14","0","100","<github><git-init>","git init re-creates .git file in home directory","<p>I want to keep a separate work space for my development job.I moved .git file from my home directory to another directory named 'workspace'. Now when I use <code>git init</code> in <code>workspace</code> directory, everything works just fine but when I use <code>git init</code> inside my home directory, it re-creates the <code>.git</code> file in my home directory.
I am using Ubuntu and my home directory is <code>home/tyler</code>.This is where <code>.git</code> file is stored my default.</p>

<p>My directory structure is:
home/tyler
home/workspace</p>
","4","7537350",""
"3212459","165673","2010-07-09 12:16:51","956","654785","<git><git-init>","Is there a command to undo git init?","<p>I just Git init'ed a repos with a wrong user, and want to undo it.  Is there any command for this?  Do I actually have to go in and edit the .git directory?</p>
","2","165673","0"
"32496587","1306132","2015-09-10 08:17:51","1","489","<linux><windows><git><permissions><git-init>","Where can I get the description of `--shared` option of `git init` command for Windows?","<p>I am reading the <a href=""http://git-scm.com/docs/git-init"" rel=""nofollow"">Git documentation</a> about the <code>git init</code> command:</p>

<blockquote>
  <p><strong>--shared[=(false|true|umask|group|all|world|everybody|0xxx)]</strong> <br>Specify that the Git repository is to be shared amongst several users. This
  allows users belonging to the same group to push into that repository.
  When specified, the config variable ""core.sharedRepository"" is set so
  that files and directories under $GIT_DIR are created with the
  requested permissions. When not specified, Git will use permissions
  reported by umask(2).</p>
  
  <p>The option can have the following values, defaulting to group if no
  value is given:</p>
  
  <p><strong>umask (or false)</strong> <br>Use permissions reported by umask(2). The default,
  when --shared is not specified.</p>
  
  <p><strong>group (or true)</strong> <br>Make the repository group-writable, (and g+sx, since
  the git group may be not the primary group of all users). This is used
  to loosen the permissions of an otherwise safe umask(2) value. Note
  that the umask still applies to the other permission bits (e.g. if
  umask is 0022, using group will not remove read privileges from other
  (non-group) users). See 0xxx for how to exactly specify the repository
  permissions.</p>
  
  <p><strong>all (or world or everybody)</strong> <br>Same as group, but make the repository
  readable by all users.</p>
  
  <p><strong>0xxx 0xxx</strong> <br>is an octal number and each file will have mode 0xxx. 0xxx
  will override users' umask(2) value (and not only loosen permissions
  as group and all does). 0640 will create a repository which is
  group-readable, but not group-writable or accessible to others. 0660
  will create a repo that is readable and writable to the current user
  and group, but inaccessible to others.</p>
</blockquote>

<p>This information is for Linux-based OS only. Am I right? But what about Windows? I use <a href=""http://git-for-windows.github.io/"" rel=""nofollow"">Git for Windows</a>. Windows uses ACL instead of umask for working with permissions. :(</p>
","2","1306132",""
"29381674","4648310","2015-04-01 02:07:41","1","17002","<git><git-init>","how to undo git init?","<p>I clicked <code>git init</code> in my users folder by mistake, and then everything in my users folder has been turned with a blue question mark. </p>

<p>How can I fix this?</p>
","3","4648310",""
"74752722","17409297","2022-12-10 12:00:22","0","245","<git><git-init><.git-folder>","How to un-initialize a git folder in the root of my pc?","<p>I am beginner with git. A few weeks ago, I unintentionally created a &quot;git init&quot; on the root of my pc (location: desktop) which means all of my computer files are on that git folder.</p>
<p>How can i delete that git folder, without losing any of my coding or personal files?</p>
","3","17409297",""
"76031314","875915","2023-04-17 02:14:54","2","45","<ruby-on-rails><git-init>","Why does ""rails new my_app"" initialize a git repository?","<p>When I run the Ruby on Rails command <code>rails new my_app</code>, it creates the new <code>my_app</code> directory, and it contains a <code>.git</code> subdirectory, i.e., <code>./my_app/.git</code>, so it's apparently doing a <code>git init</code>.  Where is that <code>git init</code> command coming from, and why does it do that?</p>
<p>Rails version: 7.0.4.3<br />
Ruby version: 3.0.1.p64</p>
","0","875915",""
"26171623","2223138","2014-10-03 00:26:23","0","119","<git><git-commit><git-pull><git-init>","Can I revert to git init if I didn't do an initial commit","<p>I'm new to git and I did not do an initial commit.  I had a folder on my machine and ran git init, then git pull from the remote respository, and then committed the changes I had made locally.  Is it possible to revert changes wrought by the initial pull?  Does git init establish anything I can go back to?  I want to revert all files to how they were when I ran git init.</p>
","0","2223138",""
"63850387","2370337","2020-09-11 15:52:07","1","692","<git><production-environment><git-init>","How to init git on a running production server and update from a remote repo","<p>I just got onboard with a project that has a live server that has been running for a year without git.  In the past, the owner/dev made all code updates personally without version tracking.  Then he started using git (with a gitlab account) for tracking his changes (but not for pushing changes to the server.)    So before I got there, the manager added a copy of the site to gitlab, and started creating issues and feature branches.  Now, he wants to start using git to push code changes to the production server. We have two issues:</p>
<ol>
<li>The live production server folder does not contain a git repo.</li>
<li>After starting the gitlab repo, some of the files in he live production server folder were modified to fix bugs.</li>
</ol>
<p>I need to add a git repo to the live production server folder, Merge all the code on live and on the remote, and push a production branch (with all of the features and production bug fixes) without breaking the site.</p>
<p>Here is my procedure so far:</p>
<ol>
<li>Create a copy of the live production server folder.</li>
<li>Copy the .gitignore file to the new folder from gitlab.</li>
<li>Init a git repo in that new folder.</li>
<li>Set up a remote, pointed at gitlab.</li>
<li>Add and commit and push that branch to gitlab.</li>
<li>Compare the files (between pushed branch and the main dev branch in gitlab.)</li>
<li>Create an up-to-date production branch in gitlab with all fixes and updates.</li>
<li>Copy the .gitignore file to the live production server folder.</li>
<li>Init a git repo in the live production server folder.</li>
<li>Add and commit</li>
<li>Checkout and track the production branch in gitlab.</li>
</ol>
<p>Please tell me if this procedure is effective, Let me know if I should change any of it. Also, How can I minimize the change of breaking production?  What potential issues should I be aware of?</p>
<p>In this instance, having the live site down during the day for a minute or two is not an issue, but I would still like to have some good instructions that minimize downtime.</p>
<p>EDIT ================</p>
<p>I am currently on step 5.  I created the copy folder to limit the operations performed on the live production server folder.  I wanted to limit changes to the live production server folder to reduce the risk that we accidentally broke the production site.  In the finalized directions, creating an extra folder might be unnecessary.  (or is it?)</p>
","0","2370337",""
"38889077","5550576","2016-08-11 06:44:03","0","582","<git><macos><git-init>","How to cancel init in git","<p>I'm using MacOS and I initialized /User/myAccount into a git repository by mistake. I don't really want that. How can I undo the init and make it back to the original look?</p>
","1","5550576",""
"39480088","608639","2016-09-13 22:46:13","0","586","<git><git-init>","Fix a 'git init' issued from the wrong directory without deleting the `.git` folder?","<p>This is very close to both <a href=""https://stackoverflow.com/q/3212459"">Is there a command to undo git init?</a> and <a href=""https://stackoverflow.com/q/1213430"">How to fully delete a git repository created with init?</a> Unfortunately, the accepted answers do not fit well because I <code>init</code>'d my home directory. (I missed a <code>cd</code>, and then issued <code>git init</code>).</p>

<p>Now, when I try to clone at my home directory, git just hangs and then time's out:</p>

<pre><code>$ git clone -v https://gtihub.com/weidai11/cryptopp cryptopp-docs
Cloning into 'cryptopp-docs'...
fatal: unable to access 'https://gtihub.com/weidai11/cryptopp/': Connection timed out after 300043 milliseconds
</code></pre>

<p>The web interface is fine during this timeout period. I can navigate the project, examine commits, etc. I can also clone the same repo from another machine.</p>

<p>I want to avoid blowing out my other configuration information housed in the <code>~/.git</code> folder.</p>

<p>How do I fix a <code>git init</code> issued from the wrong directory without deleting the <code>.git</code> folder?</p>

<hr>

<p>Here's what I am seeing in the home directory:</p>

<pre><code>$ ls -Al | grep '.*git*'
drwxr-xr-x   10 jwalton  staff       340 Sep 11 18:51 .git
-rw-r--r--    1 jwalton  staff        83 Jun 16 03:29 .gitconfig
</code></pre>

<p>And git is showing a bunch of untracked files from the home directory:</p>

<pre><code>$ cd ~
$ git status -s | wc -l
91
</code></pre>
","9","608639",""
