Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,OwnerUserId,AnswerCount,FavoriteCount
"57492723","66191","2019-08-14 10:16:28","0","1938","<git><git-flow>","git-flow: how to handle version numbers from changes to released branch","<p>I'm new(ish) to git and the company I work for are moving from subversion to git.
We're looking at using the git-flow workflow and am reasonably happy with how this will work. However, I have one question regarding ""point"" releases from the release branch. Let me explain what I mean by this.</p>

<p>We decide to create a release so we create a new release branch, say 1.0. We continue development on the ""develop"" branch, adding new feature branches, etc.
The 1.0 release is issued to our test team and they find issues with it. As I understand, these issues are supposed to be fixed on the release branch, 1.0 and then when testing is finished, all changes are merged from the release 1.0 branch to master and develop, and tagged on master as an official release.</p>

<p>Hopefully I've got this right. </p>

<p>Now, during the testing of release 1.0 we may need to provide the test team with a new point release, i.e. 1.1 which includes the changes we've made to fix their issues. We need it to be called 1.1 for traceability, i.e so we can ensure they're actually testing 1.1. However, git-flow seems to suggest that this should be a separate release branch, i.e. 1.1.</p>

<p>I guess the question I'm asking is how to we ""mark"" the release branch as 1.1 even though it is called 1.0.</p>

<p>I'm prepared to accept that I may be coming at this incorrectly given we've previously only worked with svn, and would welcome any clarifcation offered. </p>
","0","66191","",""
"54597095","8456062","2019-02-08 17:00:38","10","6369","<git><git-flow><git-workflow>","Is a develop branch useless in git-flow?","<p>Everywhere I look for the right way to use GIT in a team, we always get referred to git-flow.</p>
<p>We started to use this scheme as our bible at the beginning:</p>
<p><a href=""https://i.stack.imgur.com/XgtXO.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/XgtXO.png"" alt=""image"" /></a></p>
<p>Time passed, and we finally found that keeping <code>master</code> as the stable branch with tagged commits was a waste of time.</p>
<p>Why would you <em>TAG</em> your stable commit and then <em>PUSH</em> to <code>master</code> the same version you already tagged? The tag exists, you may return to this commit any time. Why should I bother to keep this branch just to contain only the tags?</p>
<p>Here is the flow we use, and it works like a charm:</p>
<ul>
<li><p>Master : Is actually our development branch</p>
</li>
<li><p>Release: We create a release branch to do our last release test case then we add fix if needed.</p>
</li>
<li><p>Feature: We branch from Master to create a feature then we send the pull request to master.</p>
</li>
</ul>
<p>Actually, it's the <em>same</em> as git-flow, without a branch containing stable.</p>
<p>Another advantage of this, is that <code>master</code> is the <code>develop</code> branch. So when a new teammate comes in the project, he may start by cloning the project and his <code>master</code> is already up to date with the actual development.</p>
<p>In image:</p>
<p><a href=""https://i.stack.imgur.com/QakUq.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/QakUq.png"" alt=""image"" /></a></p>
<p>My question is, why would you use the original git-flow with 5 branches if you could manage only 4 branches with the <em>same</em> result?</p>
","1","8456062","0","0"
"54622686","11042853","2019-02-11 00:53:17","0","349","<git><git-flow>","looking for a git workflow that supports nested develop branches","<p>Here's my problem - I have a codebase that has to be deployed to three different environments. 90% of the code is common. The other 10% is unique to each environment. I would like to use the git-flow workflow (master, develop), but I feel like I need a second layer of ""develop"" branches (develop_a, develop_b, develop_c) that are branched from ""develop"". If I were to do that I could make common code changes in ""develop"" and then periodically merge the develop changes into develop_a, develop_b, and develop_c. At the same time I can be working on issues specific to develop_a, develop_b, and develop_c in branches off of those branches. </p>

<p>Using this approach makes the ""master"" branch pretty much meaningless from the perspective of it being the place to go for releasable software. develop_a, develop_b, and develop_c are the branches that contain the full complement of software to be released for each environment. I'm trying to find out if there is some establish workflow or best practice that supports this. I don't think different repositories for a,b,c makes sense because of the large amount of common code. </p>

<p>I think the better/longer term solution would be to refactor the code in such a way as to create interfaces and classes that support the uniqueness of develop_a, develop_b and develop_c, with the version (a,b,c) to deployed being resolved at runtime (there are other concerns and complicating factors which could make that impossible). I believe I have the luxury of exploring that approach in the long-term, but I also have a short term need to get a workflow established so people can begin working on these versions so we can get them out in the field for testing in the near future.</p>

<p>Any thoughts would be most appreciated.</p>
","2","11042853","0","0"
"21499405","359476","2014-02-01 14:42:23","5","14250","<git><git-flow>","git flow: fatal: Index contains uncommited changes. Aborting","<p>I want to finish a feature using git flow but I get a fatal error: <code>fatal: Index contains uncommited changes. Aborting.</code></p>

<pre><code>&gt;git --version
git version 1.8.3.msysgit.0

&gt;git flow feature list
* google-oauth

&gt;git branch
  develop
* feature/google-oauth
  master

&gt;git flow feature finish google-oauth
fatal: Index contains uncommited changes. Aborting.

&gt;git status
warning: LF will be replaced by CRLF in package.json.
The file will have its original line endings in your working directory.
# On branch feature/google-oauth
# Changes to be committed:
#   (use ""git reset HEAD &lt;file&gt;..."" to unstage)
#
#       modified:   app.js
</code></pre>
","1","359476","0","0"
"59507140","3025856","2019-12-28 00:06:56","1","204","<git><git-merge><git-flow><git-history>","Establishing a ""clean"" git history for explicit merges","<p>I have a git repository that uses <strong>GitFlow</strong> (i.e., it has <code>master</code>, <code>develop</code>, <code>release-*</code>, and <code>feature-*</code> branches). The collaborators have not been using <em>explicit merges</em> (i.e., <code>git merge --no-ff</code>), however, and so e.g. <code>git log --first-parent</code> does not provide a simple roll-up of the merge history to date.</p>

<p>Moving forward, the collaborators will be using explicit merges. Before they do, however, I'd like to make sure that the history is ""clean"", so that no prior history is displayed when calling <code>git log --first-parent</code>. But, obviously, I want to maintain the <em>actual</em> commit history when calling an unfiltered <code>git log</code>.</p>

<p>My inclination is to do the following:</p>

<pre><code>$ git checkout develop
$ git checkout --orphan CleanSlate
$ git rm . -r -f
$ git commit --allow-empty -m ""Establish a clean slate for the develop branch""
$ git merge --no-ff --allow-unrelated-histories develop -m ""Introduce all legacy files""
$ git checkout develop
$ git merge CleanSlate
</code></pre>

<p>Basically, the idea is that we'll:</p>

<ol>
<li>Establish a fresh (<code>--orphan</code>) branch with no prior history</li>
<li>(<em>Optional</em>) Remove all files from the working tree so that we're not recommitting them</li>
<li>Establish an initial commit so that we have something to merge into</li>
<li>Perform an <em>explicit merge</em> (i.e., <code>--no-ff</code>) from the <code>develop</code> branch, acknowledging the unrelated histories</li>
<li>Fast forward <code>develop</code> to the <em>explicit merge</em> we just performed so that represents the history</li>
</ol>

<p><strong>My Question(s):</strong> Are there consequences to this approach that I should be aware of before applying it to a production environment? Are there alternative or simpler approaches that are preferable for accomplishing this type of scenario?</p>

<p>(In testing, this seems to achieve my objective with no adverse impact on existing branches or workflow. But, with git, I'm always wary of what I don't know I don't know.)</p>
","0","3025856","0","0"
"59711276","12351502","2020-01-13 06:03:36","1","1152","<git-flow>","Initializing git flow","<p>I already have an existing repository with a couple of branches. I try to initialize git flow here, using the source tree. But when I execute ""git flow"" command and it tries to initialize the git flow, I get the following error:</p>

<pre><code>E:\IdeaProject\IdeLab1&gt;git flow init
Fatal: Working tree contains unstaged changes. Aborting.
</code></pre>

<p>What's wrong?</p>
","0","12351502","0","0"
"60331972","1241692","2020-02-21 03:53:54","1","91","<git><git-flow>","merge code problem from develop to master on git flow","<p>On gitflow. After a hotfix commit on the master branch without merge to develop, what should we do when we merge code from develop to master next time?</p>

<ol>
<li>If we direct do the merge, code will be merged, and there will be a diff between master and develop.</li>
<li>Or we need a code review here? </li>
</ol>
","0","1241692","0","0"
"22659792","165345","2014-03-26 11:36:44","1","148","<git><git-flow>","enforce pull/push of master branch when releasing with git flow","<p>When releasing a new version using <code>git flow release finish 0.1.7</code> the local master branch gets updated regardless of whether it is up to date or not. Furthermore the new master branch does not get pushed to our central repository (gitlab) after the release.</p>

<p>This led us to some difficulties in the past. We had merge conflicts in the master branch when someone forgot to pull the master branch before releasing a new version and pushing it afterwards. Then the local history of the master branch looked something like this</p>

<pre><code>0.1.2 --&gt; 0.1.6 --&gt; 0.1.7
</code></pre>

<p>while the master branch on the central repository contained the following tags:</p>

<pre><code>0.1.2 --&gt; 0.1.3 --&gt; 0.1.4
</code></pre>

<p>So, the new versions 0.1.6 and 0.1.7 were missing in our central repository while the developer didn't see 0.1.3 and 0.1.4 in its local repository.</p>

<p>Is there a way to enforce the following commands before running <code>git flow release</code>:</p>

<pre><code>git checkout master
git pull
git checkout release-0.1.7
</code></pre>

<p>and calling this afterwards:</p>

<pre><code>git checkout master
git push
git checkout develop
</code></pre>

<p>Any idea?</p>
","0","165345","0","0"
"41739985","3758289","2017-01-19 10:52:03","4","1489","<maven><version-control><pom.xml><git-flow><release-candidate>","Maven and git-flow, version strategy for release candidates","<p>We are trying to apply the git-flow model to maven projects.</p>

<p>We use the <code>develop</code> and <code>feature/XXX</code> branches to work on <code>-SNAPSHOT</code> versioned artifacts, that are deployed in our <code>DEV</code> and <code>TST</code> environments.</p>

<p>When the apps are ""ready"", we have ""Release candidates"" : the code is pushed on the <code>release</code> branch, we edit the pom to update the version (replace the <code>-SNAPSHOT</code> by <code>-RC1</code>), this version is built and stored in the repository manager, and then deployed on our <code>UAT</code> env. </p>

<p>If some fixes are needed, we create others <code>-RCx</code> versions in the same <code>release</code> branch, these artifacts are archived in the repository manager, and deployed on the <code>UAT</code> env. So we can precisely track the bug fix in the different versions.</p>

<p>Once a <code>-RCx</code> version is approved, the <code>release</code> branch is pushed to <code>master</code>, the pom updated to remove the <code>-RCx</code>, built, and stored in the repository manager before being deployed in <code>PROD</code> env.</p>

<p>But with this way of doing things, the binaries that are deployed in <code>PROD</code> and in <code>UAT</code> are not strictly the same : the POMs are different in the 2 WARs, because of the <code>&lt;version&gt;</code> tag. <em>And it is not really a good practice.</em></p>

<p>If I correctly understood the git-flow model, the ""final"" version number (without a <code>-RCx</code>) should be set at the creation of the <code>release</code> branch, and the same version is ""alive"" until this branch is pushed to the <code>master</code>, right ? In this case:</p>

<ul>
<li>We lose the information of what version of the application is really deployed in <code>UAT</code> (as we lost the <code>-RCx</code> identifier, we may not know if the deployed version contains the last bugfixes or if it is an older version that is deployed...)</li>
<li>In the repository manager, we cannot know if an artifact has been built from the <code>release</code> branch or from the <code>master</code>, as there is no change of the version number anymore when pushing the <code>feature</code> branch into <code>master</code>.</li>
</ul>

<p>What is better ? What are the pros/cons of these 2 ways of doing ? (Not the same binaries on the different envs -vs- not having well-identified release candidates.)</p>

<p>How do you (or would you) manage <em>Release Candidates</em> with a Maven project in the git-flow model ?</p>
","0","3758289","0","0"
"38576452","1391441","2016-07-25 20:03:25","0","50","<git><git-flow>","Followed git-flow model, not sure if branches are correct","<p>I tried to follow the <a href=""http://nvie.com/posts/a-successful-git-branching-model"" rel=""nofollow noreferrer"">git-flow</a> branching model in my Github repo.</p>

<p>After following the instructions, I <a href=""http://nvie.com/posts/a-successful-git-branching-model/#finishing-a-release-branch"" rel=""nofollow noreferrer"">arrived at the point</a> of merging the <code>release</code> branch into the <code>develop</code> branch. I did that with no issues, and proceeded to remove the <code>release</code> branch (also with no issues).</p>

<p>Now I'm positioned in the <code>develop</code> branch, and when I do a <code>git status</code> it tells me there are commits that need to be pushed:</p>

<pre><code>$ Your branch is ahead of «origin/develop« by 3 commits.
</code></pre>

<p>These are the three commits I did on the, now merged and deleted, <code>release</code> branch.</p>

<p>At this point I'm not sure I should be getting that notice, but I <code>git push</code> anyway as <code>git</code> is asking me to.</p>

<p>Finally I got to Github and look at my network, which looks like this:</p>

<p><a href=""https://i.stack.imgur.com/gU5WC.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/gU5WC.png"" alt=""enter image description here""></a></p>

<p>Is this how it these two branches are supposed to look after following the git-flow model? The green line confuses me, as I would've expected to see only two lines: <code>master</code> and <code>develop</code>.</p>
","0","1391441","",""
