Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,OwnerUserId,AnswerCount,FavoriteCount
19516689,985949,10/22/2013 11:32,1,144,<git><web-deployment><dvcs><branching-and-merging><git-subtree>,Deploying/Pushing subdirectory from one git repository to another one,"<p>I own two git repositories:  <strong>A</strong> and <strong>B</strong>, both mainly used on their own master branch.</p>

<p><strong>A</strong> contains these folders: </p>

<ul>
<li><strong>folder1</strong></li>
<li><strong>folder2</strong></li>
</ul>

<p><strong>B</strong> contains this folder:</p>

<ul>
<li><strong>folder3</strong></li>
</ul>

<p>In order to deploy <strong>A</strong> containing <strong>folder3</strong>, I want to push <code>folder3</code> from <strong>B</strong>, to <strong>A</strong>.
I want this kind of relationship as only unidirectional, meaning <strong>A</strong> updates <strong>B</strong> but no <code>pull</code> from <strong>B</strong> to <strong>A</strong>.</p>

<p>I would end up with A containing these files:</p>

<ul>
<li><strong>folder1</strong></li>
<li><strong>folder2</strong></li>
<li><strong>folder3</strong> (pushed)</li>
</ul>

<p>Of course, concerning the first deployment, <strong>A</strong> was unaware of the existence of <strong>folder3</strong>.</p>

<p>Therefore, I found the command <a href=""http://makingsoftware.wordpress.com/2013/02/16/using-git-subtrees-for-repository-separation/"" rel=""nofollow"">git subtree</a> on the web that seems to achieve this tasks nicely.</p>

<p>So the whole procedure I did to try achieving this task on the <strong>B</strong> repository's directory is: </p>

<pre><code>git remote add A https://githubAdressOfA
git subtree prefix --folder3 --squash A master 
</code></pre>

<p>However, I came across this kind of error:</p>

<pre><code>Updates were rejected because the remote contains work that you do
hint: not have locally. This is usually caused by another repository pushing
hint: to the same ref. You may want to first merge the remote changes (e.g.,
hint: 'git pull') before pushing again.
</code></pre>

<p>According to me, <code>pull</code> on <strong>B</strong> repo should not be needed with the concept of ""subtree"" in case of my unidirectional scenario explained above.</p>

<p>How to deal efficiently with this case? Perhaps I misused <code>subtree</code> command...</p>
",1,985949,0,0
19569352,759123,10/24/2013 14:54,2,95,<git><git-submodules><git-subtree>,How to rename/relocate directory on git clone/fetch and preserve the history?,"<p>On remote master there is a folder <strong>/config/samples/</strong> (it also contains sub dirs) which contains sample configuration files; these files are good enough to be used in real environment w/o any changes. The application is located in the same repository and can read the files from <strong>/settings/</strong> directory only.</p>

<p>How to make that each clone of the master will rename locally this folder to the desired one AND will keep the history for these files (so If I add file there, it will be placed to the right folder on the master on git pull)?</p>

<p>The symlinks and hardlinks are not available on the filesystem.</p>

<p>Thanks in advance!</p>
",0,759123,,
44530508,1916754,6/13/2017 20:02,8,1073,<git><git-subtree><git-lfs>,Is there a better way to do `git subtree pull` while using git-lfs?,"<p>I have two repositories: <code>parent</code> and <code>child</code>.  They both use git-lfs.  I am trying to import <code>child</code> as a subtree into <code>parent</code>.</p>

<p>When in the <code>parent</code> directory, I try adding it and I get the following:</p>

<pre><code>&gt; git subtree add --prefix child [child_url]
git fetch [child_url] master
From [child_url]
* branch            master     -&gt; FETCH_HEAD
Downloading [child_binary_file_path] (12.55 KB)
Error downloading object: [child_binary_file_path] ([sha])

Errors logged to .git\lfs\objects\logs\20170613T115607.1992713.log
Use `git lfs logs last` to view the log.
error: external filter git-lfs smudge -- %f failed 2
error: external filter git-lfs smudge -- %f failed
fatal: [child_binary_file_path]: smudge filter lfs failed
</code></pre>

<p>In the log file, I see</p>

<pre><code>Error downloading object: [child_binary_file_path] ([sha]): Smudge error: Error downloading [child_binary_file_path] ([sha]): [[sha]] Object does not exist on the server: [404] Object does not exist on the server

%+v
Smudge error: Error downloading [child_binary_file_path] ([sha]): [[sha]] Object does not exist on the server: [404] Object does not exist on the server
</code></pre>

<p>Which I guess makes sense, since the binary files for <code>child</code> <em>wouldn't</em> be on the server for <code>parent</code>.</p>

<p>So, I tried adding the <code>child</code> lfs files to <code>parent</code> like this, from the <code>parent</code> directory:</p>

<pre><code>git remote add child [child_url]
git fetch child
git lfs fetch 
git lfs fetch child --all
git lfs push origin --all
</code></pre>

<p>Everything works fine until the last command.  The <code>git lfs push</code> doesn't push anything:</p>

<pre><code>&gt; git lfs push origin --all
Git LFS: (0 of 0 files, 1 skipped) 0 B / 0 B, 210 B skipped
</code></pre>

<p>It appears that it's only pushing to <code>parent</code> files that exist on <code>parent</code> branches.</p>

<p>The only way I could figure out how to add these lfs files to <code>parent</code> was to add the <code>child</code> branch to the <code>parent</code>.</p>

<pre><code>git checkout -b temp_branch child/master
git push origin
</code></pre>

<p>This then lets me successfully call <code>git subtree add --prefix child [child_url] master</code>.</p>

<p>But, since I don't want <code>temp_branch</code> on <code>parent</code>, I must immediately delete it.</p>

<pre><code>git branch -D temp_branch
git push origin --delete temp_branch
</code></pre>

<p>This works, but it feels <em>really</em> kludgey.</p>

<p>Is there a better way to call <code>git subtree add</code> when the subtree repository is using git-lfs?</p>
",0,1916754,0,0
49961984,244000,4/22/2018 2:33,1,170,<git><git-subtree>,How to cache processed history with git subtree split,"<p>Given my history is
<code>commit1 -&gt; commit2 -&gt; commit3 (HEAD, master)</code></p>

<p>Now I want to do a subtree split, git need to run from <code>commit1</code>, then <code>commit2</code>, then <code>commit3</code>, which is fine.</p>

<p>Later I add commit4, so now my history is:
<code>commit1 -&gt; commit2 -&gt; commit3 -&gt; commit4 (HEAD, master)</code></p>

<p>Now I do another subtree split, git is running all the way through form <code>commit1</code> again, where as it can just continue from <code>commit3</code> instead.</p>

<p>Is that something can be achieved?</p>
",1,244000,0,0
54591345,4563885,2/8/2019 11:22,1,174,<git><git-subtree>,"""git subtree add"" failed with ""Unlink of file""","<p>We want to go away from submodules and try on subtree system.</p>

<p>We have two repositories:</p>

<pre><code>Qt-Integration
 - UEPlugin

Cos-Sim
 - CosmetologyTrainer
</code></pre>

<p>I want to add <em>Qt-Integration/UEPlugin</em> as subtree to <em>Cos-Sim/CosmetolgyTrainer</em> at <strong>Plugins/Qt</strong> </p>

<pre><code>my@DESKTOP-I1D3N52 MINGW64 /c/my/5vid/Test/Cos-Sim(CosmetologyTrainer)
$ git subtree add --prefix=Plugins/Qt --squash git@github.com:5Vid/Qt-Integration.git UEPlugin
git fetch git@github.com:5Vid/Qt-Integration.git UEPlugin
From github.com:5Vid/Qt-Integration
 * branch            UEPlugin   -&gt; FETCH_HEAD
Unlink of file 'Plugins' failed. Should I try again? (y/n)
</code></pre>

<p>But i get <em>Unlink of file...</em></p>

<p>In explorer I can see, that git has created path <strong>Plugins/Qt</strong>, and only .gitignore from <em>Qt-Integration/UEPlugin</em> exists.</p>

<p>If answer ""n"" and make <em>git status</em>, then you'll get this:</p>

<pre><code>my@DESKTOP-I1D3N52 MINGW64 /c/my/5vid/Test/Cos-Sim (CosmetologyTrainer)
$ git status
On branch CosmetologyTrainer
Your branch is up to date with 'origin/CosmetologyTrainer'.

Changes to be committed:
  (use ""git reset HEAD &lt;file&gt;..."" to unstage)

        new file:   Plugins/Qt/.gitignore
        new file:   Plugins/Qt/Qt.uplugin
        new file:   Plugins/Qt/README.md
        new file:   Plugins/Qt/Source/Qt/Private/GameWithQtAppInstance.cpp
        new file:   Plugins/Qt/Source/Qt/Private/Qt.cpp
        new file:   Plugins/Qt/Source/Qt/Private/QtPrivatePCH.h
        new file:   Plugins/Qt/Source/Qt/Public/ConvertTemplate.h
        new file:   Plugins/Qt/Source/Qt/Public/GameWithQtAppInstance.h
        new file:   Plugins/Qt/Source/Qt/Public/Qt.h
        new file:   Plugins/Qt/Source/Qt/Public/QtConverters.h
        new file:   Plugins/Qt/Source/Qt/Qt.Build.cs

Changes not staged for commit:
  (use ""git add/rm &lt;file&gt;..."" to update what will be committed)
  (use ""git checkout -- &lt;file&gt;..."" to discard changes in working directory)

        deleted:    Plugins/Qt/Qt.uplugin
        deleted:    Plugins/Qt/README.md
        deleted:    Plugins/Qt/Source/Qt/Private/GameWithQtAppInstance.cpp
        deleted:    Plugins/Qt/Source/Qt/Private/Qt.cpp
        deleted:    Plugins/Qt/Source/Qt/Private/QtPrivatePCH.h
        deleted:    Plugins/Qt/Source/Qt/Public/ConvertTemplate.h
        deleted:    Plugins/Qt/Source/Qt/Public/GameWithQtAppInstance.h
        deleted:    Plugins/Qt/Source/Qt/Public/Qt.h
        deleted:    Plugins/Qt/Source/Qt/Public/QtConverters.h
        deleted:    Plugins/Qt/Source/Qt/Qt.Build.cs
</code></pre>

<p>I followed this <a href=""https://gist.github.com/kvnsmth/4688345"" rel=""nofollow noreferrer"">example</a></p>

<p>In order to eliminate side effects, I did this all on the repository I've just cloned.</p>

<p>Can you help pls. 
I've spent too much time on this issue</p>
",3,4563885,,
76413891,265521,6/6/2023 10:52,0,8,<git><git-subtree>,Tell git subtree to use destination path for squashed commits,"<p>When you add a subrepo using <code>git subtree add --prefix third_party/libfoo upstream_libfoo master --squash</code> it will:</p>
<ol>
<li>Create a new root commit containing the contents <code>master</code> from the <code>libfoo</code> repo.</li>
<li>Create a merge commit with <code>HEAD</code> and that new root commit as parents. In this merge commit all of the files from the root commit are moved from <code>/...</code> to <code>/third_party/libfoo/...</code>.</li>
</ol>
<p>The fact that the files are moved during the merge commit creates some issues:</p>
<ol>
<li>You can't rebase the root commit &amp; merge. Even with <code>--rebase-merges</code> Git will get confused because it tries to create a normal merge, not a merge that also moves files.</li>
<li>You can't easily diff between <code>master</code> and the root commit (or a later squashed commit). It <em>kind of</em> works, but the fact that all the files have moved confuses things massively. Especially if you've also added/removed files.</li>
</ol>
<p>Is there any way to make <code>git subtree</code> store the files in its squashed commits at the same path that they will be merged into? It seems like such an obvious thing to do.</p>
",0,265521,,
76532797,6008062,6/22/2023 14:10,0,31,<git><git-subtree><git-filter-repo>,git subtree while keeping history,"<p>I have multiple git repositories that I want to combine under one single git repository while keeping all of their commit histories, but do that gradually so I can still pull changes before completely abandoning those old repositories. I am able to use <code>git subtree add</code> to add those but the history on individual files is lost.</p>
<p>I want my combined repository will have the following structure:</p>
<pre><code>.
-─ src
   └── stores
       |── storeA
       |   ├── README.md
       |   ├── package.json
       |   ├── src
       |   │   ├── index.ts
       |   │   ├── models
       |   │   │   └── index.ts
       |   │   └── stores
       |   │       ├── FileA.ts
       |   │       ├── FileB.ts
       |   └── yarn.lock
       └── storeB
           ├── README.md
           ├── package.json
           ├── src
           │   ├── index.ts
           │   ├── models
           │   │   └── index.ts
           │   └── stores
           │       ├── FileA.ts
           │       ├── FileB.ts
           └── yarn.lock
</code></pre>
<p>I start by going into the git repository and saying</p>
<pre><code>git subtree add --message=&quot;old repo - storeA&quot; --prefix src/stores/storeA git@ssh.XXX/storeA main
</code></pre>
<p>and this will bring the git repository where I want it and also all the commits</p>
<pre><code>// git log --graph --oneline
*   8e276e5 (HEAD -&gt; main) old repo - storeA
|\
| * 2b59054 fix 2
| * 70ede5a feat 2
| * 57041d5 fix 1
| * de39054 feat 1
| * 85d213b Added README.md
* 49942fb init
</code></pre>
<p>But when I try to get the history of a specific file I only see one commit and the rest is lost:</p>
<pre><code>// git log --graph --oneline src/stores/storeA/src/stores/FileA.ts
* 8e276e5 (HEAD -&gt; main) old repo - storeA
</code></pre>
<p>although I know that there are more commits for this file in the old git repository. I suspect it has something to do with the paths because <code>git blame</code> shows the different commits and <code>git show 57041d5</code> (one of the commits from the old repository)
shows</p>
<pre><code>diff --git a/src/stores/FileA.ts b/src/stores/FileA.ts
--- a/src/stores/FileA.ts
+++ b/src/stores/FileA.ts
</code></pre>
<p>but these are the old paths.</p>
<p>I have tried using <code>git-filter-repo --path-rename src/stores/:src/stores/storeA/src/stores/FileA.ts</code> and it seems to be working although it rewrites the history and it can only work for one (the first) repository. If I try to re-run it again on the other git repositories that have the same structure it will mess up all the paths.</p>
<p>Is there any alternative or have I misused the git-subtree command in any way?</p>
",0,6008062,,
57485689,6322678,8/13/2019 21:44,1,127,<git><git-subtree><git-subrepo>,Using git subrepo or tree like SVN external,"<p>We are transitioning from SVN to git finally, thank the gods and little fishes.  </p>

<p>But we have a very extensive library system that lives in SVN externals.  </p>

<pre><code>--Libraries 
--|--Lib1
--|--Lib1.project
--|--libs
--|--|--Lib1
--|--|--|--Lib1ForDistro.lib
--|--UnitTests
--|--DebuggingCode
--|--Lib2
--|--Lib2.project
--|--libs
--|--|--Lib2
--|--|--|Lib2ForDistro.lib
--|--UnitTests
--|--DebuggingCode


--Projects
--|--Proj1
--|--|--libs
--|--|--|--Lib1
--|--|--|--Lib1ForDistro.lib
--|--|--|--Lib2
--|--|--|--Lib2ForDistro.lib
</code></pre>

<p>Everything has lots of relative paths use between the tools, unit test framework and such.  </p>

<p>What I ideally want is a way to put all of our libraries as subrepos (or possibly subtrees) and keep the same relative path scheme that we have going now.  </p>

<p>I have only come up with the one possible way to do this.  Each library has two repos, one for development and the other contains the test code and the first repo as a subrepo. Then use the subrepo as normal.  </p>

<p>Is there a way to not use a whole repo as a subrepo but instead use only one folder?</p>
",2,6322678,0,0
21500722,252428,2/1/2014 16:46,5,3507,<git><git-subtree>,"Why am I told that ""'master' does not refer to a commit"" when I use git-subtree?","<p>When I enter <code>&gt; git subtree add --prefix=&lt;some dir&gt; --squash &lt;some repo&gt; master</code> I receive the message <code>'master' does not refer to a commit</code>. If I change 'master' to a sha I still get a warning. The repo is valid and master exists in the repo that I am trying to pull in.</p>
",0,252428,0,0
40599982,3731837,11/15/2016 0:09,-1,187,<git><git-submodules><git-subtree>,Why does git subtree prevent init-ing embedded submodules?,"<p>I have a git repository that I keep my vim configuration in. This tree includes a number of git submodules that refer to other people's repos which contain plugins.</p>

<p>As I'm interested in setting up a proper dotfiles repo with GNU stow, I thought the best way to integrate the vim repo was to just subtree it into the dotfiles repo. As my vim config is forked from someone else, I figured this way I could easily merge in changes made upstream while preserving my own plugins and config.</p>

<p>I've succesfully added the subtree to my repo, using <code>git subtree add -P vim/.vim-files https:\\xx master --squash</code>. The resulting tree looks like this:</p>

<pre><code>dotfiles/
├── .git
└── vim/
    ├── .vimrc
    └── .vim-files/   &lt;= THE SUBTREE
        ├── .gitmodules
        └── plugins/
            └── submodule1/
</code></pre>

<p>When I perform <code>git submodule init</code> from <code>dotfiles/</code> after that, it fails with <code>fatal: No url found for submodule path 'vim/.vim-files/plugins/submodule1' in .gitmodules</code>. Even though the URL is there and the subtree repo has no problems with submodules when used standalone.</p>

<p>The stranger part is, when I cd into <code>.vim-files</code> and run the command there, the error looks like this: <code>fatal: No url found for submodule path 'vim/.vim-files/vim/.vim-files/plugins/submodule1' in .gitmodules</code>.</p>

<p>Can anyone explain what causes this behaviour? Are subtrees and submodules incompatible or have I stumbled upon a bug?</p>
",0,3731837,0,0
