Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,AnswerCount,FavoriteCount
"54622999","148298","2019-02-11 01:50:53","1","1124","<git><subtree><git-worktree>","What's the difference between git-worktree and git-subtree?","<p>Just when I thought Git couldn't get any more complicated, I just discovered git worktree. Either this is a synonym for subtree or feature I never knew about. Is worktree the same as subtree or are they different. If they are different, how are they different and what problem does worktree solve?</p>
","1","148298",""
"76216090","11705021","2023-05-10 07:51:08","0","24","<git-worktree>","git worktree remove force command fails with errors","<p>Sometime when I'm running the command <code>git worktree remove --force</code> on windows, I'm getting failed to delete error: <code>Permission denied</code> or <code>Directory not empty</code>.</p>
<p>Is there a way to overcome it?</p>
","0","11705021",""
"76263855","1238300","2023-05-16 13:52:10","-2","74","<git><git-worktree>","How do I hard reset a worktree to origin with git?","<p>I am experiencing with git worktrees. I created a bare clone and create my worktrees form it. I created a branch in a separate worktree, worked on it, and pushed it. Then I made a local commit that I would like to remove, so I ran
<code>git reset --hard origin/mybranch</code> but as a result I get the following error message:</p>
<pre><code>fatal: ambiguous argument 'origin': unknown revision or path not in the working tree.
Use '--' to separate paths from revisions, like this:
'git &lt;command&gt; [&lt;revision&gt;...] -- [&lt;file&gt;...]'
</code></pre>
<p>If I remove and recreate the worktree then I end up in the same state with the faulty commit still there.
If I remove both the worktree and the branch (with <code>git branch -r</code>) and recreate the worktree then I get to the main branch (and not the one I created) with seemingly no way to get the feature branch I created.</p>
<p>How can I revert my worktree to the remote version of my branch ?</p>
<hr />
<p>EDIT: I made a whole test scenario trying some of the suggested answers, you can see my bash session below. I do have a remote named <code>origin</code>. I think the problem mainly comes from the fact that I am using a bare clone (<code>git commit --bare XXX</code>). When using a non-bare repo it works correctly.</p>
<pre><code>~/sources/iced&gt; git clone --bare https://github.com/iced-rs/iced.git iced
# ...
Receiving objects: 100% (31149/31149), 9.85 MiB | 3.54 MiB/s, done.
Resolving deltas: 100% (21892/21892), done.
~/sources/iced&gt; cd iced
~/sources/iced/iced&gt; git worktree add ../0.8 0.8
Preparing worktree (checking out '0.8')
HEAD is now at 0e1a9e65 Merge branch 'master' into 0.8
~/sources/iced/iced&gt; cd ../0.8
~/sources/iced/0.8&gt; git log --pretty=oneline | head
0e1a9e653f79759caa955e87c594bea8606a189c Merge branch 'master' into 0.8
2b8742937fb41fbe2ce60a494bfce2fd8b6ab916 Bump version of `iced_native` :tada:
1b79df44337abf46f9ef3fbd2f46a96da952639d Merge pull request #1717 from iced-rs/remove-clone-image-bytes
~/sources/iced/0.8&gt; nvim
~/sources/iced/0.8&gt; git add . &amp;&amp; git commit -m &quot;dummy commit&quot;
[0.8 e8bbb041] dummy commit
 1 file changed, 1 insertion(+), 1 deletion(-)
~/sources/iced/0.8&gt; git log --pretty=oneline | head
e8bbb0414b8a602a54b2363915db24f593621492 dummy commit
0e1a9e653f79759caa955e87c594bea8606a189c Merge branch 'master' into 0.8
2b8742937fb41fbe2ce60a494bfce2fd8b6ab916 Bump version of `iced_native` :tada:
~/sources/iced/0.8&gt; cd ../iced
~/sources/iced/iced&gt; git remote
origin
~/sources/iced/iced&gt; git reset --hard origin/0.8
fatal: ambiguous argument 'origin/0.8': unknown revision or path not in the working tree.
Use '--' to separate paths from revisions, like this:
'git &lt;command&gt; [&lt;revision&gt;...] -- [&lt;file&gt;...]'
~/sources/iced/iced&gt; cd ../0.8
~/sources/iced/0.8&gt; git reset --hard origin/0.8
fatal: ambiguous argument 'origin/0.8': unknown revision or path not in the working tree.
Use '--' to separate paths from revisions, like this:
'git &lt;command&gt; [&lt;revision&gt;...] -- [&lt;file&gt;...]'
~/sources/iced/0.8&gt; cd ../iced
~/sources/iced/iced&gt; git reset --hard '0.8@{upstream}'
fatal: no upstream configured for branch '0.8'
~/sources/iced/iced&gt; cd ../0.8
~/sources/iced/0.8&gt; git reset --hard '0.8@{upstream}'
fatal: no upstream configured for branch '0.8'

</code></pre>
","4","1238300",""
"76426635","689242","2023-06-07 19:42:20","1","28","<git><git-worktree>","git worktree add renamed remote branches","<h2>PROBLEM:</h2>
<p>I used these commands to create a two new branches. New branch <code>GTEC-426-eth</code> was supposed to originate from <code>feature/eth_testing</code> while new branch <code>GTEC-426-ksz</code> was supposed to originate from the <code>feature/KSZ8851SNL_testing</code>.</p>
<pre><code>git worktree add -b GTEC-426-eth ../worktrees/GTEC-426-eth feature/eth_testing
git worktree add -b GTEC-426-ksz ../worktrees/GTEC-426-ksz feature/KSZ8851SNL_testing
</code></pre>
<p>After changes were done on these new branches, they were pushed to the origin.</p>
<pre><code>git push --set-upstream origin GTEC-426-eth
git push --set-upstream origin GTEC-426-ksz
</code></pre>
<p>Now I am checking the Gitlab graph and it seems that this did not add new branches but <strong>renamed</strong> the existing ones...</p>
<p>This is the graph from <code>tig</code> GIT client if I run it from the <code>GTEC-426-ksz</code> branch:</p>
<p><a href=""https://i.stack.imgur.com/6nYb3.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/6nYb3.png"" alt=""enter image description here"" /></a></p>
<p>This is a graph of <code>GTEC-426-ksz</code> branch on Gitlab:</p>
<p><a href=""https://i.stack.imgur.com/Vu3Py.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/Vu3Py.png"" alt=""enter image description here"" /></a></p>
<p>What did I do wrong?</p>
<hr />
<h2>POSSIBLE REASONS:</h2>
<p>I read in the <code>man git worktree</code> about <code>-b</code>:</p>
<pre><code> -b &lt;new-branch&gt;, -B &lt;new-branch&gt;
           With add, create a new branch named &lt;new-branch&gt; starting at &lt;commit-ish&gt;, and check out &lt;new-branch&gt; into the new working tree. If &lt;commit-ish&gt; is omitted, it defaults to HEAD. By default, -b refuses to create a new
           branch if it already exists.  -B overrides this safeguard, resetting &lt;new-branch&gt; to &lt;commit-ish&gt;.
</code></pre>
<p>I am working on Windows/WSL and I suspect that because Windows has problems with normal/capital letters it might interpreted <code>-b</code> as  <code>-B</code>... I have no other idea why this could otherwise happen...</p>
","4","689242",""
"68160480","14588927","2021-06-28 09:01:49","2","124","<git><git-worktree>","Work on the same git directory simultaneously","<p>Is it possible to do the following things on the same git directory simultaneously:</p>
<ul>
<li><p>compiling on one branch</p>
</li>
<li><p>working on another branch</p>
</li>
</ul>
","2","14588927",""
"68310226","16411030","2021-07-09 01:28:44","1","327","<git><file><restore><git-worktree>","Can I get back the files in working tree which disappeared resulting from running git restore -s@ -SW?","<p>I forgot to add .ai to my .gitignore file, but ran
<code>$ git add .</code>
and added quite some <code>.ai</code> files to the index.</p>
<p>When I ran
<code>$ git status</code>
and saw them, I wanted to remove them from the index.</p>
<p>In haste, I ran
<code>$ git restore -s@ -SW</code>
resulting in all of my <code>.ai</code> files are gone away from my working tree. I should not have used <code>W</code>.</p>
<p>Is there any way in which I can get my <code>.ai</code> files back?</p>
","6","16411030","0"
"38687792","1680906","2016-07-31 19:44:18","1","293","<git><github><commit><git-worktree>","How do I make a commit is not in the master branch with git-worktree","<p>I have a repository with name ""Name"" for example. And in the repository has two branches:</p>

<ul>
<li>master </li>
<li>gh-pages</li>
</ul>

<p>If I have made changes to the folder ""Name"", the commands I get the commit:</p>

<pre><code>$ git worktree add ../Name-gh-pages gh-pages
</code></pre>

<p>With this command, I get two directories:</p>

<ul>
<li>""Name"" with files from ""master"" branch</li>
<li>""Name-gh-pages"" with files from ""gh-pages"" branch</li>
</ul>

<p>If I have made changes to the folder ""Name"", the commands I get the commit:</p>

<pre><code>$ git add .
$ git commit -m ""test""
</code></pre>

<p>How do I commit if I make changes to a folder ""Name-gh-pages""? Command ""git add ."" sees the changes only in the folder ""Name"". Command ""git checkout gh-pages"" is not working in this case.</p>

<p><strong>Update.</strong> jibe suggested solution.</p>

<pre><code>$ git worktree add ../Name-gh-pages gh-pages
</code></pre>

<p>We now have two working directory.</p>

<pre><code>$ git add .
$ git commit -m ""test""
$ git push
</code></pre>

<p>We've committed to the ""master"" branch.</p>

<pre><code>$ cd ..
$ cd Name-gh-pages
$ git add .
$ git commit -m ""test gh-pages""
$ git push
</code></pre>

<p>We've committed to the ""gh-pages"" branch.</p>
","0","1680906",""
"69125521","11705021","2021-09-09 22:54:22","3","1298","<git><git-worktree>","Does one git worktree support multiple branches?","<p>Per the documentation, each <code>git worktree</code> serves one <code>branch</code> (<code>dev</code>/<code>feature</code>/<code>prod</code> and so on), but it also sound not reasonable to me, that each branch will have its own <code>worktree</code> as it will creates many folders, and at some point might be confusing.</p>
<p>Does one <code>git worktree</code> can support multiple <code>branches</code>? for example all the branches which belongs to <code>feature</code> and then switch between what relevant for the moment? Is it correct approach?</p>
","3","11705021","0"
"69470009","510036","2021-10-06 17:14:57","1","2163","<git><git-diff><git-worktree>","git diff --cached: unknown option `cached'","<p>Within a Git worktree directory within a Docker container, I'm getting the error <code>error: unknown option `cached'</code> when running <code>git diff --cached</code>.</p>
<p>Git is on version 2.32.0 which clearly states it should exist.</p>
<p>When switching back to the main repository and mounting it in the container, the command works fine.</p>
<p>What's going on here?</p>
","0","510036",""
"69582003","393010","2021-10-15 08:38:48","1","162","<git><git-worktree>","Difference between git main and linked working tree?","<p>Is there any difference between a &quot;main working tree&quot; and a &quot;linked working tree&quot; in git? If so, what differences are there?</p>
<hr />
<p>Git has a subcommand called <a href=""https://git-scm.com/docs/git-worktree"" rel=""nofollow noreferrer"">git-worktree</a> used to be able to manage multiple working trees in one repository. When cloned with this command:</p>
<pre><code>git clone &lt;url&gt; --separate-git-dir=.git main
</code></pre>
<p>the directory <code>main</code> will contain the &quot;main working tree&quot;. After that a new working tree can be created with <code>git worktree add temp</code>. <code>temp</code> is now a &quot;linked working tree&quot;.</p>
<p>Is there any way to tell the difference of the two types? One thing should be that <code>main</code> can not be removed in the same way as <code>temp</code> (<code>git worktree remove temp</code>). But are there other things that are possible/impossible to do with one kind of the worktree and not the other?</p>
","4","393010",""
