Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,AnswerCount,FavoriteCount
"76447186","19719806","2023-06-10 16:45:28","0","8","<git><github><gitkraken>","How to use gitKraken to update backend and front end at the same time","<p>Right now I have two repos on github: one for the front end and one for the backend. I also have to seperate gitkraken repos that update each one when a change is made to to the backend or the frontend. This is the only way I could get Gitkraken to work with my project currently. Is it possible however to keep the front end and backend together in the same gitkraken file? I would like to do that so I can also have the frontend and backend together in the same repo on Github.</p>
","0","19719806",""
"76502824","8011888","2023-06-18 23:05:03","0","11","<atlassian-sourcetree><gitkraken>","Use password instead of ssh key for gitkraken or sourcetree","<p>I'm using GitKraken (and Sourcetree) to manage git repositories, and it keeps asking me to configure ssh keys to pull code for a Pantheon repo. Pantheon doesn't use SSH keys for authentication, it uses passphrases for the repo, yet the git clients still expect an SSH key for a nonexistent task.</p>
<p>How do I configure these clients to default to a password for repos that only require passwords?</p>
<p>I tried to pull a repository with a password and it keeps asking me for a ssh key that doesn't exist.</p>
","0","8011888",""
"76517277","22104238","2023-06-20 17:50:30","0","31","<git><gitlab><winsock2><gitkraken><wsastartup>","Gitkraken - gitlab pull failed (WSAStartup)","<p><a href=""https://i.stack.imgur.com/sWyF7.png"" rel=""nofollow noreferrer"">gitkraken</a></p>
<p>I have encountered an issue with GitKraken or GitLab. It appeared suddenly. The problem is that I am unable to use any of the built-in GitKraken features, such as pull or push. However, when I open the terminal, everything works fine.</p>
<p>First I tried to fix winsock using cmd : <em>netsh winsock reset.</em>
Then I did following steps: <a href=""https://stackoverflow.com/questions/40427498/getting-permission-denied-public-key-on-gitlab"">Getting permission denied (public key) on gitlab</a> that was the point when terminal starts working (I mean git pull/push).
I also changed gitlab token, added new ssh key, reinstall git and reintegrated gitlab account with gitkraken</p>
","0","22104238",""
"66852435","14203319","2021-03-29 10:19:47","3","1219","<git><macos><path><git-lfs><gitkraken>","Gitkraken error when pull with git-lfs on macOS","<p>I have an error during the LFS pull with Gitkraken on macOS. I get the following error message:</p>
<blockquote>
<p>Error on LFS Pull git: 'lfs' is not a git command. See 'git --help'. The most similar command is log</p>
</blockquote>
<p>In the Gitkraken documentation (<a href=""https://support.gitkraken.com/git-workflows-and-extensions/intro-and-requirements/#git-lfs-requirements"" rel=""nofollow noreferrer"">here</a>) we find the following explanation:</p>
<blockquote>
<p>Note: If GitKraken still cannot find Git or Git LFS, the terminal or CMD may be using a different path than the system or user path. For example, on OSX applications launched from the GUI have a different path than those launched from the terminal.</p>
</blockquote>
<p>To check this, we can do the following command: <code>which git-lfs</code> and <code>which git</code></p>
<p>Indeed, I get the following result:</p>
<pre><code>which git     /usr/bin/git \
which git-lfs /opt/homebrew/bin/git-lfs
</code></pre>
<p>Then, the documentation says that you have to add an environment variable in the path, the example is given for windows, but I can't reproduce the equivalent for macOS</p>
<p>In my .zshrc I have this: <code>export PATH=$HOME/bin:/usr/local/bin:$PATH</code></p>
<p>I tried it with: <code>export PATH=$HOME/bin:/usr/local/bin:/opt/homebrew/bin/git-lfs:$PATH</code> but it doesn't work</p>
<p>It's possible that the error is absolutely obvious but I don't know much about environment variables etc.</p>
","0","14203319",""
"57507778","8628851","2019-08-15 09:44:08","5","1703","<git><gitkraken>","GitKraken where is the .gitconfiguration file to enable Long Paths","<p>To now I have used Git from the Command Line Runner and from GitHub Desktop.</p>

<p>I tried to use GitKraken ,but there is one really big issue with it. I have repository, which has really nested folders, which exceed the 256 length.This problem is easy resolvable with Git and GitHub Desktop, because you go to <code>.gitconfig</code> and add under the core section - <code>longpaths = true</code>.</p>

<p>The problem is I cant find the <code>.gitconfig</code> file that GitKraken is using and so I cant disable the longpaths and clone my repository via GitKraken.</p>

<p>I have two questions:</p>

<ol>
<li>How to enable long paths for GitKraken so I can clone my repository?</li>
<li>Where is the .gitconfig file that GitKraken is using?</li>
</ol>
","2","8628851","0"
"57622305","11966054","2019-08-23 08:19:36","1","142","<git><atlassian-sourcetree><gitkraken>","What's the equivalent command of Eclipse EGit's “Synchronize Workspace”, for git-shell, or GUI like GitKraken?","<p>I have been using Eclipse EGit to manage my git repositories.</p>

<p>First I use the ""Synchronize Workspace"" function and make sure is there any conflicts, then I can decide whether I should pull the newer codes from remote or not.
<a href=""https://i.stack.imgur.com/NcpeZ.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/NcpeZ.jpg"" alt=""This picture shows the &quot;Synchronize Workspace&quot;""></a></p>

<p>Recently I am learning to use Git-shell or GUI like GitKraken to manage my git repositories. I know I can use Git Pull command to pull the newer codes, but I cannot find the equivalent command like ""Synchronize Workspace"", to peek that is there any difference between my local and remote repositories.</p>

<p>Is there any equivalent command of Eclipse EGit's ""Synchronize Workspace"", for git-shell, or GUI like GitKraken?</p>
","0","11966054",""
"50845919","5670078","2018-06-13 20:38:52","3","547","<git><atlassian-sourcetree><git-subtree><gitkraken><github-desktop>","Trying to use git subtree but getting an errors","<p>I want to use a few repositories as a sub-directory in my project. I chose to use git subtree, but unfortunately, I can't get it work. I use Github Desktop, SourceTree, and GitKraken - but only for SourceTree, I see an option to use git subtree properly.</p>

<p>I added a new repository to as a git subtree, but when I try to pull this remote repository with squash commits option or without it, it gives me an errors no matter what:</p>

<p>1) When squash commits enabled it says - ""Can't squash-merge: 'my-project\Project.Application\Examples\Projects' was never added."".</p>

<p>2) When squash commits disabled it says: ""fatal: refusing to merge unrelated histories"".</p>

<p>My current branch is a new branch (not a master branch).</p>

<p>I have no ideas what's wrong here, someone can see a problem here? Maybe have I to use another git client?</p>

<p>Thank you very much for reading this.</p>
","0","5670078","0"
"51275491","7458944","2018-07-11 00:11:04","1","340","<git><gitkraken>","Lost data that I didn't commit after git pull","<p>I work in a small group , so I wanted to make a new commit (for the new classes I did ) and then push but before that I did pull all the work of my friends , once it worked after many attempts (at first i got a error message but I don't know what I did but it worked), Now I wanted to commit and push but I couldn't found my classes.</p>

<p>Check <a href=""https://i.stack.imgur.com/6OrH1.png"" rel=""nofollow noreferrer"">here</a> </p>

<p>I work with gitKraken .So I did the pull from ""Tex datei nur mit dem wichtigsten"" (2 days ago)</p>

<p>How can I get my classes back? Is there any way to do it?</p>
","9","7458944",""
"51340988","9688643","2018-07-14 15:48:23","2","963","<git><push><commit><gitkraken>","how to I push a specific commit using gitkraken UI","<p>I have done a feat,but I commit it for four times,some logic package,html...</p>

<p>but now I want to push the third commit (all the html).</p>

<p>how do I do in gitkraken?</p>

<p>May be I can use Cherry pick ?</p>

<p>can anyone tell me how to push just one commit when you have a lot of commit in
local repo.</p>
","0","9688643",""
"51385330","8044022","2018-07-17 15:34:57","0","59","<git><gitkraken>","Is stashing panel in gitkraken only for local stashes?","<p>I'm new to gitkraken (and git in general) and I don't understand if in the stash panel only local stashes are shown or if I can see remote stashes too (I heard they are a thing but I'm still confused about that). Sorry for the question and thanks in advance!</p>
","3","8044022",""
