Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,AnswerCount,FavoriteCount
"38801251","6505662","2016-08-06 06:27:09","4","332","<git><gitolite><umask>","What causes git's post-receive umask to be different from the user's umask?","<p>After some digging and help here <a href=""https://stackoverflow.com/questions/38789261/how-to-find-out-what-causes-file-permissions-to-change-when-checking-out-files-w"">from other people</a>, I found out that I have a problem with the <code>umask</code> setting in git. What I want to achieve is that any git repo that is being checked out on my server, that the <code>umask</code> setting defaults to 0002. I don't want to have to configure this in every post-receive hook... I want this to be the default <code>umask</code>. How do I achieve that? </p>

<p>My repositories are uploaded by logging in to ssh with the <code>git</code> user on the server. When I check the <code>umask</code> setting, this is already set to the right setting:</p>

<pre><code>root@server:~# su git 
git@server:~$ umask
0002
</code></pre>

<p>However, if I put <code>umask &gt; /tmp/debug.log</code> in my post-receive hook, then that file shows an <code>umask</code> of 0077! What causes this to be different?</p>

<p>The root server also has the same <code>umask</code> and I just can't figure out why the <code>umask</code> is different when I check out a repository. If I change to the <code>git</code> user and create a file, then all works well:</p>

<pre><code>git@server:~$ touch newfile
git@server:~$ ls -la
total 8
-rw-rw-r-- 1 git git    0 Aug  6 02:17 newfile
-rw------- 1 git git    0 Aug  6 02:16 post
</code></pre>

<p><code>newfile</code> is the file I just created, The <code>post</code> file is a file I checked out via git, clearly with different permissions. I also added <code>umask</code> to the .bashrc of the git user, but to no avail:</p>

<pre><code>git@server:~$ cat ~/.bashrc 
export LANGUAGE=""en_US.UTF-8""
export LC_ALL=""en_US.UTF-8""
export LANG=""en_US.UTF-8""
export LC_TYPE=""en_US.UTF-8""
umask 0002
</code></pre>

<p>For what it's worth, I use gitolite to manage my repositories.</p>

<p>And this an example post-receive hook script I use:</p>

<pre><code>#!/bin/sh
export GIT_WORK_TREE=/home/user/www/
git checkout -f
</code></pre>
","0","6505662","0"
"10184378","402468","2012-04-17 02:42:23","1","1604","<git><push><gitolite>","Gitolite: git push origin master fails with ""fatal: The remote...""","<p>We have a new gitolite server where I work, and I'm having trouble push a repo to the server.</p>

<p>I cloned the conf file, added my repo, then pushed it back.  After confirming that the empty repo is there I clone the repo to my computer.  I get an error that says, warning you've cloned an empty repo.  So to test this I add a README, and commit it.  No problem.  But when I try to push it back to the server with the change I get a <code>fatal: The remote end hung up unexpectedly</code>.</p>

<p>It may also be of note, but when I'm working in a repo, I have a little script for my prompt that tells me when the repo isn't pushed... this isn't present here.</p>

<p>Any help would be great.  Thanks!</p>
","0","402468","0"
"40608280","7005955","2016-11-15 11:06:58","0","381","<git><gitolite>","can't push file using gitolite","<p>I have one git server over ubuntu machine, I have installed gitolite and also clone gitolite-admin repo, now the problem is I cant push or pull other repos excluding gitolite-admin and testing provided by gitolite.</p>

<pre><code>ADMIN@CSO49-PC MINGW64 /e/heena/heena/gitolite-admin (master)
$ git clone git@192.168.0.106:gitolite-admin
Cloning into 'gitolite-admin'...
remote: Counting objects: 6, done.
remote: Compressing objects: 100% (4/4), done.
remote: Total 6 (delta 0), reused 0 (delta 0)
Receiving objects: 100% (6/6), done.
Checking connectivity... done.

ADMIN@CSO49-PC MINGW64 /e/heena/heena/gitolite-admin (master)
$ git push git@192.168.0.106:gitolite-admin
Everything up-to-date

ADMIN@CSO49-PC MINGW64 /e/heena/heena/gitolite-admin (master)
$ git push git@192.168.0.106:testing.git
Counting objects: 6, done.
Delta compression using up to 2 threads.
Compressing objects: 100% (4/4), done.
Writing objects: 100% (6/6), 731 bytes | 0 bytes/s, done.
Total 6 (delta 0), reused 6 (delta 0)
To git@192.168.0.106:testing.git
 * [new branch]      master -&gt; master

ADMIN@CSO49-PC MINGW64 /e/heena/heena/gitolite-admin (master)
$ git push git@192.168.0.106:cicd.git
FATAL: W any cicd admin DENIED by fallthru
(or you mis-spelled the reponame)
fatal: Could not read from remote repository.

Please make sure you have the correct access rights
and the repository exists.
</code></pre>
","4","7005955","0"
"3202081","308174","2010-07-08 09:12:07","12","8518","<git><gitosis><gitorious><gitolite><gerrit>","Is good idea to use gerrit to host the git repository instead of gitolite or gitosis?","<p>Originally I try to use gitosis to manage the git repositories in the company, and later notice gitolite is kind of enhancement of gitosis. </p>

<p>And also I heard gerrit could be used for the same purpose, but from the description, gerrit is mainly used for code review.</p>

<p>So which is the best way for setting up git server</p>

<ul>
<li>using gitolite (for git repo) <strong>AND</strong> gerrit (for code review) together</li>
<li>using gerrit <strong>ONLY</strong> to manage git repository and codereview</li>
</ul>

<p>Can you give some suggestion ?</p>

<p>BTW: <a href=""http://gitorious.org/"" rel=""noreferrer"">http://gitorious.org/</a> is considered in the future</p>
","0","308174","0"
"3204881","234780","2010-07-08 14:55:07","6","2987","<git><gitolite>","gitolite: allow to change only selelected files","<p>How to configure git and gitolite to allow specific user to change just files that are inside specific directory?</p>

<p>e.g. files in origin master branch:</p>

<pre><code>/dir1/
/dir2/file1
/dir2/file2
/dir3/file1
</code></pre>

<p>User <code>kathrine</code>, allow to change only <code>/dir2/file1</code> and <code>/dir2/file2</code></p>

<pre><code>$kathrine: git clone git@example.com:test.git
</code></pre>

<p>results in:</p>

<pre><code>/dir2/file1
/dir2/file2
</code></pre>

<p>Are there any per-dir directives in <code>gitolite.conf</code> or shall I configure git with new branch for this user?</p>

<p>I just don't want graphics designer to have access to the source code files.</p>
","0","234780","0"
"21946499","1103892","2014-02-21 22:30:20","2","394","<git><githooks><gitolite><pivotaltracker>","How to add git hook for sending commit messages into pivotal tracker story as comments?","<p>I am using mac os, git(without github), gitolite as git server and pivotal tracker. </p>

<p>I would like to add git hook which notify pushed commit for ex: <code>[#432324] some commit</code> will add as a comment to PT story. And maybe I will be able to close finish story when in commit message will be 'Fixed' text.</p>
","0","1103892",""
"41191795","4447395","2016-12-16 20:12:17","1","402","<git><ssh><gitolite>","gitolite - how to clone and push to repo that's created under a ""user"" folder","<p>ok so first off, i have to apologize in advance for being such a git / gitolite noob. </p>

<p>ok so now..</p>

<p><strong>problem</strong></p>

<p>there is a folder on my git server that looks like this: </p>

<pre><code>mstgit:/var/git/repositories/user/johnd/tmp.git# ls
HEAD         branches     config       description  gl-creator   hooks        info         objects      refs
mstgit:/var/git/repositories/user/johnd/tmp.git# 
</code></pre>

<p>And it shows up in our web inteface (gitolite i guess??) as an empty folder. </p>

<p>I'm trying to clone it using the following command:</p>

<pre><code>localdev:/var/git/mystuff/projectX# git clone git@mastergit.fntx.net:user/johnd/tmp.git
Cloning into 'tmp'...
Permission denied (publickey,keyboard-interactive).
fatal: Could not read from remote repository.

Please make sure you have the correct access rights
and the repository exists.
</code></pre>

<p>I don't understand why i'm getting permission denied.  I created the user repo on the git server.  I logged into the server using the same ssh key that I used to log into the ""localdev"" box. </p>

<p>Here are the file permissions on the johnd folder, in case it matters: </p>

<pre><code>mstgit:/var/git/repositories/user/johnd/tmp.git# ls -lah
total 44
drwxr-sr-x    7 git      git         4.0K Dec 16 20:01 .
drwxr-sr-x    3 git      git         4.0K Dec 16 20:01 ..
-rw-r--r--    1 git      git           23 Dec 16 20:01 HEAD
drwxr-sr-x    2 git      git         4.0K Dec 16 20:01 branches
-rw-r--r--    1 git      git           66 Dec 16 20:01 config
-rw-r--r--    1 git      git           73 Dec 16 20:01 description
-rw-r--r--    1 git      git            5 Dec 16 20:01 gl-creator
drwxr-sr-x    2 git      git         4.0K Dec 16 20:01 hooks
drwxr-sr-x    2 git      git         4.0K Dec 16 20:01 info
drwxr-sr-x    4 git      git         4.0K Dec 16 20:01 objects
drwxr-sr-x    4 git      git         4.0K Dec 16 20:01 refs
</code></pre>

<p>Also, the contents on gl-creator is ""johnd"" which is my ssh id name. 
not sure what else i should check. </p>
","0","4447395","0"
"22492814","1069083","2014-03-18 22:56:24","-1","131","<git><gitolite><gitosis>","How do I create a '.git' file folder from an existing git repository?","<p>I have a git repository called ""shop"" that has the remote ""oldserver.com""</p>

<pre><code>remote.origin.url=git@oldserver.com:shop.git
</code></pre>

<p>How do I create the <code>shop.git</code> folder from my local repository, so I can load it on my ""newserver.com"" (that uses gitolite or gitosis) so we can use that as a new remote?</p>
","4","1069083",""
"4275014","121828","2010-11-25 08:28:52","4","1807","<git><gitolite>","Backup git repositories using fetch instead of push","<p>If your git version is too old to support <code>git push --mirror</code> from your gitolite server is it possible to simulate the feature by first <code>git clone --bare</code>ing new repositories and then using <code>git fetch refs/*:refs/*</code> on the backup server? Can you specify <code>*:*</code> as a refspec too? Since the repositories on the gitolite server are bare repos it doesn't matter if the fetch command doesn't manage to fetch objects that are only used when you have a working directory.</p>

<p>My recovery strategy would be to hopefully just copy the content of the backup server's $BACKUPDIR to the new gitolite server if the current one blows up. Would that also work as expected in this scenario?</p>
","0","121828",""
"38789261","6505662","2016-08-05 12:26:54","5","607","<git><permissions><gitolite>","How to find out what causes file permissions to change when checking out files with git?","<p>After pushing files to our server, the following post-receive hook is executed:</p>

<pre><code>#!/bin/sh
export GIT_WORK_TREE=/home/user/www/
git checkout -f
</code></pre>

<p>However, files get a very odd <code>600</code> permission, and folders <code>700</code> upon checkout. This is not what I expect (on our other servers we get <code>644</code> and <code>755</code>). From <a href=""https://stackoverflow.com/questions/14557106/git-changes-my-file-permissions-upon-checkout"">this thread</a> I understand that git does not set permissions, so git is not to blame. My question is: what is? How can I figure out what the cause is of this issue? </p>

<p>I have already temporarily solved it by running an extra script upon checkout to fix the permissions, but I am interested in solving the root cause.</p>

<p>I'm using gitolite to manage the repositories, but I doubt that is the cause. But again, I'm happy to learn where I can start because at this point I'm not sure how to investigate this. </p>

<p>As per the initial answers I have looked into the umask settings on the server. The <code>git</code> user (that's the user used to upload the files), the umask setting is 0002. This is confirmed in the following exercise:</p>

<pre><code>git@server:~$ umask
0002
git@server:~$ touch newfile
git@server:~$ ls -la newfile
-rw-rw-r-- 1 git git 0 Aug  5 10:46 newfile
</code></pre>

<p>Additional details:</p>

<ul>
<li>Linux used on both server side and development side</li>
<li>In the local repo, permissions are 755 and 644</li>
<li>filemode is set to true in .git/config</li>
</ul>
","2","6505662","0"
