Post Link,User Link,CreationDate,Score,ViewCount,Tags,Title,Body,CommentCount,AnswerCount,FavoriteCount
"28957652","4652117","2015-03-10 06:46:37","0","27","<git><perforce><tortoisegit><p4v>","I need to compare the difference between arbitrary version of source side by side using toirtoisegit","<p>I have used perforce (P4V) before, which gives a cool versions history and any version of the source can be dragged and compared between each other. The differences shown or side by side and is evry easy to track. is there something similar that can be expected using tortoise for git ?</p>
","0","4652117",""
"2657786","11236","2010-04-17 08:35:25","65","79456","<git><github><tortoisegit>","Suddenly getting ""No supported authentication methods available"" when pushing to github","<p>I started a github project a few weeks ago. I was able to push changes without any problems (I'm using TortoiseGIT).</p>

<p>Suddenly today when I tried to push my changes, I got ""PuTTY Fatal Error"" ""Disconnected: No supported authentication methods availble"" error window.</p>

<p>Anything you can recommend to remedy the problem?</p>
","1","11236","0"
"22511129","2172218","2014-03-19 15:46:17","0","672","<tortoisegit>","git wpengine asking for password?","<p>I am using tortoisegit to try and pull down a production environment from wpengine.</p>

<p>I've just generated a public key and added it via wpengine's dashboard. I have generated a private key, and pointed tortoisegit to that file.</p>

<p>I then right click and select 'Git Clone' , and point the private key to my private key file. I then point it to the correct wpengine URL: git@git.wpengine.com:production/my_site.git.</p>

<p>Then it starts to connect and asks me for the git@git.wpengine.com password. Why does it keep asking me for that password, and not my private key passphrase?</p>

<p><img src=""https://i.stack.imgur.com/N52Tu.jpg"" alt=""enter image description here""></p>

<p>Is my public key not linked to tortoisegit or something?</p>

<p>I've read up a bit and it seems this issue happens when you try and connect via https, but I have not intentionally done this. How can I resolve the issue?</p>
","0","2172218",""
"15478092","1538553","2013-03-18 13:31:40","2","83","<git><msysgit><tortoisegit>","git.Run() had no output","<p>I created git repository previously and then I started working on a project which was on the server. I did push and pull just fine. But later on due to some conflicts, I deleted my local repository. </p>

<p>But now whenever I try to create a local repository, I get the following error:</p>

<p><code>git.Run() had no output</code>.</p>

<p>I didn't found any solution on net after searching a lot.</p>

<p>Don't know what happened with TortoiseGIT and msysgit.</p>
","2","1538553","0"
"19484265","2213647","2013-10-20 23:52:15","2","1570","<git><jenkins><fetch><tortoisegit>","In Jenkins, git fetch is very slow, 11 seconds every time","<p>In Jenkins, when I have a windows batch script call <code>git fetch</code>, it takes 11 seconds every time. This happens even if I have just called the same script and waited 11 seconds to fetch the same repo.</p>

<p>The same thing happens if I use the Git plugin when it updates the code at the start of the script. The fetch step takes 11 seconds every time.</p>

<p>I'm working with a bunch of different slave nodes. Some of them have this problem and some of them don't. But it's 100% consistent for each node. Either it happens every time, or none of the time.</p>

<p>I'm using Windows Server 2008 for both master and slave nodes. I'm using msysgit for the git executable.</p>
","0","2213647","0"
"33059173","1171702","2015-10-10 21:31:44","2","1676","<bitbucket><tortoisegit><git-clone>","can i simply delete local git clone directories without problems? (tortoisegit/bitbucket)","<p>i'm experimenting with tortoisegit and bitbucket. new to both.</p>

<p>from one repo, i created two local clones in separate directories - one to test cloning, the second one 'for real', for a visual studio website. </p>

<p>i don't need the first test-clone now, so can i simply delete the local, cloned directories without problems or should i be using a specific tortoisegit command? i'm thinking maybe the server/master repo is keeping track of the clones or something like that and so i should ""tell it"" that i'm deleting one. i don't know if that's necessary. </p>
","0","1171702","0"
"33890031","4717048","2015-11-24 09:37:17","1","436","<git><merge><branch><tortoisegit>","Merging second time, wanting to see conflicts again - for tortoisegit compare/diff tool","<p>Lets imagine a situation:</p>

<ul>
<li><p>Basic: Iam using Windows and tortoisegit configured to use beyondcompare as mergetool/difftool. I love the comfort.</p></li>
<li><p>Two branches (master and my branch), already merged and conflicts resolved in the past. Conflicts resolved right in such a way, that the branches still do differ and thats OK!</p></li>
<li><p>I would like to initiate merge into my branch again and invoke the conflicts-resolve-tool (set to BeyondCompare in tortoisegit) to resolve the conflicts differently, than it was done in the past! </p></li>
</ul>

<p>... Basically I want to evoke beyondcompare on a file from branch master against my current branch and be able to save the result in my current branch (i dont want to modify master).</p>

<p>The desired behavior is only to:</p>

<ul>
<li>produce new commit, not to modify history (the conflict resolving strategy simply changed, but it was right in the past)</li>
<li>evoke my beyond compare like if I would be resolving conflicts for my comfort of work</li>
</ul>

<p>I already managed to do things like git checkout --patch, but that appears in the console window and I just get mad :-)</p>
","0","4717048",""
"33915276","5579365","2015-11-25 11:25:14","0","328","<windows><git><amazon-ec2><tortoisegit>","setup remote repository - having trouble - tortoisegit","<p>I have a local repository on my pc, and did this with Tortoisegit.</p>

<p>I also have an Amazon Web Services EC2 instance running Windows Server 2012, and have also installed Tortoisegit on there. I have opened port 9418(TCP), and created inbound firewall rules for it. I have a domain pointing to the server, and the server is accessible via HTTP (running apache) at my domain.</p>

<p>I have created a folder <code>c:\Repos</code> on the SERVER, and have set the HOME environment variable to point to this. Inside Repos I created a new folder named <code>ProjectX.git</code>, and then using the tortoise shell right click, created a BARE repository at the new folder.</p>

<p>I want to do an initial PUSH of my local repo, to the one on my server, by adding the server as a remote, but I'm not sure I have the url right.</p>

<pre><code> // also for clarification who is user?  
 // Do I use the windows username?
 git://user@hostname/ProjectX.git
</code></pre>

<p>Please refrain from 'elitist' answers such as 'use CLI idiot' or 'why dont u take the time to learn git properly instead of using gui shortcuts', which I see all over git questions online. GUI is there for a reason, enough said.</p>
","3","5579365",""
"33998803","4693272","2015-11-30 12:34:05","-1","67","<tortoisegit>","TortoiseGit .git\info/exclude Open Faliure","<p>Can't ignore file in TortoiseGit. Error text is:</p>

<p><img src=""https://content.screencast.com/users/chopvvs/folders/Jing/media/e140dcc1-3b36-419d-a472-f53779e71fb5/2015-11-30_1425.png"" alt="".git\info/exclude Open Faliure""></p>

<p>How can I fix it?</p>
","5","4693272",""
"17495723","1320548","2013-07-05 19:30:44","1","255","<git><tortoisegit>","How can I stop tortoisegit from adding garbage to my code?","<p>Today I pushed some code, and it appeared that everything went smoothly (no error messages), but when I opened the code in my IDE it was peppered with new stuff that looked like:</p>

<pre><code>&lt;&lt;&lt;&lt;&lt;&lt;&lt; HEAD

=======

&gt;&gt;&gt;&gt;&gt;&gt;&gt; 61fab429c996f1ca998cb5acb4csbbebd282b11a

        private void function(string[] args)
        {
&lt;&lt;&lt;&lt;&lt;&lt;&lt; HEAD

=======

&gt;&gt;&gt;&gt;&gt;&gt;&gt; 61fab429c996f1ca998cb5acb4csbbebd282b11a
</code></pre>

<p>What gives? What happened? And what should I do to prevent it in the future?</p>
","3","1320548",""
